,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도
4107,하늘과 바다,오달균,롯데쇼핑㈜롯데엔터테인먼트,2009-10-28,장편,한국,186,121651444,18059,"29,049,500","4,063",드라마,12세관람가,일반영화,2009
4115,오즈의 마법사 2,알버토 마르,㈜코리아스크린,2017-05-03,장편,기타,142,138541700,17956,"35,735,400","4,250",애니메이션,전체관람가,독립/예술영화,2017
4117,퍼펙트,닐스 아르덴 오플레브,(주)마인스 엔터테인먼트,2013-09-25,장편,미국,136,116662500,17916,"30,937,000","5,427",액션,청소년관람불가,일반영화,2013
4129,유랑지구,프란트 궈,(주)키다리이엔티,2019-04-18,장편,중국,178,147817410,17637,"57,511,830","6,707",SF,12세관람가,독립/예술영화,2019
4131,룩 앳 미,아그네스 자우이,(주)스폰지이엔티,2004-12-23,장편,프랑스,0,0,17632,0,"17,632",드라마,15세관람가,독립/예술영화,2004
4137,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,서태지,기타,2010-01-22,장편,한국,1,138299384,17563,"129,241,000","16,446",공연,전체관람가,독립/예술영화,2010
4140,혼스,알렉산더 아야,(주)팝엔터테인먼트,2014-11-27,장편,미국,166,137324715,17535,"54,987,415","6,909",판타지,청소년관람불가,일반영화,2014
4142,인 더 하우스,프랑수아 오종,찬란,2013-07-04,장편,프랑스,25,127454000,17529,"105,418,500","13,898",스릴러,15세관람가,독립/예술영화,2013
4196,리버틴,로렌스 던 모어,프리비젼엔터테인먼트,2007-08-02,장편,영국,0,0,16624,0,"13,211",드라마,청소년관람불가,일반영화,2007
4200,롤라,나빌 아유쉬,㈜메가박스,2009-01-15,장편,프랑스,24,109318294,16578,"79,246,500","11,729",드라마,12세관람가,독립/예술영화,2009
4221,링스,하비에르 구티에레즈,(주)다자인소프트,2017-04-06,장편,미국,123,135470800,16199,"31,997,500","3,740",공포(호러),15세관람가,일반영화,2017
4224,파티마의 기적,마르코 폰테코르보,(주)디스테이션,2020-12-03,장편,미국,162,129475600,16183,"40,968,000","5,267",드라마,12세관람가,독립/예술영화,2020
4228,카운터페이터,스테판 루조비츠키,미디어소프트,2008-07-03,장편,기타,10,106842500,16095,"57,555,000","8,387",범죄,15세관람가,독립/예술영화,2008
4265,이다,파벨 파블리코브스키,시네마 뉴원,2015-02-18,장편,기타,34,118657345,15493,"68,830,545","8,690",드라마,15세관람가,독립/예술영화,2015
4279,배드 지니어스,나타우트 푼프리야,(주)팝엔터테인먼트,2017-11-02,장편,기타,200,120082336,15319,"67,369,136","8,285",스릴러,15세관람가,독립/예술영화,2017
4315,프렌드 존,차야놉 분프라콥,(주)디스테이션,2019-10-30,장편,기타,104,118749200,14991,"45,947,000","5,770",멜로/로맨스,12세관람가,독립/예술영화,2019
4335,데드폴,스테판 루조비츠키,(주)에스비에스콘텐츠허브,2013-01-23,장편,미국,82,101887000,14744,"45,079,000","6,658",범죄,청소년관람불가,일반영화,2013
4336,비거 스플래쉬,루카 구아다그니노,찬란,2016-08-03,장편,기타,40,116255129,14711,"77,902,529","9,495",멜로/로맨스,청소년관람불가,독립/예술영화,2016
4341,콜로설,나초 비갈론도,(주)드림팩트엔터테인먼트,2017-04-20,장편,기타,305,114967100,14687,"47,376,900","5,753",액션,12세관람가,독립/예술영화,2017
4366,더 문,던칸 존스,(주)영화사구안,2009-11-26,장편,영국,46,103466465,14331,"49,848,500","6,671",SF,12세관람가,독립/예술영화,2009
4375,라스트 홈,라민 바흐러니,(주)브리즈픽처스,2016-04-07,장편,미국,163,109954000,14241,"54,577,800","6,928",드라마,15세관람가,독립/예술영화,2016
4403,뜨거운 피: 디 오리지널,천명관,(주)스튜디오디에이치엘,2022-05-26,장편,한국,59,111999200,13854,"32,878,000","4,180",액션,청소년관람불가,일반영화,2022
4411,헤이츠,마크 톤데라이,(주)나이너스엔터테인먼트,2012-12-06,장편,미국,75,94348000,13747,"35,434,000","4,791",스릴러,15세관람가,일반영화,2012
4412,웨이 다운,하우메 발라게로,(주)누리픽쳐스,2021-03-11,장편,기타,309,120956030,13743,"40,654,830","4,607",액션,15세관람가,일반영화,2021
4425,클라라,헬마 잔더스-브람스,(주)영화사 진진,2010-12-16,장편,독일,4,99611500,13557,"87,765,600","11,616",드라마,15세관람가,독립/예술영화,2010
4426,헤어드레서,도리스 되리에,(주)영화사 진진,2011-07-14,장편,독일,13,106421000,13533,"88,046,500","10,899",드라마,15세관람가,독립/예술영화,2011
4432,용서,김종철,씨너스엔터테인먼트(주),2010-12-05,장편,한국,4,95444204,13478,"66,990,000","8,852",다큐멘터리,12세관람가,독립/예술영화,2010
4440,다우트,존 패트릭 셰인리,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-02-12,장편,미국,11,93789787,13377,"74,276,500","10,477",드라마,15세관람가,독립/예술영화,2009
4454,올 이즈 로스트,J.C 챈더,유니버설픽쳐스인터내셔널 코리아(유),2013-11-07,장편,미국,33,97529000,13196,"70,416,500","9,340",드라마,12세관람가,독립/예술영화,2013
4458,골!,대니 캐넌,브에나비스타인터내셔널코리아,2005-11-04,장편,미국,0,0,13165,0,"4,871",드라마,12세관람가,일반영화,2005
4473,타임 투 리브,프랑수아 오종,스폰지,2006-02-09,장편,프랑스,0,0,13050,0,"11,441",드라마,청소년관람불가,독립/예술영화,2006
4480,온리 유,장하오,(주)영화사 빅,2015-10-15,장편,중국,111,96822200,12990,"50,934,700","6,712",멜로/로맨스,15세관람가,독립/예술영화,2015
4490,원스 어게인,닉 어거스트 페르나,(주)영화사 진진,2012-01-12,장편,미국,28,99349300,12866,"72,633,300","9,046",드라마,12세관람가,독립/예술영화,2012
4503,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,히시다 마사카즈,동우에이앤이(주),2020-04-02,장편,일본,55,102699510,12737,"69,158,980","8,323",애니메이션,12세관람가,일반영화,2020
4510,서유기 리턴즈,신동엽,(주)영화사 조제,2011-02-17,장편,한국,59,80194000,12696,"13,435,000","2,044",코미디,전체관람가,일반영화,2011
4515,티탄,줄리아 듀코나우,(주)영화특별시에스엠씨,2021-12-09,장편,프랑스,92,125658020,12663,"84,612,480","8,309",드라마,청소년관람불가,독립/예술영화,2021
4516,베르테르,조광하,CGV ICECON,2021-05-05,장편,한국,68,223809000,12646,"81,065,500","4,585",뮤지컬,12세관람가,일반영화,2021
4528,플레이,남다정,(주)영화사 진진,2011-06-23,장편,한국,33,90815000,12536,"65,130,000","8,656",드라마,전체관람가,독립/예술영화,2011
4532,커피와 담배,짐 자무시,(주)영화사 안다미로,2006-07-27,장편,미국,0,0,12476,0,"10,955",드라마,청소년관람불가,독립/예술영화,2006
4534,코파카바나,마르끄 피투시,(주)티캐스트,2011-05-26,장편,프랑스,7,98381000,12462,"89,059,000","11,058",드라마,15세관람가,독립/예술영화,2011
4560,로큰롤 인생,스티븐 워커,(주)영화사 진진,2008-11-27,장편,영국,4,78891181,12255,"70,507,000","10,901",다큐멘터리,전체관람가,독립/예술영화,2008
4561,벨라,알레한드로 고메즈 몬테베르드,크로스픽쳐스(주),2009-10-01,장편,미국,17,90113866,12250,"65,814,000","8,894",드라마,전체관람가,독립/예술영화,2009
4569,더 레이서,키에론 J 월쉬,(주)다자인소프트,2021-02-24,장편,기타,146,99539540,12117,"53,261,480","6,380",드라마,15세관람가,독립/예술영화,2021
4573,인터스테이트,밥 게일,프라임픽쳐스,2003-11-14,장편,미국,0,0,12084,0,"4,680",어드벤처,12세관람가,일반영화,2003
4590,래빗 홀,존 카메론 밋첼,프리비젼엔터테인먼트,2011-12-22,장편,미국,16,93087400,11939,"72,374,400","8,976",드라마,15세관람가,독립/예술영화,2011
4600,나이트 헌터,기타,와이드 릴리즈(주),2020-01-29,장편,기타,141,74513100,11849,"22,878,980","3,488",액션,15세관람가,일반영화,2020
4604,시스터,우슬라 마이어,그린나래미디어(주),2012-08-09,장편,프랑스,19,87788500,11808,"64,218,500","8,177",드라마,12세관람가,독립/예술영화,2012
4622,퍼니셔,조나단 헨스라이,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-09-10,장편,미국,0,0,11645,0,"2,638",액션,청소년관람불가,일반영화,2004
4625,피그,기타,판씨네마(주),2022-02-23,장편,미국,113,106769970,11625,"66,802,570","6,790",드라마,12세관람가,독립/예술영화,2022
4640,슈퍼히어로,에두와르도 슐츠,(주)영화사 빅,2013-07-31,장편,기타,74,73535000,11469,"25,202,500","3,799",애니메이션,전체관람가,일반영화,2013
4641,실종,기타,(주)디스테이션,2022-06-15,장편,일본,67,105365000,11451,"65,188,900","7,257",스릴러,청소년관람불가,독립/예술영화,2022
4662,카이트,랄프 지만,(주)누리픽쳐스,2015-06-11,장편,미국,50,66844000,11287,"36,304,000","6,038",범죄,청소년관람불가,일반영화,2015
4664,스피릿,일래인 보겐,유니버설픽쳐스인터내셔널 코리아(유),2021-09-15,장편,미국,138,82733300,11236,"32,795,800","5,141",애니메이션,전체관람가,일반영화,2021
4676,와즈다,하이파 알-만수르,(주)프레인글로벌,2014-06-19,장편,기타,51,79998200,11135,"46,823,000","6,146",드라마,전체관람가,독립/예술영화,2014
4677,익스트림 No.13,겔라 바블루아니,(주)팝파트너스,2012-10-03,장편,미국,108,80120516,11130,"25,428,016","3,339",스릴러,청소년관람불가,일반영화,2012
4687,스틸라이프,지아 장 커,위드시네마,2007-06-14,장편,기타,0,0,11049,0,"9,718",드라마,12세관람가,독립/예술영화,2007
4693,두 개의 사랑,프랑수아 오종,(주)팝엔터테인먼트,2017-12-28,장편,프랑스,49,86881200,11014,"61,522,700","7,414",스릴러,청소년관람불가,독립/예술영화,2017
4702,디어 마이 프렌드,피터 허칭스,(주)팝엔터테인먼트,2019-10-09,장편,미국,136,87539100,10969,"39,796,200","4,854",드라마,12세관람가,독립/예술영화,2019
4714,녹턴,정관조,(주)시네마달,2022-08-18,장편,한국,54,76761100,10890,"42,695,900","5,731",다큐멘터리,12세관람가,독립/예술영화,2022
4718,더 컨덕터,마리아 피터즈,(주)라이크콘텐츠,2019-11-14,장편,기타,35,91534420,10854,"67,470,140","7,953",드라마,12세관람가,독립/예술영화,2019
4720,라이크 크레이지,드레이크 도레무스,(주)팝엔터테인먼트,2018-05-30,장편,미국,116,81549980,10850,"39,981,980","5,165",드라마,청소년관람불가,독립/예술영화,2018
4723,말리,케빈 맥도널드,CGV아트하우스,2012-08-02,장편,미국,13,80555500,10823,"66,978,500","8,934",드라마,12세관람가,독립/예술영화,2012
4750,5.18 힌츠페터 스토리,장영주,(주)드림팩트엔터테인먼트,2018-05-17,장편,한국,119,72502600,10610,"36,067,700","4,336",다큐멘터리,12세관람가,독립/예술영화,2018
4785,레 미제라블,기타,(주)영화사 진진,2021-04-15,장편,프랑스,97,85231340,10342,"56,159,750","6,731",드라마,15세관람가,독립/예술영화,2021
4823,안티고네,소피 드라스프,그린나래미디어(주),2020-11-19,장편,기타,130,88869360,10060,"53,330,380","6,067",드라마,15세관람가,독립/예술영화,2020
