,0,1,2,3,4,5,6,7
22,22,어벤져스: 인피니티 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136315,https://ssl.pstatic.net/imgmovie/mdi/mit110/1363/136315_P16_142450.jpg,2018,"['앤서니 루소', '조 루소']","['크리스 프랫', '조 샐다나', '브래들리 쿠퍼', '빈 디젤', '조슈 브롤린', '엘리자베스 올슨', '베네딕트 컴버배치', '스칼릿 조핸슨', '톰 홀랜드', '로버트 다우니 주니어', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '톰 히들스턴', '폴 베타니', '돈 치들', '채드윅 보스만', '데이브 바티스타', '안소니 마키']",8.97
23,23,어벤져스: 에이지 오브 울트론,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98438,https://ssl.pstatic.net/imgmovie/mdi/mit110/0984/98438_P26_100556.jpg,2015,['조스 웨던'],"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']",8.32
24,24,아바타: 물의 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74977,https://ssl.pstatic.net/imgmovie/mdi/mit110/0749/74977_P61_170924.jpg,2022,['제임스 카메론'],"['시고니 위버', '스티븐 랭', '조 샐다나', '샘 워싱턴', '우나 채플린', '케이트 윈슬렛', '지오바니 리비시']",8.65
25,25,기생충,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161967_P80_151640.jpg,2019,['봉준호'],"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']",8.49
26,26,겨울왕국,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100931_P98_151621.jpg,2013,"['크리스 벅', '제니퍼 리']","['크리스틴 벨', '이디나 멘젤']",9.13
27,27,인터스텔라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45290,https://ssl.pstatic.net/imgmovie/mdi/mit110/0452/45290_P59_104735.jpg,2014,['크리스토퍼 놀란'],"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']",9.11
28,28,보헤미안 랩소디,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,2018,['브라이언 싱어'],"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']",9.42
29,29,검사외전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1309/130903_P29_133940.jpg,2015,['이일형'],"['황정민', '강동원']",7.94
30,30,엑시트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1749/174903_P56_101925.jpg,2019,['이상근'],"['조정석', '윤아']",8.31
31,31,관상,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93728,https://ssl.pstatic.net/imgmovie/mdi/mit110/0937/93728_P30_160517.jpg,2013,['한재림'],"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
32,32,아이언맨 3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70254,https://ssl.pstatic.net/imgmovie/mdi/mit110/0702/70254_P35_153229.jpg,2013,['셰인 블랙'],"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']",8.86
33,33,설국열차,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62328,https://ssl.pstatic.net/imgmovie/mdi/mit110/0623/62328_P30_110120.jpg,2013,['봉준호'],"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
34,34,실미도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34501,https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4501-00.jpg,2003,['강우석'],"['설경구', '안성기', '허준호', '정재영']",8.38
35,35,캡틴 아메리카: 시빌 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122527,https://ssl.pstatic.net/imgmovie/mdi/mit110/1225/122527_P18_114355.jpg,2016,"['앤서니 루소', '조 루소']","['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']",8.67
36,36,수상한 그녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107924,https://ssl.pstatic.net/imgmovie/mdi/mit110/1079/107924_P51_110532.jpg,2014,['황동혁'],"['심은경', '나문희', '박인환', '성동일', '이진욱']",9.01
37,37,해적: 바다로 간 산적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102817,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102817_P23_104252.jpg,2014,['이석훈'],"['김남길', '손예진']",8.28
38,38,국가대표,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47385,https://ssl.pstatic.net/imgmovie/mdi/mit110/0473/47385_P00_185924.jpg,2009,['김용화'],"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']",9.13
39,39,디 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39569,https://ssl.pstatic.net/imgmovie/mdi/mit110/0395/C9569-00.jpg,2007,['심형래'],"['제이슨 베어', '아만다 브룩스', '크레이그 로빈슨', '엘리자베스 페나', '로버트 포스터']",7.53
40,40,백두산,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187940,https://ssl.pstatic.net/imgmovie/mdi/mit110/1879/187940_P47_164605.jpg,2019,"['이해준', '김병서']","['이병헌', '하정우', '마동석', '전혜진', '수지']",5.74
41,41,과속스캔들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51143,https://ssl.pstatic.net/imgmovie/mdi/mit110/0511/E1143-00.jpg,2008,['강형철'],"['차태현', '박보영', '왕석현']",9.20
