순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점
818,시크릿,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189856,https://ssl.pstatic.net/imgmovie/mdi/mit110/1898/189856_P02_154428.jpg,2019,['이저벨 리'],,0.00
822,마음이...,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122476,https://ssl.pstatic.net/imgmovie/mdi/mit110/1224/122476_P12_100103.jpg,2014,['사베리오 코스탄조'],"['아담 드라이버', '알바 로르와처']",7.48
849,맨 인 더 다크,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144944,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144944_P10_153743.jpg,2016,['페데 알바레즈'],"['제인 레비', '딜런 미네트', '스티븐 랭']",7.92
932,블랙,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194154,,2020,['아오 첸'],,0.00
995,무극,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38449,https://ssl.pstatic.net/imgmovie/mdi/mit110/0384/C8449-01.jpg,2005,['천카이거'],"['장동건', '장백지', '사나다 히로유키']",4.75
1066,피터 팬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13333,https://ssl.pstatic.net/imgmovie/mdi/mit110/0133/A3333-01.jpg,1924,['허버트 브레논'],['베티 브론슨'],9.36
1081,리턴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=198285,https://ssl.pstatic.net/imgmovie/mdi/mit110/1982/198285_P01_160433.jpg,2019,['토무 야마구치'],,0.00
1218,그린치,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150688,https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150688_P30_101919.jpg,2018,"['야로우 체니', '스콧 모지어']","['베네딕트 컴버배치', '퍼렐 윌리엄스']",8.34
1258,몬스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222965,https://ssl.pstatic.net/imgmovie/mdi/mit110/2229/222965_P01_141300.jpg,2022,['제라드 노게이라'],,0.00
1276,피라냐,https://movie.naver.com/movie/bi/mi/basic.nhn?code=208332,https://ssl.pstatic.net/imgmovie/mdi/mit110/2083/208332_P01_165907.jpg,2020,['아레나스 안더슨 아스카니오'],,0.00
1300,그레이트 월,https://movie.naver.com/movie/bi/mi/basic.nhn?code=126034,https://ssl.pstatic.net/imgmovie/mdi/mit110/1260/126034_P12_153724.jpg,2016,['장이머우'],"['맷 데이먼', '페드로 파스칼', '루한', '유덕화', '경첨', '윌렘 대포']",6.29
1313,레드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194076,https://ssl.pstatic.net/imgmovie/mdi/mit110/1940/194076_P05_110637.jpg,2020,['미시마 유키코'],"['카호', '츠마부키 사토시']",8.82
1316,아들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189416,https://ssl.pstatic.net/imgmovie/mdi/mit110/1894/189416_P01_143224.jpg,2019,['이네스 타노빅'],"['율리시스 페미우 ', '스네자나 보그다노비치', '에밀 하드지하피즈베고빅']",0.00
1337,페이스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224514,,2023,['나홍진'],"['고준', '최무성', '엄태구']",0.00
1365,라이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226764,https://ssl.pstatic.net/imgmovie/mdi/mit110/2267/226764_P01_164255.jpg,2023,"['핀 빈터', '크리스티나 레빈 빈터']",,0.00
1368,세 얼간이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73372,https://ssl.pstatic.net/imgmovie/mdi/mit110/0733/73372_P47_150458.jpg,2009,['라지쿠마르 히라니'],"['아미르 칸', '카리나 카푸르', '마드하반', '셔먼 조쉬', '보만 이라니', '오미 베이디아']",9.35
1371,옹박 : 두번째 미션,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41334,https://ssl.pstatic.net/imgmovie/mdi/mit110/0413/41334_P43_094548.jpg,2005,['프라차야 핀카엡'],['토니 자'],8.29
1380,엠,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176778,,2018,['샌디 모리슨'],,0.00
1400,야연,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62960,https://ssl.pstatic.net/imgmovie/mdi/mit110/0629/F2960-01.jpg,2006,['펑 샤오강'],"['장쯔이', '오언조', '갈우', '저우쉰']",7.02
1477,파이널 데스티네이션,https://movie.naver.com/movie/bi/mi/basic.nhn?code=217810,https://ssl.pstatic.net/imgmovie/mdi/mit110/2178/217810_P01_120522.jpg,2021,['마리카 다무라 '],,0.00
1479,더 독,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160892,,2017,['에머슨 버글런드'],,0.00
1524,그레이의 50가지 그림자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115303,https://ssl.pstatic.net/imgmovie/mdi/mit110/1153/115303_P05_103428.jpg,2015,['샘 테일러 존슨'],"['다코타 존슨', '제이미 도넌', '제니퍼 엘', '루크 그림즈']",6.11
1525,파라노말 액티비티 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73787,https://ssl.pstatic.net/imgmovie/mdi/mit110/0737/73787_P08_193657.jpg,2010,['토드 윌리엄스'],"['케이티 피더스턴', '미카 슬로앳']",6.53
1532,홈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=206410,https://ssl.pstatic.net/imgmovie/mdi/mit110/2064/206410_P01_163046.jpg,2021,['미리암 우위라지예 비라라'],,0.00
1545,플립,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226638,,2022,['미하 퀴에친스키'],,0.00
1556,그녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221742,https://ssl.pstatic.net/imgmovie/mdi/mit110/2217/221742_P01_101926.jpg,2021,['이가온'],,0.00
1564,치외법권,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13429,https://ssl.pstatic.net/imgmovie/mdi/mit110/0134/13429_P01_162009.jpg,1991,['피터 마리스'],"['브루스 박스라이트너', '빌리 드라고', '톰 브레스나헌']",3.00
1567,썸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=210289,https://ssl.pstatic.net/imgmovie/mdi/mit110/2102/210289_P01_164452.jpg,2021,['알렉산드라 펙먼'],,0.00
1570,플러쉬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=196995,https://ssl.pstatic.net/imgmovie/mdi/mit110/1969/196995_P01_181744.jpg,2020,['디에고 프레이타스'],,0.00
1593,샬롯의 거미줄,https://movie.naver.com/movie/bi/mi/basic.nhn?code=46470,https://ssl.pstatic.net/imgmovie/mdi/mit110/0464/D6470-01.jpg,1973,"['찰스 A. 니콜스', '이와오 다카모토']","['데비 레이놀즈', '폴 린드']",9.08
1607,킬러스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119293,https://ssl.pstatic.net/imgmovie/mdi/mit110/1192/119293_P04_154950.jpg,2014,['모 브라더스'],"['키타무라 카즈키', '오카 안타라']",6.73
1624,아담스 패밀리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=131553,https://ssl.pstatic.net/imgmovie/mdi/mit110/1315/131553_P01_170728.jpg,1964,['시드니 랜필드'],"['캐럴린 존스', '존 애스틴', '테드 캐시디']",10.00
1629,어글리 트루스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53350,https://ssl.pstatic.net/imgmovie/mdi/mit110/0533/53350_P00_135731.jpg,2009,['로버트 루케틱'],"['캐서린 헤이글', '제라드 버틀러']",8.41
1640,유실물,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61717,https://ssl.pstatic.net/imgmovie/mdi/mit110/0617/F1717-01.jpg,2006,['후루사와 켄'],"['사와지리 에리카', '오구리 슌', '와카츠키 치나츠']",4.07
1644,P.S. 아이 러브 유,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69099,https://ssl.pstatic.net/imgmovie/mdi/mit110/0690/F9099-00.jpg,2007,['리처드 라그라브네스'],"['힐러리 스웽크', '제라드 버틀러']",8.37
1672,드리머,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186189,https://ssl.pstatic.net/imgmovie/mdi/mit110/1861/186189_P01_171735.jpg,2018,['올가 오코레로바'],,0.00
1675,에이리언 VS 프레데터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38281,https://ssl.pstatic.net/imgmovie/mdi/mit110/0382/C8281-00.jpg,2004,['폴 앤더슨'],"['산나 라단', '라울 보바', '랜스 헨릭슨']",7.16
1746,눈의 여왕,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36065,https://ssl.pstatic.net/imgmovie/mdi/mit110/0360/C6065-01.jpg,1957,['레흐 아타마노후'],"['딕 빌즈', '빌리 부스']",9.90
1765,파이스토리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60618,https://ssl.pstatic.net/imgmovie/mdi/mit110/0606/F0618-01.jpg,2006,"['하워드 E. 베이커', '존 폭스', '이경호']","['김형준', '박명수', '임채무', '김현중']",7.13
1781,마야,https://movie.naver.com/movie/bi/mi/basic.nhn?code=196761,https://ssl.pstatic.net/imgmovie/mdi/mit110/1967/196761_P01_180327.jpg,2020,"['잠시드 모자데디', '앤슨 하트포드']",,0.00
1803,러브 & 트러블,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17372,https://ssl.pstatic.net/imgmovie/mdi/mit110/0173/A7372-01.jpg,1994,['찰스 샤이어'],"['줄리아 로버츠', '닉 놀테']",9.75
1839,다크니스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=110334,https://ssl.pstatic.net/imgmovie/mdi/mit110/1103/110334_P01_144232.jpg,2012,['자크 스틸'],"['멜라니 페퍼리아', '콜린 로렌스', '로라 밋첼']",0.00
1842,서약,https://movie.naver.com/movie/bi/mi/basic.nhn?code=84414,https://ssl.pstatic.net/imgmovie/mdi/mit110/0844/84414_P26_100535.jpg,2012,['마이클 수지'],"['레이첼 맥아담스', '채닝 테이텀']",8.25
1848,하우스 오브 왁스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40743,https://ssl.pstatic.net/imgmovie/mdi/mit110/0407/D0743-00.jpg,2005,['자움 콜렛 세라'],"['엘리샤 커스버트', '채드 마이클 머레이']",7.86
1869,원스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150928,,2015,['아디옹 루'],,0.00
1916,시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=196503,https://ssl.pstatic.net/imgmovie/mdi/mit110/1965/196503_P01_134758.jpg,2020,['루카 페리'],,0.00
1919,노미오와 줄리엣,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76444,https://ssl.pstatic.net/imgmovie/mdi/mit110/0764/76444_P05_120924.jpg,2011,['켈리 애스버리'],"['이준', '지연', '제임스 맥어보이', '에밀리 블런트']",8.30
1926,수,https://movie.naver.com/movie/bi/mi/basic.nhn?code=207233,https://ssl.pstatic.net/imgmovie/mdi/mit110/2072/207233_P01_115040.jpg,2019,['토마 크뮤히앙'],,0.00
1934,프리즌 이스케이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=193804,https://ssl.pstatic.net/imgmovie/mdi/mit110/1938/193804_P04_105152.jpg,2020,['프란시스 아난'],"['다니엘 래드클리프', '다니엘 웨버']",8.34
1937,송 포 유,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98728,https://ssl.pstatic.net/imgmovie/mdi/mit110/0987/98728_P18_174739.jpg,2012,['<b>폴</b> 앤드류 윌리엄스'],"['젬마 아터튼', '바네사 레드그레이브', '테렌스 스탬프']",8.72
1938,지구,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92151,https://ssl.pstatic.net/imgmovie/mdi/mit110/0921/92151_P01_163844.jpg,2012,['방재호'],,10.00
1971,코코 샤넬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83103,https://ssl.pstatic.net/imgmovie/mdi/mit110/0831/83103_P01_142400.jpg,2008,['크리스찬 두가이'],"['바보라 보부로바', '브리짓 보쉐']",0.00
1982,헬보이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38396,https://ssl.pstatic.net/imgmovie/mdi/mit110/0383/C8396-00.jpg,2004,['기예르모 델 토로'],"['론 펄먼', '존 허트', '셀마 블레어', '루퍼트 에반스', '카렐 로든', '제프리 탬버']",7.06
2009,검은 물밑에서,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34520,https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4520-00.jpg,2002,['나카다 히데오'],['구로키 히토미'],5.86
2011,블루,https://movie.naver.com/movie/bi/mi/basic.nhn?code=206172,https://ssl.pstatic.net/imgmovie/mdi/mit110/2061/206172_P01_102556.JPG,2021,['요시다 케이스케'],,0.00
