순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점
2531,몬스터 헌터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190011,https://ssl.pstatic.net/imgmovie/mdi/mit110/1900/190011_P14_102207.jpg,2020,['폴 앤더슨'],"['밀라 요보비치', '토니 자']",5.72
2538,바람,https://movie.naver.com/movie/bi/mi/basic.nhn?code=203972,https://ssl.pstatic.net/imgmovie/mdi/mit110/2039/203972_P01_162139.jpg,2021,['마틴 푸츠'],,0.00
2555,부기맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=108533,,2012,['제프리 스콧 랜도'],"['에디 맥클린턱', '에이미 베일리']",1.00
2556,타운,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155813,https://ssl.pstatic.net/imgmovie/mdi/mit110/1558/155813_P01_174906.jpg,2015,['에밀리 차오'],,0.00
2561,투게더,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140008,https://ssl.pstatic.net/imgmovie/mdi/mit110/1400/140008_P01_160451.jpg,1971,['숀 S. 커닝햄'],['마릴린 챔버스'],0.00
2581,위대한 침묵,https://movie.naver.com/movie/bi/mi/basic.nhn?code=58666,https://ssl.pstatic.net/imgmovie/mdi/mit110/0586/58666_P13_103019.jpg,2005,['필립 그로닝'],,7.81
2623,몬스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=222965,https://ssl.pstatic.net/imgmovie/mdi/mit110/2229/222965_P01_141300.jpg,2022,['제라드 노게이라'],,0.00
2625,아미티빌 호러,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40552,https://ssl.pstatic.net/imgmovie/mdi/mit110/0405/D0552-00.jpg,2005,['앤드류 더글러스'],"['라이언 레이놀즈', '멜리사 조지', '제시 제임스', '지미 베넷', '클로이 모레츠']",6.99
2648,더 보이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181701,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181701_P09_111143.jpg,2019,['데이비드 야로베스키'],"['엘리자베스 뱅크스', '잭슨 A.<b>던</b>', '데이비드 덴맨']",4.85
2673,나나,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35876,https://ssl.pstatic.net/imgmovie/mdi/mit110/0358/35876_P01_153300.jpg,1926,['장 르누아르'],"['카트린 에슬링', '쟝 안젤로']",0.00
2700,와일드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186232,https://ssl.pstatic.net/imgmovie/mdi/mit110/1862/186232_P01_171410.jpg,2019,['얀 베데이크'],,0.00
2708,라르고 윈치,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69944,https://ssl.pstatic.net/imgmovie/mdi/mit110/0699/69944_P00_124043.jpg,2008,['제롬 살레'],"['토머 시슬리', '크리스틴 스콧 토마스']",5.87
2724,더 퀸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118653,https://ssl.pstatic.net/imgmovie/mdi/mit110/1186/118653_P02_142347.jpg,2013,['마누엘 아브라모비치'],,0.00
2753,룸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=208754,https://ssl.pstatic.net/imgmovie/mdi/mit110/2087/208754_P01_161535.jpg,2021,['카테리나 흐로니코바'],,0.00
2768,정사,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190404,https://ssl.pstatic.net/imgmovie/mdi/mit110/1904/190404_P01_135245.jpg,2019,['코지마 유키오'],,0.00
2801,카운트다운,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190377,https://ssl.pstatic.net/imgmovie/mdi/mit110/1903/190377_P05_161403.jpg,2019,['저스틴 덱'],"['엘리자베스 라일', '피터 파시넬리', '탈리타 베이트먼', '조던 캘러웨이']",6.77
2805,더 클럽,https://movie.naver.com/movie/bi/mi/basic.nhn?code=135701,https://ssl.pstatic.net/imgmovie/mdi/mit110/1357/135701_P03_161532.jpg,2015,['파블로 라라인'],"['안토니아 제거스', '알프레도 카스트로', '알레한드로 고익', '로베르토 파리아스']",7.00
2814,내 남자 친구는 왕자님,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38472,https://ssl.pstatic.net/imgmovie/mdi/mit110/0384/C8472-00.jpg,2004,['마샤 쿨리지'],"['줄리아 스타일스', '루크 메이블리']",7.46
2815,집결호,https://movie.naver.com/movie/bi/mi/basic.nhn?code=63918,https://ssl.pstatic.net/imgmovie/mdi/mit110/0639/63918_P28_104416.jpg,2007,['펑 샤오강'],['장한위'],6.94
2822,청원,https://movie.naver.com/movie/bi/mi/basic.nhn?code=80774,https://ssl.pstatic.net/imgmovie/mdi/mit110/0807/80774_P22_165512.jpg,2010,['산제이 릴라 반살리'],"['리틱 로샨', '아이쉬와라 라이']",8.87
2862,동키호테,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48689,https://ssl.pstatic.net/imgmovie/mdi/mit110/0486/48689_P35_142435.jpg,2007,['호세 포조'],"['앤드류 부엔푸엔테', '데이빗 페르난데즈', '호세 루이스 길']",5.92
2871,그녀에게,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221742,https://ssl.pstatic.net/imgmovie/mdi/mit110/2217/221742_P01_101926.jpg,2021,['이가온'],,0.00
2895,다크 플레이스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186116,https://ssl.pstatic.net/imgmovie/mdi/mit110/1861/186116_P01_170322.jpg,2019,"['코디 베드포드', '페룬 본저', '롭 브라슬린', '비욘 스튜어트', '리암 필립스']",,0.00
2899,더 플랫폼,https://movie.naver.com/movie/bi/mi/basic.nhn?code=188790,https://ssl.pstatic.net/imgmovie/mdi/mit110/1887/188790_P12_111150.jpg,2019,['가더 가츠테루-우루샤'],['이반 마사구에'],7.13
2913,별,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164091,https://ssl.pstatic.net/imgmovie/mdi/mit110/1640/164091_P01_165704.jpg,2015,['라티미르 라쿨지크'],,0.00
2926,아메리칸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144502,https://ssl.pstatic.net/imgmovie/mdi/mit110/1445/144502_P01_143532.jpg,2015,['닉 러브'],"['스티븐 도프', '에디 그리핀']",5.46
2942,스쿠프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=56220,https://ssl.pstatic.net/imgmovie/mdi/mit110/0562/56220_P57_154159.jpg,2006,['우디 앨런'],"['휴 잭맨', '스칼릿 조핸슨', '우디 앨런']",7.10
2954,헤드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115773,https://ssl.pstatic.net/imgmovie/mdi/mit110/1157/115773_P03_155514.jpg,2013,['나단 실버'],['데오도르 볼로코스'],0.00
3013,킬러들의 도시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155973,https://ssl.pstatic.net/imgmovie/mdi/mit110/1559/155973_P01_164039.jpg,2016,['안느-소피 레이몬드'],,0.00
3024,더 룸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183994,https://ssl.pstatic.net/imgmovie/mdi/mit110/1839/183994_P19_111920.jpg,2019,['크리스티안 볼크만'],"['올가 쿠릴렌코', '케빈 얀센스']",7.62
3050,대지진,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14658,https://ssl.pstatic.net/imgmovie/mdi/mit110/0146/A4658-00.jpg,1974,['마크 로브슨'],"['찰톤 헤스톤', '에바 가드너', '조지 케네디', '론 그린', '주느비에브 뷔졸드', '리차드 라운트리']",6.33
3057,밴디다스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=56723,https://ssl.pstatic.net/imgmovie/mdi/mit110/0567/E6723-01.jpg,2006,"['에스펜 잔드베르크', '요아킴 뢰닝']","['페넬로페 크루즈', '셀마 헤이엑']",6.93
3086,블랙 가스펠,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112666,https://ssl.pstatic.net/imgmovie/mdi/mit110/1126/112666_P01_143428.jpg,2013,['히즈엠티 미니스트리'],"['양동근', '정준', '김유미', '헤리티지']",8.49
3088,워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223894,https://ssl.pstatic.net/imgmovie/mdi/mit110/2238/223894_P01_181309.jpg,2020,['양지민'],,0.00
3096,도쿄타워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65290,https://ssl.pstatic.net/imgmovie/mdi/mit110/0652/F5290-01.jpg,2007,"['마츠오카 조지', '니시타니 히로시']","['오다기리 죠', '키키 키린']",8.65
3142,비밀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=196352,https://ssl.pstatic.net/imgmovie/mdi/mit110/1963/196352_P01_102124.jpg,2020,['아사기리 조'],,0.00
3168,더 킥,https://movie.naver.com/movie/bi/mi/basic.nhn?code=77753,https://ssl.pstatic.net/imgmovie/mdi/mit110/0777/77753_P17_112305.jpg,2011,['프라차야 핀카엡'],"['조재현', '예지원', '나태주', '태미', '지자 야닌', '이관훈', '페치타이 웡캄라오']",6.96
3173,우리들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=204675,https://ssl.pstatic.net/imgmovie/mdi/mit110/2046/204675_P01_161155.jpg,2020,['정지승'],,0.00
3174,와일드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186232,https://ssl.pstatic.net/imgmovie/mdi/mit110/1862/186232_P01_171410.jpg,2019,['얀 베데이크'],,0.00
3264,아일라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169240,https://ssl.pstatic.net/imgmovie/mdi/mit110/1692/169240_P15_113521.jpg,2017,['잔 울카이'],"['김설', '이스마일 하지오글루']",9.52
3287,아네트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=206657,https://ssl.pstatic.net/imgmovie/mdi/mit110/2066/206657_P15_174851.jpg,2021,['레오 카락스'],"['아담 드라이버', '마리옹 꼬띠아르']",7.25
3290,크립,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41838,https://ssl.pstatic.net/imgmovie/mdi/mit110/0418/D1838-00.jpg,2004,['크리스토퍼 스미스'],"['프란카 포텐테', '바스 블랙우드', '켄 캠벨', '제레미 셰필드', '폴 라트레이', '켈리 스콧', '숀 해리스']",4.23
3310,도쿄!,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129881,https://ssl.pstatic.net/imgmovie/mdi/mit110/1298/129881_P05_140753.jpg,2014,['스테판 리베르스키'],"['폴린 에티엔', '이노우에 타이치']",1.00
3316,레이디버그,https://movie.naver.com/movie/bi/mi/basic.nhn?code=157564,https://ssl.pstatic.net/imgmovie/mdi/mit110/1575/157564_P23_154449.jpg,2016,['토마스 아스트뤽'],"['여민정', '남도형', '홍시호']",5.98
3318,레플리카,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142138,https://ssl.pstatic.net/imgmovie/mdi/mit110/1421/142138_P00_170200.jpg,2014,['뤽 왈포스'],"['캐롤 브라나', '제롬 로바트', '에벨레 브로차드']",0.00
3331,모탈 컴뱃,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17708,https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/17708_P34_231851.jpg,1995,['폴 앤더슨'],"['크리스토퍼 램버트', '위룡']",6.92
3350,스위밍 풀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93476,https://ssl.pstatic.net/imgmovie/mdi/mit110/0934/93476_P01_121717.jpg,2011,['푸앙소이 악선사왕'],,0.00
3355,그레이브 인카운터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112673,https://ssl.pstatic.net/imgmovie/mdi/mit110/1126/112673_P01_162359.jpg,2011,['제임스 퍼킨스'],"['살 렌디노', '알렉스 브레머']",6.00
3375,정글번치: 너구리 해적단과 보물지도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=138210,https://ssl.pstatic.net/imgmovie/mdi/mit110/1382/138210_P04_113455.jpg,2014,['에즈라 와이즈'],,7.15
3388,아이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219121,https://ssl.pstatic.net/imgmovie/mdi/mit110/2191/219121_P01_143139.jpg,2022,['파질라 아미리'],,0.00
3436,비투스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62390,https://ssl.pstatic.net/imgmovie/mdi/mit110/0623/F2390-00.jpg,2006,['프레디 M. 무러'],"['브루노 강쯔', '테오 게오르규']",8.94
3476,아이 엠 러브,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71151,https://ssl.pstatic.net/imgmovie/mdi/mit110/0711/71151_P17_104006.jpg,2009,['루카 구아다니노'],"['틸다 스윈튼', '플라비오 파렌티', '에도아도 가브리엘리니', '알바 로르와처']",7.85
3499,애프터썬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218372,https://ssl.pstatic.net/imgmovie/mdi/mit110/2183/218372_P13_115545.jpg,2022,['샬롯 웰스'],"['폴 메스칼', '프랭키 코리오']",8.45
3503,태양 아래,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146488,https://ssl.pstatic.net/imgmovie/mdi/mit110/1464/146488_P35_135554.jpg,2015,['비탈리 만스키'],,8.92
3504,I AM,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183470,,2019,['나오키 이토'],,0.00
3518,대결,https://movie.naver.com/movie/bi/mi/basic.nhn?code=205675,https://ssl.pstatic.net/imgmovie/mdi/mit110/2056/205675_P02_152803.jpg,2020,['크리스티앙 카밀로 토레스 홀긴'],,0.00
3522,팔로우,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182113,,2018,['사이먼 플랙'],,0.00
3556,사랑 후에 남겨진 것들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50785,https://ssl.pstatic.net/imgmovie/mdi/mit110/0507/E0785-00.jpg,2008,['도리스 되리'],"['엘마 베퍼', '한넬로르 엘스너', '이리즈키 아야', '맥시밀리언 브럭크너', '나디아 울']",8.90
3570,스노우타임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146198,https://ssl.pstatic.net/imgmovie/mdi/mit110/1461/146198_P11_102102.jpg,2015,['장-프랑소아 풀리오'],"['이지현', '김경희', '김연우', '최정현', '이현']",7.69
3583,전차남,https://movie.naver.com/movie/bi/mi/basic.nhn?code=42506,https://ssl.pstatic.net/imgmovie/mdi/mit110/0425/D2506-00.jpg,2005,['무라카미 쇼스케'],"['야마다 타카유키', '나카타니 미키']",7.81
3592,그레이 맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=216495,https://ssl.pstatic.net/imgmovie/mdi/mit110/2164/216495_P10_111154.jpg,2022,"['앤서니 루소', '조 루소']","['라이언 고슬링', '크리스 에반스', '아나 데 아르마스', '레게장 페이지']",8.39
3607,벨과 세바스찬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117888,https://ssl.pstatic.net/imgmovie/mdi/mit110/1178/117888_P08_095853.jpg,2013,['니콜라스 배니어'],"['펠릭스 보쉬', '체키 카료', '디미트리 스토로지', '마고 샤텔리에', '우벵 깐셀러', '안드레 피치만', '메디 엘 글라위']",8.64
3617,꼬마잠수함 올리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125774,https://ssl.pstatic.net/imgmovie/mdi/mit110/1257/125774_P00_174407.jpg,2013,['헤 질리'],,7.27
3623,그집,https://movie.naver.com/movie/bi/mi/basic.nhn?code=193837,https://ssl.pstatic.net/imgmovie/mdi/mit110/1938/193837_P11_101655.jpg,2020,['알베르트 핀토'],"['베고냐 바르가스', '이반 마르코스', '베아 세구라', '세르지오 카스텔라노스', '호세 루이스 데 마다리아가', '이반 레네도']",4.74
3637,시간,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181323,https://ssl.pstatic.net/imgmovie/mdi/mit110/1813/181323_P01_160314.png,2018,['송원재'],,0.00
3675,어떤 만남,https://movie.naver.com/movie/bi/mi/basic.nhn?code=206464,https://ssl.pstatic.net/imgmovie/mdi/mit110/2064/206464_P01_144054.png,2019,['이반 로웬버그'],,0.00
3679,지니어스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114247,https://ssl.pstatic.net/imgmovie/mdi/mit110/1142/114247_P15_100348.jpg,2016,['마이클 그랜디지'],"['콜린 퍼스', '주드 로']",8.22
3684,아이스 로드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=205966,https://ssl.pstatic.net/imgmovie/mdi/mit110/2059/205966_P18_172331.jpg,2021,['조나단 헨슬레이'],"['리암 니슨', '로렌스 피시번']",7.34
3690,콜드 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174832,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174832_P10_160113.jpg,2018,['파벨 포리코브스키'],"['요안나 쿨릭', '토마즈 코트']",8.26
3718,바다 탐험대 옥토넛 : 육지수호 대작전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=209648,https://ssl.pstatic.net/imgmovie/mdi/mit110/2096/209648_P01_174100.jpg,2021,"['패트리스 베루베', '프랭크 로코']","['하성용', '정재헌', '엄상현', '윤승희', '김율', '유동균', '김정은', '한경화', '박성영']",6.49
3741,힛쳐,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64991,https://ssl.pstatic.net/imgmovie/mdi/mit110/0649/F4991-00.jpg,2007,['데이브 마이어스'],['숀 빈'],4.46
3743,정글북 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36681,https://ssl.pstatic.net/imgmovie/mdi/mit110/0366/C6681-00.jpg,2003,['스티브 트렌버스'],,7.50
3746,돌핀보이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224830,https://ssl.pstatic.net/imgmovie/mdi/mit110/2248/224830_P12_153435.jpg,2022,"['모하매드 카이란디시', '안드레이 고글레프']",['박시윤'],4.68
3776,사이에서,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164489,https://ssl.pstatic.net/imgmovie/mdi/mit110/1644/164489_P01_174856.jpg,2017,['슬로니 소우'],,0.00
3777,환상의 그대,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74622,https://ssl.pstatic.net/imgmovie/mdi/mit110/0746/74622_P19_100713.jpg,2010,['우디 앨런'],"['나오미 왓츠', '안소니 홉킨스', '안토니오 반데라스', '조슈 브롤린']",7.60
3795,스파이크,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112983,https://ssl.pstatic.net/imgmovie/mdi/mit110/1129/112983_P09_164936.jpg,2012,"['데이빗 알루', '에릭 토스티']",,8.22
3800,더 데이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=204985,https://ssl.pstatic.net/imgmovie/mdi/mit110/2049/204985_P01_163552.jpg,2021,['나무라 신'],,0.00
3818,체르노빌 1986,https://movie.naver.com/movie/bi/mi/basic.nhn?code=204782,https://ssl.pstatic.net/imgmovie/mdi/mit110/2047/204782_P11_162656.jpg,2021,['다닐라 코즐로브스키'],"['다닐라 코즐로브스키', '오크사나 아킨쉬나', '필리프 아브데예프', '니콜라이 코작']",7.77
3823,얼굴없는 보스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167422,https://ssl.pstatic.net/imgmovie/mdi/mit110/1674/167422_P04_105118.jpg,2019,['송창용'],"['천정명', '진이한', '이하율', '곽희성', '이시아', '김도훈', '이지훈']",3.23
3847,개들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156124,https://ssl.pstatic.net/imgmovie/mdi/mit110/1561/156124_P01_181801.jpg,2017,"['다비데 바레티', '로렌조 콘테']","['클라우디오 산타마리아', '에르네스토 마히스']",0.00
3865,이브닝,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65102,https://ssl.pstatic.net/imgmovie/mdi/mit110/0651/65102_P01_104203.jpg,2007,['라조스 콜타이'],"['클레어 데인즈', '토니 콜렛', '바네사 레드그레이브', '패트릭 윌슨']",6.66
3877,윌리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179719,https://ssl.pstatic.net/imgmovie/mdi/mit110/1797/179719_P00_150058.jpg,2018,"['유스리 압드 하림', '칼 멘데즈']","['허성재', '조연우', '방지원', '송영인', '신정훈', '박상우']",7.42
3880,히어로,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194521,https://ssl.pstatic.net/imgmovie/mdi/mit110/1945/194521_P01_161517.jpg,2019,['양엄지'],,0.00
3930,무문관,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173459,https://ssl.pstatic.net/imgmovie/mdi/mit110/1734/173459_P02_110338.jpg,2018,['박대원'],,8.30
3934,아마조니아,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113145,https://ssl.pstatic.net/imgmovie/mdi/mit110/1131/113145_P11_135454.jpg,2013,['티에리 라고베르트'],,8.37
3936,이브 생 로랑,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119457,https://ssl.pstatic.net/imgmovie/mdi/mit110/1194/119457_P12_114557.jpg,2014,['자릴 라스페르'],"['피에르 니네이', '샬롯 르 본', '기욤 갈리엔', '니콜라이 킨스키']",7.39
3943,휘트니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174659,https://ssl.pstatic.net/imgmovie/mdi/mit110/1746/174659_P05_141333.jpg,2018,['캐빈 맥도널드'],['<b>휘트니</b> 휴스턴'],9.00
3971,프란츠,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149012,https://ssl.pstatic.net/imgmovie/mdi/mit110/1490/149012_P13_112931.jpg,2016,['프랑소와 오종'],"['피에르 니네이', '폴라 비어']",8.59
3976,팬데믹,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194766,https://ssl.pstatic.net/imgmovie/mdi/mit110/1947/194766_P09_103320.jpg,2020,['타카시 도셔'],"['프리다 핀토', '레슬리 오덤 주니어']",3.53
3977,브로큰 플라워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40913,https://ssl.pstatic.net/imgmovie/mdi/mit110/0409/D0913-00.jpg,2005,['짐 자무쉬'],['빌 머레이'],7.81
4014,라이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226764,https://ssl.pstatic.net/imgmovie/mdi/mit110/2267/226764_P01_164255.jpg,2023,"['핀 빈터', '크리스티나 레빈 빈터']",,0.00
4045,블라인드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221290,https://ssl.pstatic.net/imgmovie/mdi/mit110/2212/221290_P01_114532.jpg,2022,['김원진'],,0.00
4047,소녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224198,https://ssl.pstatic.net/imgmovie/mdi/mit110/2241/224198_P01_113111.jpg,2022,['이기홍'],,0.00
4053,상실의 시대,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75559,https://ssl.pstatic.net/imgmovie/mdi/mit110/0755/75559_P28_141915.jpg,2010,['트란 안 훙'],"['마츠야마 켄이치', '키쿠치 린코', '미즈하라 키코']",4.96
4067,숏버스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60779,https://ssl.pstatic.net/imgmovie/mdi/mit110/0607/F0779-00.jpg,2006,['존 카메론 미첼'],"['숙인 리', '폴 도슨', '린지 비미시', 'PJ 드보이', '요론다 로스']",7.34
4080,연애,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151965,https://ssl.pstatic.net/imgmovie/mdi/mit110/1519/151965_P01_112241.jpg,2015,['김석영'],,7.40
4098,레인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220893,,2021,['유키 한'],,0.00
4107,하늘과 바다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=52240,https://ssl.pstatic.net/imgmovie/mdi/mit110/0522/52240_P10_202918.jpg,2009,['봉수'],"['장나라', '현쥬니', '유아인']",6.66
4115,오즈의 마법사 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=46466,https://ssl.pstatic.net/imgmovie/mdi/mit110/0464/D6466-01.jpg,1974,['할 서더랜드'],"['밀튼 버얼', '허쉘 버나디', '폴 포드', '마가렛 해밀턴', '잭 E. 레너드', '폴 린드', '에델 머먼', '라이자 미넬리', '미키 루니', '리스 스티븐스', '대니 토머스', '멜 블랭크', '댈 맥케넌', '래리 스토치']",8.00
4117,퍼펙트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168034,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168034_P01_113259.jpg,2018,['에디 알카자르'],"['애비 코니쉬', '마틴 센스마이어', '코트니 이튼']",0.00
4129,유랑지구,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181104,https://ssl.pstatic.net/imgmovie/mdi/mit110/1811/181104_P18_101445.jpg,2019,['곽범'],"['굴초소', '조금맥', '오경']",5.72
4131,룩 앳 미,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38553,https://ssl.pstatic.net/imgmovie/mdi/mit110/0385/C8553-00.jpg,2004,['아네스 자우이'],"['마릴루 베리', '아네스 자우이']",7.45
4140,혼스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=90599,https://ssl.pstatic.net/imgmovie/mdi/mit110/0905/90599_P30_102741.jpg,2014,['알렉산드르 아야'],"['다니엘 래드클리프', '주노 템플']",7.32
4142,인 더 하우스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92579,https://ssl.pstatic.net/imgmovie/mdi/mit110/0925/92579_P10_161820.jpg,2012,['프랑소와 오종'],"['크리스틴 스콧 토마스', '엠마누엘 자이그너', '파브리스 루치니', '어니스트 움하우어']",8.36
4196,리버틴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=55217,https://ssl.pstatic.net/imgmovie/mdi/mit110/0552/E5217-00.jpg,2004,['로렌스 던모어'],"['조니 뎁', '사만다 모튼']",7.99
4200,롤라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219192,https://ssl.pstatic.net/imgmovie/mdi/mit110/2191/219192_P01_201254.jpg,2022,['앤드류 레그'],,0.00
4221,링스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=210455,https://ssl.pstatic.net/imgmovie/mdi/mit110/2104/210455_P01_103003.jpg,2021,['줄리엔 헨리'],,0.00
4224,파티마의 기적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30360,,1952,['존 브람'],"['길버트 롤랜드', '안젤라 클락']",5.50
4228,카운터페이터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65925,https://ssl.pstatic.net/imgmovie/mdi/mit110/0659/F5925-00.jpg,2007,['슈테판 루조비츠키'],['카알 마르코빅스'],8.16
4265,이다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37312,https://ssl.pstatic.net/imgmovie/mdi/mit110/0373/C7312-01.jpg,2002,['한스 파비안 불렌베버'],"['율리 상엔베르', '스테판 파겔스 아네르센']",9.50
4279,배드 지니어스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163386,https://ssl.pstatic.net/imgmovie/mdi/mit110/1633/163386_P27_102626.jpg,2017,['나타우트 폰피리야'],"['에이샤 호수완', '티라돈 수파펀핀요', '추티몬 추엥차로엔수키잉', '차논 산티네톤쿨']",8.60
4315,프렌드 존,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187548,https://ssl.pstatic.net/imgmovie/mdi/mit110/1875/187548_P16_110928.jpg,2019,['차야놉 분프라콥 '],"['핌차녹 류위셋파이분', '나팟 시앙솜분', '제이슨 영']",8.25
4335,데드폴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45153,,1968,['브라이언 포브스'],"['마이클 케인', '블라덱 쉐이벌']",0.00
4336,비거 스플래쉬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129045,https://ssl.pstatic.net/imgmovie/mdi/mit110/1290/129045_P20_111950.jpg,2015,['루카 구아다니노'],"['랄프 파인즈', '다코타 존슨', '마티아스 쇼에나에츠', '틸다 스윈튼']",7.21
4341,콜로설,https://movie.naver.com/movie/bi/mi/basic.nhn?code=143499,https://ssl.pstatic.net/imgmovie/mdi/mit110/1434/143499_P20_100945.jpg,2016,['나초 비가론도'],"['앤 해서웨이', '제이슨 서디키스']",5.02
4366,더 문,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221749,,2021,['김용화'],"['설경구', '도경수']",0.00
