,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
21,26,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니스튜디오스코리아,2015-04-23,장편,미국,1843,88582586366,10494499,"25,001,906,266","2,823,388",액션,12세관람가,일반영화,2015,4,봄,217299523,0,"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']",8.32
22,27,기생충,봉준호,씨제이이엔엠,2019-05-30,장편,한국,1948,87459829095,10313086,"24,128,560,195","2,790,209",드라마,15세관람가,일반영화,2019,5,봄,226678777,0,"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']",8.49
23,28,겨울왕국,제니퍼 리,월트디즈니스튜디오스코리아,2014-01-16,장편,미국,1010,82461504400,10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화,2014,1,겨울,215068958,0,"['크리스틴 벨', '이디나 멘젤']",9.13
24,29,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아,2014-11-06,장편,미국,1342,82274331200,10273803,"25,500,349,600","3,079,036",SF,12세관람가,일반영화,2014,11,가을,215068958,0,"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']",9.12
25,30,보헤미안 랩소디,브라이언 싱어,월트디즈니스튜디오스코리아,2018-10-31,장편,미국,936,86280975785,9948386,"27,849,793,695","3,097,336",드라마,12세관람가,일반영화,2018,10,가을,216385269,0,"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']",9.42
26,31,검사외전,이일형,쇼박스,2016-02-03,장편,한국,1812,77252755264,9699092,"18,302,525,664","2,219,587",범죄,15세관람가,일반영화,2016,2,겨울,217026182,0,"['황정민', '강동원']",7.94
27,32,엑시트,이상근,씨제이이엔엠,2019-07-31,장편,한국,1660,79232212162,9426051,"18,533,549,352","2,132,869",코미디,12세관람가,일반영화,2019,7,여름,226678777,0,"['조정석', '윤아']",8.31
28,33,관상,한재림,쇼박스,2013-09-11,장편,한국,1190,66005451500,9134586,"19,311,179,000","2,561,744",사극,15세관람가,일반영화,2013,9,가을,213351030,0,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
29,34,아이언맨 3,쉐인 블랙,월트디즈니스튜디오스코리아,2013-04-25,장편,미국,1381,70806191000,9001309,"21,668,935,500","2,595,269",액션,12세관람가,일반영화,2013,4,봄,213351030,0,"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']",8.86
30,35,설국열차,봉준호,씨제이이엔엠,2013-08-01,장편,한국,1128,64016480000,8914845,"18,975,866,000","2,550,437",SF,15세관람가,일반영화,2013,8,여름,213351030,0,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
31,36,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니스튜디오스코리아,2016-04-27,장편,미국,1991,72672111827,8677249,"21,248,121,149","2,400,069",액션,12세관람가,일반영화,2016,4,봄,217026182,0,"['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']",8.67
32,37,수상한 그녀,황동혁,씨제이이엔엠,2014-01-22,장편,한국,692,62696639249,8656397,"15,358,810,049","2,042,110",드라마,15세관람가,일반영화,2014,1,겨울,215068958,0,"['심은경', '나문희', '박인환', '성동일', '이진욱']",9.01
33,38,해적: 바다로 간 산적,이석훈,롯데엔터테인먼트,2014-08-06,장편,한국,838,66240631706,8646758,"14,906,345,006","1,868,694",어드벤처,12세관람가,일반영화,2014,8,여름,215068958,0,"['김남길', '손예진']",8.28
34,39,국가대표,김용화,쇼박스,2009-07-29,장편,한국,580,60896633308,8487894,"16,782,332,500","2,213,346",드라마,12세관람가,일반영화,2009,7,여름,155398654,0,"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']",9.13
35,41,백두산,김병서,씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300,8252669,"15,055,877,210","1,724,785",어드벤처,12세관람가,일반영화,2019,12,겨울,226678777,0,"['이병헌', '하정우', '마동석', '전혜진', '수지']",5.74
36,42,과속스캔들,강형철,롯데엔터테인먼트,2008-12-03,장편,한국,405,53940101534,8245523,"16,515,292,833","2,390,408",코미디,12세관람가,일반영화,2008,12,겨울,147428639,0,"['차태현', '박보영', '왕석현']",9.2
37,43,탑건: 매버릭,조셉 코신스키,롯데컬처웍스롯데엔터테인먼트,2022-06-22,장편,미국,1975,87855360975,8177446,"25,925,045,991","2,309,600",액션,12세관람가,일반영화,2022,6,여름,112805094,1,"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']",9.76
38,44,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-07-02,장편,미국,2142,69000711100,8020208,"18,515,112,400","2,051,196",액션,12세관람가,일반영화,2019,7,여름,226678777,0,"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']",8.33
39,46,공조,김성훈,씨제이이엔엠,2017-01-18,장편,한국,976,63781731326,7817446,"14,672,808,676","1,744,624",액션,15세관람가,일반영화,2017,1,겨울,219876227,0,"['현빈', '유해진', '김주혁']",8.26
40,47,트랜스포머 3,마이클 베이,씨제이이엔엠,2011-06-29,장편,미국,1409,74841350500,7784807,"21,746,223,000","2,143,018",액션,12세관람가,일반영화,2011,6,여름,159724465,0,"['샤이아 라보프', '로지 헌팅턴 휘틀리', '조쉬 더하멜', '휴고 위빙', '패트릭 뎀시', '레너드 니모이', '타이레스 깁슨', '존 말코비치', '켄 정', '프란시스 맥도맨드', '존 터투로']",7.06
41,48,히말라야,이석훈,씨제이이엔엠,2015-12-16,장편,한국,1009,60173583015,7759473,"13,920,553,930","1,738,016",드라마,12세관람가,일반영화,2015,12,겨울,217299523,0,"['황정민', '정우']",7.99
42,49,미션임파서블:고스트프로토콜,브래드 버드,씨제이이엔엠,2011-12-15,장편,미국,1038,57795846000,7575899,"18,719,283,500","2,347,164",액션,15세관람가,일반영화,2011,12,겨울,159724465,0,"['톰 크루즈', '제레미 레너']",8.74
43,50,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-12-15,장편,미국,2948,75193912210,7551990,"21,054,819,760","2,041,418",액션,12세관람가,일반영화,2021,12,겨울,60531087,1,"['톰 홀랜드', '젠데이아 콜먼', '베네딕트 컴버배치', '존 파브로', '제이콥 배덜런', '마리사 토메이', '알프리드 몰리나']",8.77
44,51,트랜스포머: 패자의 역습,마이클 베이,씨제이이엔엠,2009-06-24,장편,미국,1129,51478531663,7505700,"16,083,028,500","2,200,557",SF,12세관람가,일반영화,2009,6,여름,155398654,0,"['샤이아 라보프', '메간 폭스', '휴고 위빙', '조쉬 더하멜', '존 터투로']",8.11
45,52,밀정,김지운,워너브러더스 코리아,2016-09-07,장편,한국,1444,61158644831,7487545,"15,436,298,021","1,827,424",액션,15세관람가,일반영화,2016,9,가을,217026182,0,"['송강호', '공유']",8.45
46,53,최종병기 활,김한민,롯데엔터테인먼트,2011-08-10,장편,한국,615,55808856500,7466976,"16,139,541,000","2,059,847",사극,15세관람가,일반영화,2011,8,여름,159724465,0,"['박해일', '류승룡', '김무열', '문채원']",7.87
47,55,써니,강형철,씨제이이엔엠,2011-05-04,장편,한국,472,53773170600,7328820,"15,401,904,600","2,004,824",드라마,15세관람가,일반영화,2011,5,봄,159724465,0,"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12
48,57,한산: 용의 출현,김한민,롯데컬처웍스롯데엔터테인먼트,2022-07-27,장편,한국,2223,73700628377,7264934,"15,974,849,913","1,513,672",액션,12세관람가,일반영화,2022,7,여름,112805094,1,"['박해일', '변요한', '안성기', '손현주', '김성규', '김성균', '김향기', '택연', '공명', '박지환', '조재윤']",8.74
49,58,스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-07-05,장편,미국,1965,59120173820,7257973,"16,753,103,620","1,969,107",액션,12세관람가,일반영화,2017,7,여름,219876227,0,"['톰 홀랜드', '마이클 키튼']",8.35
50,59,1987,장준환,씨제이이엔엠,2017-12-27,장편,한국,1299,58165581145,7231638,"14,638,920,495","1,776,877",드라마,15세관람가,일반영화,2017,12,겨울,219876227,0,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
51,60,베를린,류승완,씨제이이엔엠,2013-01-30,장편,한국,894,52354931637,7166199,"16,070,379,637","2,118,794",액션,15세관람가,일반영화,2013,1,겨울,213351030,0,"['하정우', '한석규', '류승범', '전지현', '이경영']",7.84
52,61,마스터,조의석,씨제이이엔엠,2016-12-21,장편,한국,1501,58067927865,7150541,"14,520,299,965","1,731,940",액션,15세관람가,일반영화,2016,12,겨울,217026182,0,"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']",8.11
53,62,터널,김성훈,쇼박스,2016-08-10,장편,한국,1105,57510324417,7118592,"14,121,558,017","1,675,010",드라마,12세관람가,일반영화,2016,8,여름,217026182,0,"['하정우', '배두나', '오달수']",8.37
