,영화명,리뷰
0,더 퍼스트 슬램덩크,"['너희들은 안늙었구나..', '이노우에 다케히코가 청춘 시절을 슬램덩크와 함께 보냈던 이들에게 보내는 최고의 선물. 기억 저편에 남아있던 슬램덩크의 명장면들이 살아 숨 쉬는 기적. 그리고 절대 잊을 수 없는 마지막 1분.', '원래 극장판 만화영화는 원작으로 자막을 선호하지만 슬덩만큼은 꼭 더빙으로 보시길 강추합니다 완전 최고입니다 쿠키씬도 꼭 보시고 더 세컨드 슬램덩크도 나오길 바래봅니다 형제들이여 꼭 기억하시길 바랍니다 2022년엔 탑...', '종이로 인쇄되어있던 산왕전이 살아 움직이는 그자체로 평점 만점.미완으로 마쳤던 원작 송태섭의 완성.', '아는 내용으로 이런 감동을 주다니', '슬램덩크 팬들한텐 최고의 영화', 'TV 애니메이션과는 차원이 다른 박진감 넘치는 연출. 원작 만화에서는 볼 수 없었던 새로운 장면들.모두가 결말을 아는 이야기라도 이렇게까지 몰입할 수 있도록 만든건 정말 대단하다.', '시대를 초월한 걸작의 감동', '내 첫 만점 영화!완벽한 감동의 재연 그리고 전율! 이노우에 선생님 감사합니다.~', '첫 5명 스케치 장면에서 눈물이...왜 나지..?']"
1,스즈메의 문단속,"['&lt;너의 이름은&gt;에 이어 동일본대지진에 대한 트라우마를 이 영화를 통해 다시금 다뤄보려고 하는 의도는 높이 사지만 결말이 너무 실망스럽다. &#39;살고 싶다&#39;는 인간적인 욕망을 긍정하는 의도는 좋으나 &#39;소타&#39;를 살리기 위해 상대적으로 더 약자처럼 보이는 다이진에게 묘석으로 돌아가라고 강요하는 결말이 바람직해 보이냐 하면 그렇지 않다 생각한다. 다른 변수는 없고 그저 다이진이 묘석으로 돌아가겠다고 마음을 먹기만 하면 모든 문제가 해결된다니 스즈메가 미야자키에서 후쿠시마까지 그 모든 여정을 거칠 필요가 있었는지?? 선도 악도 아닌 느낌의 다이진 캐릭터가 매력적이었는데 캐릭터를 서사가 책임지지 못했음. ', '초반까지는 신선한 설정과 아름다운 작화로 흥미로웠으나 뒤로 갈 수록 이전 작품에서 봤던 장면이 많이 나와서 지루했어요. 주인공과 고양이의 이랬다 저랬다 하는 감정노선도 별로였어요.', '감독님의 영화를 좋아하지 않아도 한 번쯤은 볼만합니다. 너의 이름은 이나 날씨의 아이처럼 n회차 할 정도로 만족했습니다. 이야기가 많은 개연성은 영화 초반에 나온 설정에 집중하면 괜찮다는 생각이 들고 나중에 유튜브에...', '마지막 클라이막스때 저항없이 울었다', '영상미는 좋음 볼거면 아이맥스로 보세요.근데, 전체적인 개연성 너어어어어무 부족.  1. 문은 왜 어떤 기준으로 열리며, 닫으면 끝나는 허무함   2. 여주는 왜 갑자기 목숨을 바칠정도로 사랑에 빠진것인가   3. 광고에서는 고양이가 엄청 큰 역할이 있는거마냥 하더니 아무것도 아님   4. 이 영화가 무슨 주제로 어떤 내용을 담고 전달하려는지 난잡함   5. 해리포터따라한거같음..ㅡㅡ 어설프고 공감도 안가고 힘도 안남.. ___결론, 영상미가 좋아서 보긴하겠지만 너의이름은, 날씨의아이 처럼 여러번 돌려볼만한 영화는 아님 ', '금사빠 스즈메의 얼렁뚱땅 이야기 이딴 스토리로 무슨.. 작화와 ost가 아깝습니다.', '폐허가 된 자리에도 마음에도 꽃은 핀다', '보는 내내 고등학생때 강제로 야자 하라고 붙잡혀있는 기분이였음그림은 예뻤으나 진부한 전개로 인해서 그런듯', '너의이름은 날씨의아이에 이어 재난3부작의 정점을 제대로 찍은 수작! 역대급 영상미와 작화까지 선보인 애니메이션!', '역대급 영상미, 역대급 감동.. 진짜 한참 울었습니다. 재난은 진짜 너무 무서워요..']"
2,영웅,"['역사를 잊은 민족에게 미래는 없다...', '안중근 유해를 반드시 찾아와야합니딘', '배우들 노래 왤케 잘함 정성화는 물론이고 김고은 노래 대박이다 ㄷㄷ 못하는 걸 못하네 ㅋㅋㅋ 이거 노래 계속 들어야지', '누가 죄인인가 누가 죄인인가 별점테러하는 알바들이 키보드 두드린 죄', '미안합니다. 잊고 지내서감사합니다. 지켜 주셔서추천합니다. 올 연말 꼭 봐야하는 영화', '어느것 하나 빠지지않는 최고의 영화였다...뮤지컬을 워낙 좋아해서 혹시나 했는데 그 이상의 감동이었다 진짜...최고', '한국영화의 새로운 도전! 제작진 노력이 대단한 영화', '눈물을 멈출 수 없는 뜨거운 감동', '영화 보고 나온 뒤부터 내 플리는 영웅 OST로 꽉참', '120분간 스크린속에서 펼쳐지는 웅장한 뮤지컬 영화!']"
