순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
25,인터스텔라,2014-11-06,"83,072,616,000","10,342,523","1,410","170,542",미국,"미국,영국",워너브러더스 코리아(주)
26,기생충,2019-05-30,"87,463,965,795","10,313,519","1,948","206,452",한국,한국,(주)씨제이이엔엠
27,겨울왕국,2014-01-16,"82,544,207,680","10,305,051","1,010","157,951",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
28,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
29,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스
30,엑시트,2019-07-31,"79,239,937,162","9,426,960","1,660","202,418",한국,한국,(주)씨제이이엔엠
31,설국열차,2013-08-01,"67,035,020,000","9,353,799","1,128","125,777",한국,"한국,체코",(주)씨제이이엔엠
32,관상,2013-09-11,"66,009,826,500","9,135,806","1,240","125,107",한국,한국,(주)쇼박스
33,아이언맨 3,2013-04-25,"70,809,259,500","9,001,679","1,389","163,596",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
34,캡틴 아메리카: 시빌 워,2016-04-27,"72,686,676,527","8,678,761","1,991","161,744",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
35,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
36,수상한 그녀,2014-01-22,"62,721,621,849","8,660,801","1,027","137,011",한국,한국,(주)씨제이이엔엠
37,백두산,2019-12-19,"69,831,430,800","8,253,427","1,971","174,505",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
38,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
39,탑건: 매버릭,2022-06-22,"88,057,695,494","8,195,713","1,975","250,795",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
40,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671",한국,한국,(주)쇼박스
41,스파이더맨: 파 프롬 홈,2019-07-02,"69,033,177,100","8,023,606","2,142","181,035",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
42,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스
43,공조,2017-01-18,"63,783,534,886","7,817,686","1,392","142,999",한국,한국,(주)씨제이이엔엠
44,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,(주)씨제이이엔엠
45,히말라야,2015-12-16,"60,175,363,015","7,759,761","1,095","142,715",한국,한국,(주)씨제이이엔엠
46,스파이더맨: 노 웨이 홈,2021-12-15,"75,193,912,210","7,551,990","2,948","276,695",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
47,미션임파서블:고스트프로토콜,2011-12-15,"57,302,548,500","7,508,976","1,024","114,771",미국,미국,(주)씨제이이엔엠
48,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162",한국,"한국,미국",워너브러더스 코리아(주)
49,최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,"130,055",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
50,트랜스포머,2007-06-28,"47,710,604,338","7,402,732",863,"92,704",미국,미국,CJ ENM
51,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,CJ ENM
52,써니,2011-05-04,"54,038,557,200","7,363,142",546,"149,157",한국,한국,(주)씨제이이엔엠
53,한산: 용의 출현,2022-07-27,"73,700,628,377","7,264,934","2,223","217,713",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
54,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
55,1987,2017-12-27,"58,170,216,145","7,232,452","1,299","138,231",한국,한국,(주)씨제이이엔엠
56,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760",한국,"한국,독일",(주)씨제이이엔엠
57,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,(주)씨제이이엔엠
58,터널,2016-08-10,"57,530,028,417","7,120,780","1,105","113,214",한국,한국,(주)쇼박스
59,어벤져스,2012-04-26,"59,644,552,758","7,087,971",967,"112,559",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
60,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스
61,인천상륙작전,2016-07-27,"55,112,241,303","7,051,237","1,049","97,035",한국,한국,(주)씨제이이엔엠
62,공조2: 인터내셔날,2022-09-07,"70,917,452,586","6,982,940","2,389","275,816",한국,한국,(주)씨제이이엔엠
63,럭키,2016-10-13,"56,445,323,256","6,975,631","1,234","155,991",한국,한국,(주)쇼박스
64,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463",한국,한국,(주)쇼박스
65,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"플러스엠 엔터테인먼트,(주)키위미디어그룹"
66,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주)
67,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,CJ ENM
68,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,755,980,300","6,686,075",824,"93,589",한국,한국,CJ ENM
69,늑대소년,2012-10-31,"46,598,017,400","6,655,501",854,"109,262",한국,한국,(주)씨제이이엔엠
70,군함도,2017-07-26,"50,510,565,168","6,592,151","2,027","108,775",한국,한국,(주)씨제이이엔엠
71,미션 임파서블: 폴아웃,2018-07-25,"55,888,375,112","6,584,915","1,957","101,374",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
72,웰컴 투 동막골,2005-08-04,"40,329,355,500","6,436,900",356,"72,129",한국,한국,(주)쇼박스
73,다크 나이트 라이즈,2012-07-19,"47,910,613,000","6,428,574","1,210","84,755",미국,"미국,영국",워너브러더스 코리아(주)
74,사도,2015-09-16,"48,846,723,501","6,247,745","1,210","124,276",한국,한국,(주)쇼박스
75,아저씨,2010-08-04,"47,110,894,000","6,179,525",501,"110,109",한국,한국,CJ ENM
76,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
77,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
