,순번,영화명,감독,배급사,개봉일
79,80,전우치,최동훈,(주)씨제이이엔엠,2009-12-23
80,81,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30
81,82,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),2015-02-11
82,83,투사부일체,김동원,(주)씨제이이엔엠,2006-01-19
83,84,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),2015-06-24
84,85,반지의 제왕 : 왕의 귀환,피터 잭슨,워너브러더스 코리아(주),2003-12-17
85,86,인셉션,크리스토퍼 놀란,(주)디스테이션,2010-07-21
86,87,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19
87,88,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04
88,89,캡틴 마블,라이언 플렉,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06
89,90,미션 임파서블 3,J.J. 에이브럼스,UIP코리아,2006-05-03
90,91,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06
91,92,청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09
92,93,가문의 위기(가문의 영광2),정용기,(주)쇼박스,2005-09-07
93,94,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14
94,95,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03
95,96,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31
96,97,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2015-06-11
97,98,의형제,장훈,(주)쇼박스,2010-02-04
98,99,감시자들,김병서,(주)넥스트엔터테인먼트월드(NEW),2013-07-03
99,100,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12
100,101,앤트맨과 와스프,페이튼 리드,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04
101,102,닥터 스트레인지,스콧 데릭슨,월트디즈니컴퍼니코리아(주),2016-10-26
102,103,검은 사제들,장재현,(주)씨제이이엔엠,2015-11-05
103,104,안시성,김광식,(주)넥스트엔터테인먼트월드(NEW),2018-09-19
104,105,블랙 팬서,라이언 쿠글러,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14
105,106,더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017-01-18
106,107,완득이,이한,(주)씨제이이엔엠,2011-10-20
107,108,트랜스포머: 사라진 시대,마이클 베이,(주)씨제이이엔엠,2014-06-25
108,109,완벽한 타인,이재규,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31
109,111,조커,토드 필립스,워너브러더스 코리아(주),2019-10-02
110,112,월드 워 Z,마크 포스터,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20
111,113,반지의 제왕 : 두개의 탑,피터 잭슨,워너브러더스 코리아(주),2002-12-19
112,114,타워,김지훈,(주)씨제이이엔엠,2012-12-25
113,115,말아톤,정윤철,(주)쇼박스,2005-01-27
114,116,미녀와 야수,빌 콘돈,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16
115,117,추격자,나홍진,(주)쇼박스,2008-02-14
116,118,독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-05-22
117,119,쿵푸팬더 2,여인영,(주)씨제이이엔엠,2011-05-26
118,120,아쿠아맨,제임스 완,워너브러더스 코리아(주),2018-12-19
119,121,공작,윤종빈,(주)씨제이이엔엠,2018-08-08
120,122,인사이드 아웃,피트 닥터,월트디즈니컴퍼니코리아(주),2015-07-09
121,123,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-23
122,124,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아(주),2017-09-27
123,126,스파이더맨 3,샘 레이미,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-01
124,127,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08
125,128,마션,리들리 스콧,월트디즈니컴퍼니코리아 유한책임회사,2015-10-08
126,129,토르: 라그나로크,타이카 와이티티,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25
127,130,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28
128,131,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27
129,132,조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011-01-27
130,133,봉오동 전투,원신연,(주)쇼박스,2019-08-07
131,134,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23
132,135,남산의 부장들,우민호,(주)쇼박스,2020-01-22
133,136,라이온 킹,존 파브로,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17
134,137,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02
135,138,주토피아,리치 무어,월트디즈니컴퍼니코리아(주),2016-02-17
136,139,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014-06-04
137,140,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21
138,141,쿵푸 팬더,마크 오스본,(주)씨제이이엔엠,2008-06-05
139,142,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아(주),2016-11-16
140,143,도가니,황동혁,(주)씨제이이엔엠,2011-09-22
141,144,캐리비안의 해적 : 망자의 함,고어 버빈스키,브에나비스타인터내셔널코리아,2006-07-06
142,145,박물관이 살아있다!,숀 레비,이십세기폭스코리아(주),2006-12-21
143,146,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17
144,147,나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠,2019-09-11
145,148,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016-12-07
146,149,터미네이터 : 미래전쟁의 시작,맥지,롯데쇼핑㈜롯데엔터테인먼트,2009-05-21
147,150,맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아(유),2008-09-03
148,151,연가시,박정우,(주)씨제이이엔엠,2012-07-05
149,152,아이언맨 2,존 파브로,(주)씨제이이엔엠,2010-04-29
150,153,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017-12-14
151,154,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아(주),2011-07-13
152,155,다만 악에서 구하소서,홍원찬,(주)씨제이이엔엠,2020-08-05
153,156,헌트,이정재,플러스엠 엔터테인먼트,2022-08-10
154,157,아이언맨,존 파브로,(주)씨제이이엔엠,2008-04-30
155,158,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아(주),2014-05-22
156,159,강철중: 공공의 적 1-1,강우석,(주)씨제이이엔엠,2008-06-19
157,160,아가씨,박찬욱,(주)씨제이이엔엠,2016-06-01
158,161,킹콩,피터 잭슨,UIP코리아,2005-12-14
159,162,어메이징 스파이더맨 2,마크 웹,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23
160,163,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,(주)씨제이이엔엠,2008-05-22
161,164,용의자,원신연,(주)쇼박스,2013-12-24
162,165,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22
163,166,태풍,곽경택,(주)씨제이이엔엠,2005-12-14
164,167,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아(유),2008-07-30
165,168,7급 공무원,신태라,롯데쇼핑㈜롯데엔터테인먼트,2009-04-22
166,169,다크 나이트,크리스토퍼 놀란,주식회사 해리슨앤컴퍼니,2008-08-06
167,170,색즉시공,윤제균,(주)쇼박스,2002-12-11
168,171,댄싱퀸,이석훈,(주)씨제이이엔엠,2012-01-18
169,172,우리 생애 최고의 순간,임순례,(주)싸이더스,2008-01-10
170,173,꾼,장창원,(주)쇼박스,2017-11-22
171,174,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아(주),2014-07-10
172,175,타짜-신의 손,강형철,롯데쇼핑㈜롯데엔터테인먼트,2014-09-03
173,176,해리포터와 비밀의 방,크리스 콜럼버스,워너브러더스 코리아(주),2002-12-13
174,177,쿵푸팬더3,알레산드로 칼로니,(주)씨제이이엔엠,2016-01-28
175,178,캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2014-03-26
176,179,공공의 적 2,강우석,(주)시네마서비스,2005-01-27
177,180,박수건달,조진규,(주)쇼박스,2013-01-09
178,181,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-10-03
179,182,한반도,강우석,(주)씨제이이엔엠,2006-07-13
180,183,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015-02-11
181,184,트로이,볼프강 페터젠,워너브러더스 코리아(주),2004-05-21
182,185,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30
183,186,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),2015-05-14
184,187,남한산성,황동혁,(주)씨제이이엔엠,2017-10-03
185,188,반도,연상호,(주)넥스트엔터테인먼트월드(NEW),2020-07-15
186,189,데드풀 2,데이빗 레이치,이십세기폭스코리아(주),2018-05-16
187,190,쌍화점,유하,(주)쇼박스,2008-12-30
188,191,암수살인,김태균,(주)쇼박스,2018-10-03
189,192,국가부도의 날,최국희,(주)씨제이이엔엠,2018-11-28
190,193,신기전,김유진,(주)씨제이이엔엠,2008-09-04
191,194,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아(유),2017-06-06
192,195,82년생 김지영,김도영,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23
193,196,분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아(유),2019-08-14
194,197,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아(유),2017-04-12
195,198,친절한 금자씨,박찬욱,(주)씨제이이엔엠,2005-07-29
196,199,더 퍼스트 슬램덩크,이노우에 다케히코,(주)넥스트엔터테인먼트월드(NEW),2023-01-04
197,200,너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04
198,201,해리 포터와 불의 잔,마이크 뉴웰,워너브러더스 코리아(주),2005-12-01
199,202,모가디슈,류승완,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-28
