,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나
3122,3150,더블 스파이,토니 길로이,유니버설픽쳐스인터내셔널 코리아,2009-04-16,장편,미국,126,339420521,51270,"156,063,500","22,485",범죄,12세관람가,일반영화,2009,4,봄,155398654,0
3123,3151,트리 오브 라이프,테렌스 맬릭,에스비에스콘텐츠허브,2011-10-27,장편,미국,125,369070500,51228,"221,825,500","29,125",드라마,15세관람가,독립/예술영화,2011,10,가을,159724465,0
3124,3152,미안해 사랑해 고마워,전윤수,쇼박스,2015-10-28,장편,한국,344,359247800,51207,"106,619,300","14,482",드라마,15세관람가,일반영화,2015,10,가을,217299523,0
3125,3153,빅 미라클,켄 콰피스,유니버설픽쳐스인터내셔널 코리아,2012-02-23,장편,미국,170,344139500,51151,"117,016,500","16,293",드라마,전체관람가,일반영화,2012,2,겨울,194890587,0
3126,3154,콜레트,워시 웨스트모어랜드,넥스트엔터테인먼트월드,2019-03-27,장편,영국,169,409004989,51149,"248,891,499","30,789",드라마,15세관람가,독립/예술영화,2019,3,봄,226678777,0
3127,3155,서울이 보이냐,송동윤,시네마서비스,2008-05-08,장편,한국,125,309567000,50956,"48,727,000","7,706",가족,전체관람가,일반영화,2008,5,봄,147428639,0
3128,3156,두 번의 결혼식과 한 번의 장례식,김조광수,영화사 진진,2012-06-21,장편,한국,67,380102144,50905,"239,826,644","30,630",코미디,15세관람가,독립/예술영화,2012,6,여름,194890587,0
3129,3157,더 씽,매티스 반 헤이닌겐 주니어,싸이더스,2012-06-14,장편,미국,174,367519589,50839,"91,566,089","11,900",공포(호러),15세관람가,일반영화,2012,6,여름,194890587,0
3130,3158,윈드 리버,테일러 쉐리던,다자인소프트,2017-09-14,장편,미국,330,391358700,50783,"159,742,100","20,211",액션,15세관람가,독립/예술영화,2017,9,가을,219876227,0
3132,3160,부활: 그 증거,김상철,영화사 진진,2020-10-08,장편,한국,111,419172070,50692,"67,857,200","8,358",다큐멘터리,전체관람가,독립/예술영화,2020,10,가을,59523967,1
3133,3161,포레스트: 죽음의 숲,제이슨 자다,유니버설픽쳐스인터내셔널 코리아,2016-03-30,장편,미국,312,391633862,50631,"65,795,262","8,286",공포(호러),12세관람가,일반영화,2016,3,봄,217026182,0
3134,3162,폴란드로 간 아이들,추상미,커넥트픽쳐스,2018-10-31,장편,한국,181,386723800,50545,"240,190,800","30,064",다큐멘터리,전체관람가,독립/예술영화,2018,10,가을,216385269,0
3136,3164,더 테너 리리코 스핀토,김상만,박수엔터테인먼트,2014-12-31,장편,한국,185,391554441,50514,"199,819,741","25,656",드라마,12세관람가,독립/예술영화,2014,12,겨울,215068958,0
3141,3169,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,김수경,넥스트엔터테인먼트월드,2022-12-21,장편,한국,432,464892418,50206,"100,336,692","9,739",애니메이션,전체관람가,독립/예술영화,2022,12,겨울,112805094,1
3142,3170,비밀,박은경,CGV아트하우스,2015-10-15,장편,한국,305,369339300,50196,"94,697,600","12,167",미스터리,15세관람가,일반영화,2015,10,가을,217299523,0
3143,3171,인시디어스,제임스 완,쇼박스,2012-09-13,장편,미국,178,357783500,50163,"117,051,000","15,566",공포(호러),15세관람가,일반영화,2012,9,가을,194890587,0
3144,3172,내가 잠들기 전에,로완 조페,영화사 진진,2014-10-30,장편,영국,197,390872600,50098,"149,832,300","18,702",미스터리,청소년관람불가,독립/예술영화,2014,10,가을,215068958,0
3148,3176,언더더씨,에반 트라멜,팝엔터테인먼트,2017-06-22,장편,미국,163,382413600,49958,"69,088,400","8,765",애니메이션,전체관람가,일반영화,2017,6,여름,219876227,0
3149,3177,레드라이트,로드리고 코르테스,씨제이이엔엠,2012-08-23,장편,기타,197,355743500,49925,"138,448,500","18,514",미스터리,15세관람가,일반영화,2012,8,여름,194890587,0
3151,3179,마음이 외치고 싶어해,나가이 타츠유키, 온 피크,2016-03-30,장편,일본,122,405746600,49813,"137,297,800","16,598",애니메이션,12세관람가,독립/예술영화,2016,3,봄,217026182,0
3152,3180,번개맨의 비밀,강유선,디스테이션,2018-12-06,장편,한국,309,383521050,49751,"72,853,050","8,829",가족,전체관람가,일반영화,2018,12,겨울,216385269,0
3154,3182,살인소설,김진묵,스톰픽쳐스코리아,2018-04-25,장편,한국,434,392591200,49682,"110,034,500","13,655",스릴러,15세관람가,독립/예술영화,2018,4,봄,216385269,0
3155,3183,어글리 돌,캘리 애스버리,판씨네마,2019-05-01,장편,미국,353,357110870,49509,"82,282,540","10,570",애니메이션,전체관람가,독립/예술영화,2019,5,봄,226678777,0
3158,3186,라스트 나잇 인 소호,에드가 라이트,유니버설픽쳐스인터내셔널 코리아,2021-12-01,장편,미국,511,456301840,48985,"202,224,560","23,102",공포(호러),청소년관람불가,일반영화,2021,12,겨울,60531087,1
3160,3188,355,사이먼 킨버그,스튜디오 산타클로스엔터테인먼트,2022-02-09,장편,미국,540,416928590,48976,"164,566,920","20,322",액션,15세관람가,일반영화,2022,2,겨울,112805094,1
3161,3189,슈퍼미니 2,토마스 자보,박수엔터테인먼트,2019-02-27,장편,프랑스,345,374780620,48942,"96,127,960","11,784",애니메이션,전체관람가,일반영화,2019,2,겨울,226678777,0
3162,3190,미스 사이공 : 25주년 특별 공연,브렛 설리반,유니버설픽쳐스인터내셔널 코리아,2016-11-24,장편,미국,100,945326500,48931,"557,901,700","28,743",공연,15세관람가,일반영화,2016,11,가을,217026182,0
3163,3191,스트레이트 아웃 오브 컴턴,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아,2015-09-10,장편,미국,185,412749800,48844,"235,536,700","27,135",드라마,청소년관람불가,일반영화,2015,9,가을,217299523,0
3164,3192,어네스트와 셀레스틴,뱅상 파타,씨너스엔터테인먼트,2014-02-20,장편,프랑스,202,328922100,48710,"134,213,100","18,826",애니메이션,전체관람가,독립/예술영화,2014,2,겨울,215068958,0
3167,3195,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,나가사키 켄지,스마일이엔티,2022-03-09,장편,일본,459,471587590,48436,"127,206,380","12,299",애니메이션,12세관람가,일반영화,2022,3,봄,112805094,1
3168,3197,더 킥,이종석,쇼박스,2011-11-03,장편,한국,153,331287500,48396,"60,436,000","7,865",액션,12세관람가,일반영화,2011,11,가을,159724465,0
3169,3198,저지드레드 3D,피트 트래비스,롯데엔터테인먼트,2012-12-06,장편,영국,184,365262000,48341,"126,480,500","16,087",SF,청소년관람불가,일반영화,2012,12,겨울,194890587,0
3170,3199,3:10 투 유마,제임스 맨골드,시네마서비스,2008-02-21,장편,미국,142,306807833,48284,"95,270,333","14,290",범죄,15세관람가,일반영화,2008,2,겨울,147428639,0
3171,3200,데자뷰,고경민,키다리이엔티,2018-05-30,장편,한국,536,360833100,48279,"78,964,200","10,074",미스터리,15세관람가,일반영화,2018,5,봄,216385269,0
3172,3201,세븐틴 파워 오브 러브 : 더 무비,오윤동,씨제이포디플렉스 ,2022-04-20,장편,한국,151,965458500,48275,"442,907,000","22,147",공연,전체관람가,일반영화,2022,4,봄,112805094,1
3173,3202,우리들,윤가은,엣나인필름,2016-06-16,장편,한국,76,358799960,48223,"219,260,560","27,794",드라마,전체관람가,독립/예술영화,2016,6,여름,217026182,0
3175,3204,안나와 알렉스 : 두자매 이야기,찰스 가드,씨제이이엔엠,2009-04-09,장편,미국,99,322437449,48069,"106,625,500","15,118",공포(호러),15세관람가,일반영화,2009,4,봄,155398654,0
3176,3205,미스 슬로운,존 매든,메인타이틀픽쳐스,2017-03-29,장편,미국,104,381394300,48051,"199,557,400","24,714",드라마,15세관람가,독립/예술영화,2017,3,봄,219876227,0
3177,3206,목숨 건 연애,송민규,오퍼스픽쳐스,2016-12-14,장편,한국,393,361142800,47684,"120,507,000","14,834",멜로/로맨스,15세관람가,일반영화,2016,12,겨울,217026182,0
3178,3207,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,야마구치 스스무,스마일이엔티,2022-08-03,장편,일본,389,440210098,47680,"77,748,320","7,857",애니메이션,전체관람가,일반영화,2022,8,여름,112805094,1
3179,3208,매기스 플랜,레베카 밀러,오드,2017-01-25,장편,미국,94,382361800,47668,"258,221,100","31,084",코미디,15세관람가,독립/예술영화,2017,1,겨울,219876227,0
3180,3209,잘못된 만남,정영배,토이 엔터테인먼트,2008-07-10,장편,한국,132,308898000,47557,"70,781,000","10,193",드라마,15세관람가,일반영화,2008,7,여름,147428639,0
3182,3211,온리 더 브레이브,조셉 코신스키,코리아스크린,2018-03-07,장편,미국,301,373727300,47540,"127,393,400","15,953",드라마,12세관람가,일반영화,2018,3,봄,216385269,0
3185,3214,머니 몬스터,조디 포스터,유니버설픽쳐스인터내셔널 코리아,2016-08-31,장편,미국,151,367961600,47226,"138,602,100","17,533",스릴러,15세관람가,일반영화,2016,8,여름,217026182,0
3186,3215,"스탠바이, 웬디",벤 루윈,판씨네마,2018-05-30,장편,미국,345,373587080,47223,"156,447,780","19,000",드라마,전체관람가,독립/예술영화,2018,5,봄,216385269,0
3187,3216,트리플 9,존 힐코트,리틀빅픽쳐스,2016-04-20,장편,미국,329,365164300,47197,"131,109,600","16,407",범죄,청소년관람불가,일반영화,2016,4,봄,217026182,0
3188,3217,작은 연못,이상우,기타,2010-04-15,장편,한국,80,317197695,47160,"137,962,500","21,003",드라마,15세관람가,독립/예술영화,2010,4,봄,147759214,0
3189,3218,뜨거운 안녕,남택수,나이너스엔터테인먼트,2013-05-30,장편,한국,172,315291000,47105,"120,055,000","17,164",드라마,12세관람가,일반영화,2013,5,봄,213351030,0
3190,3219,잃어버린 도시 Z,제임스 그레이,영화사 빅,2017-09-21,장편,미국,398,362053440,47088,"107,823,340","13,303",액션,12세관람가,독립/예술영화,2017,9,가을,219876227,0
3191,3220,사랑할 땐 누구나 최악이 된다,요아킴 트리에,그린나래미디어,2022-08-25,장편,기타,68,475994367,47023,"376,331,250","36,348",멜로/로맨스,15세관람가,독립/예술영화,2022,8,여름,112805094,1
3192,3221,나츠메 우인장: 세상과 연을 맺다,오오모리 타카히로,애니플러스,2018-10-31,장편,일본,110,387190200,46913,"143,055,100","16,780",애니메이션,전체관람가,일반영화,2018,10,가을,216385269,0
3193,3222,에코,얌 라라나스,프라임엔터테인먼트,2009-05-28,장편,미국,139,302933039,46884,"88,550,000","12,635",드라마,15세관람가,일반영화,2009,5,봄,155398654,0
3194,3223,세상을 바꾼 변호인,미미 레더,CGV아트하우스,2019-06-13,장편,미국,185,369943170,46854,"208,635,700","25,790",드라마,12세관람가,독립/예술영화,2019,6,여름,226678777,0
3195,3224,비밥바룰라,이성재,키다리이엔티,2018-01-24,장편,한국,347,318986200,46817,"102,609,200","13,980",코미디,12세관람가,일반영화,2018,1,겨울,216385269,0
3196,3225,적인걸2 : 신도해왕의 비밀,서극,씨너스엔터테인먼트,2013-10-02,장편,중국,169,328321000,46796,"100,369,000","13,987",미스터리,12세관람가,일반영화,2013,10,가을,213351030,0
3197,3226,이스케이프,존 에릭 도들,넥스트엔터테인먼트월드,2015-11-05,장편,미국,264,356672000,46781,"99,350,900","12,416",액션,15세관람가,일반영화,2015,11,가을,217299523,0
3198,3227,내 연애의 기억,이권, 디에스이이디,2014-08-20,장편,한국,182,358863117,46775,"100,877,417","12,559",멜로/로맨스,청소년관람불가,독립/예술영화,2014,8,여름,215068958,0
3199,3228,엽문3: 최후의 대결,엽위신,키다리이엔티,2016-03-10,장편,기타,130,391356600,46756,"90,536,400","10,636",액션,12세관람가,독립/예술영화,2016,3,봄,217026182,0
3200,3229,크림슨 피크,길예르모 델 토로,유니버설픽쳐스인터내셔널 코리아,2015-11-25,장편,미국,255,379765400,46735,"185,326,400","22,732",판타지,청소년관람불가,일반영화,2015,11,가을,217299523,0
3201,3230,스크림 4G,웨스 크레이븐,시너지하우스 ,2011-06-09,장편,미국,163,367661000,46723,"148,334,000","18,044",미스터리,청소년관람불가,일반영화,2011,6,여름,159724465,0
3202,3231,갤럭시 히어로즈: 라쳇 앤 클랭크,케빈 먼로,영화사 빅,2016-08-17,장편,미국,237,336281100,46638,"76,062,000","9,486",애니메이션,전체관람가,독립/예술영화,2016,8,여름,217026182,0
3203,3232,"그래, 가족",마대윤,월트디즈니스튜디오스코리아,2017-02-15,장편,한국,361,350293300,46623,"154,192,600","19,381",코미디,12세관람가,일반영화,2017,2,겨울,219876227,0
3204,3233,엘리노어 릭비: 그 남자 그 여자,네드 벤슨,이수C&E,2015-04-09,장편,미국,212,375796900,46589,"207,508,900","24,892",드라마,15세관람가,독립/예술영화,2015,4,봄,217299523,0
3206,3235,마더!,대런 아로노프스키,롯데엔터테인먼트,2017-10-19,장편,미국,398,366642382,46469,"177,160,582","22,015",드라마,청소년관람불가,일반영화,2017,10,가을,219876227,0
3207,3236,심야식당 2,마츠오카 조지,디스테이션,2017-06-08,장편,일본,235,364773900,46468,"179,688,300","22,060",드라마,12세관람가,독립/예술영화,2017,6,여름,219876227,0
3208,3237,에그엔젤 코코밍: 두근두근 핼러윈 파티,닛타 노리오,엠제이픽쳐스,2018-09-22,장편,일본,179,367076000,46386,"66,128,800","8,014",애니메이션,전체관람가,일반영화,2018,9,가을,216385269,0
3209,3238,하드코어 헨리,일리야 나이슐러,코리아스크린,2016-05-19,장편,미국,239,399211211,46373,"174,256,411","19,705",액션,청소년관람불가,일반영화,2016,5,봄,217026182,0
3210,3239,플래닛 51,마르코스 마르티네즈,쇼박스,2010-10-21,장편,기타,67,292826223,46330,"75,168,000","11,480",애니메이션,전체관람가,일반영화,2010,10,가을,147759214,0
3211,3240,블레어 위치,아담 윈가드,코리아스크린,2016-11-23,장편,미국,172,367484200,46285,"103,260,200","12,541",공포(호러),15세관람가,일반영화,2016,11,가을,217026182,0
3212,3241,베스트 오퍼,쥬세페 토르나토레,박수엔터테인먼트,2014-06-12,장편,기타,175,355182700,46282,"182,679,900","23,099",미스터리,15세관람가,독립/예술영화,2014,6,여름,215068958,0
3215,3244,슈퍼윙스 3D,올가 로패토,영화사 빅,2013-08-14,장편,기타,129,269711500,46124,"49,622,500","7,716",애니메이션,전체관람가,일반영화,2013,8,여름,213351030,0
3216,3245,송 원,케이트 베커-플로이랜드,박수엔터테인먼트,2015-04-01,장편,미국,365,343444743,46079,"130,271,143","16,646",드라마,15세관람가,독립/예술영화,2015,4,봄,217299523,0
3217,3246,아프리카 마법여행,조르디 롬파르트,롯데엔터테인먼트,2011-01-20,장편,기타,150,425106500,46025,"109,188,500","11,427",어드벤처,전체관람가,일반영화,2011,1,겨울,159724465,0
3218,3247,무드 인디고,미셸 공드리,프레인글로벌,2014-12-11,장편,프랑스,55,370462100,46010,"255,913,200","31,090",드라마,15세관람가,독립/예술영화,2014,12,겨울,215068958,0
3219,3248,더 파더,플로리안 젤러,판씨네마,2021-04-07,장편,영국,348,384940000,45900,"217,401,460","25,258",드라마,12세관람가,독립/예술영화,2021,4,봄,60531087,1
3220,3249,된장,이서군,씨제이이엔엠,2010-10-21,장편,한국,112,339506355,45896,"102,398,500","13,031",미스터리,12세관람가,일반영화,2010,10,가을,147759214,0
3221,3250,퍼펙트 센스,데이빗 맥킨지,아이엠비씨,2011-11-24,장편,영국,124,343990100,45865,"181,697,100","23,419",멜로/로맨스,15세관람가,독립/예술영화,2011,11,가을,159724465,0
3224,3253,히어애프터,클린트 이스트우드,워너브러더스 코리아,2011-03-24,장편,미국,112,336316000,45755,"138,296,500","17,822",드라마,12세관람가,일반영화,2011,3,봄,159724465,0
3225,3254,족구왕,우문기,KT&G 상상마당 영화사업팀 컴퍼니에스에스,2014-08-21,장편,한국,58,359688000,45701,"215,590,700","26,552",코미디,15세관람가,독립/예술영화,2014,8,여름,215068958,0
3226,3255,설계,박창진,팝엔터테인먼트,2014-09-18,장편,한국,257,347188800,45638,"77,155,100","9,665",스릴러,청소년관람불가,일반영화,2014,9,가을,215068958,0
3227,3256,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,제이미 미첼,월트디즈니스튜디오스코리아,2017-04-13,장편,미국,149,317454000,45484,"82,872,000","11,129",애니메이션,전체관람가,일반영화,2017,4,봄,219876227,0
3228,3257,미운오리새끼,곽경택,롯데엔터테인먼트,2012-08-30,장편,한국,167,308009500,45454,"97,649,000","13,964",드라마,15세관람가,일반영화,2012,8,여름,194890587,0
3229,3258,제독의 연인,안드레이 크라프추크,싸이더스,2009-04-23,장편,기타,83,299909870,45406,"135,754,500","19,910",드라마,15세관람가,독립/예술영화,2009,4,봄,155398654,0
3230,3259,스페어,이성한,필름더데이즈,2008-08-28,장편,한국,62,299701000,45290,"108,299,000","15,836",액션,15세관람가,일반영화,2008,8,여름,147428639,0
3231,3260,샤오린 : 최후의 결전,진목승,에스비에스콘텐츠허브,2011-08-25,장편,기타,182,329194000,45275,"83,164,000","11,004",드라마,15세관람가,일반영화,2011,8,여름,159724465,0
3232,3261,부그와 엘리엇 2,매튜 오칼라헌,소서러스어프렌티스,2009-03-12,장편,미국,73,274083506,45271,"74,678,000","11,605",애니메이션,전체관람가,일반영화,2009,3,봄,155398654,0
3233,3262,부니 베어: 롤라 구출 대모험,정량,박수엔터테인먼트,2014-11-20,장편,중국,196,309876900,45250,"47,366,600","6,273",애니메이션,전체관람가,독립/예술영화,2014,11,가을,215068958,0
3234,3263,한 번 더 해피엔딩,마크 로렌스,팝엔터테인먼트,2015-04-08,장편,미국,231,348096551,45166,"162,620,851","20,409",멜로/로맨스,15세관람가,독립/예술영화,2015,4,봄,217299523,0
3235,3264,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,스도 토모노리,애니플러스,2019-03-21,장편,일본,94,397411880,45157,"179,118,880","19,707",애니메이션,15세관람가,독립/예술영화,2019,3,봄,226678777,0
3236,3265,스케어리 스토리:어둠의 속삭임,안드레 외브레달,제이앤씨미디어그룹,2020-03-25,장편,미국,186,375492420,44989,"123,043,980","14,557",판타지,15세관람가,일반영화,2020,3,봄,59523967,1
3237,3266,밀림의 왕자 레오2,타케우치 요시오,에이원엔터테인먼트,2012-11-08,장편,일본,159,274928000,44988,"42,073,000","5,936",애니메이션,전체관람가,일반영화,2012,11,가을,194890587,0
3238,3267,아더와 미니모이 2 : 셀레니아 공주 구출 작전,뤽 베송,롯데엔터테인먼트,2010-07-08,장편,프랑스,61,292857989,44961,"71,554,000","10,442",판타지,전체관람가,독립/예술영화,2010,7,여름,147759214,0
3239,3268,내가 죽기 전에 가장 듣고 싶은 말,마크 펠링톤,메인타이틀픽쳐스,2017-07-19,장편,미국,154,328678600,44839,"142,556,300","19,450",코미디,12세관람가,독립/예술영화,2017,7,여름,219876227,0
3242,3271,킹메이커,조지 클루니,시너지하우스 ,2012-04-19,장편,미국,95,340466000,44689,"152,213,000","19,439",드라마,15세관람가,일반영화,2012,4,봄,194890587,0
3243,3272,호두까기인형 3D,안드레이 콘찰로프스키,나이너스엔터테인먼트,2013-01-03,장편,미국,132,298444000,44677,"82,419,500","11,486",가족,전체관람가,일반영화,2013,1,겨울,213351030,0
3245,3274,저스티스,로저 도널드슨,쇼박스,2012-03-15,장편,미국,142,329594500,44546,"113,994,000","14,609",액션,청소년관람불가,일반영화,2012,3,봄,194890587,0
3246,3275,프리버즈: 밍쿠와 찌아의 도시 대탈출,구스타보 지아니니,영화사 빅,2013-09-17,장편,기타,213,288856500,44466,"78,214,500","11,910",애니메이션,전체관람가,독립/예술영화,2013,9,가을,213351030,0
3247,3276,드래곤볼Z : 신들의 전쟁,호소다 마사히로,인벤트스톤,2013-08-29,장편,일본,262,292117500,44231,"86,810,500","12,321",애니메이션,전체관람가,일반영화,2013,8,여름,213351030,0
3248,3277,글래디에이터: 로마 영웅 탄생의 비밀 3D,이기니오 스트라피,에스비에스콘텐츠허브,2013-03-14,장편,기타,275,298917500,44198,"81,120,000","11,039",애니메이션,전체관람가,일반영화,2013,3,봄,213351030,0
3249,3278,플로이,아르니 올라푸르 아스게이르손,스마일이엔티,2018-08-15,장편,기타,242,329325300,44141,"84,916,000","10,166",애니메이션,전체관람가,독립/예술영화,2018,8,여름,216385269,0
3250,3279,매란방,첸 카이거,에스케이텔레콤,2009-04-16,장편,중국,185,284904682,44131,"93,664,000","13,899",드라마,12세관람가,일반영화,2009,4,봄,155398654,0
3252,3281,허슬러,로렌 스카파리아,제이앤씨미디어그룹,2019-11-27,장편,미국,445,358501960,44071,"167,462,240","19,996",범죄,청소년관람불가,일반영화,2019,11,가을,226678777,0
3254,3283,프랑켄위니,팀 버튼,월트디즈니스튜디오스코리아,2012-10-11,장편,미국,226,365356000,43978,"159,120,500","17,259",애니메이션,12세관람가,일반영화,2012,10,가을,194890587,0
3255,3284,성실한 나라의 앨리스,안국진,CGV아트하우스,2015-08-13,장편,한국,69,349482500,43964,"175,441,700","21,590",드라마,청소년관람불가,독립/예술영화,2015,8,여름,217299523,0
3256,3285,혈투,박훈정,싸이더스,2011-02-24,장편,한국,169,329280000,43947,"93,141,000","11,662",액션,15세관람가,일반영화,2011,2,겨울,159724465,0
3257,3286,신주쿠 사건,이동승,한국소니픽쳐스릴리징브에나비스타영화,2009-06-18,장편,기타,104,289750076,43881,"83,954,500","11,928",액션,청소년관람불가,일반영화,2009,6,여름,155398654,0
3258,3287,범죄의 여왕,김태곤,콘텐츠판다,2016-08-25,장편,한국,270,343663400,43823,"129,520,200","16,136",스릴러,15세관람가,독립/예술영화,2016,8,여름,217026182,0
3259,3288,플래그 더 문,엔리케 가토,박수엔터테인먼트,2016-06-02,장편,기타,244,320445000,43743,"67,970,200","8,882",애니메이션,전체관람가,독립/예술영화,2016,6,여름,217026182,0
3260,3289,컴백홈,이연우,제이앤씨미디어그룹,2022-10-05,장편,한국,603,386265079,43688,"98,221,160","11,490",드라마,15세관람가,일반영화,2022,10,가을,112805094,1
3261,3290,우리별 일호와 얼룩소,장형윤,인디플러그,2014-02-20,장편,한국,209,288773500,43674,"92,386,000","13,219",애니메이션,전체관람가,독립/예술영화,2014,2,겨울,215068958,0
3262,3291,다이노 어드벤처2: 육해공 공룡 대백과,마이크 데블린,박수엔터테인먼트,2018-10-09,장편,영국,322,335469900,43627,"54,117,350","6,630",애니메이션,전체관람가,일반영화,2018,10,가을,216385269,0
3263,3292,울브스,데이비드 헤이터,프레인글로벌,2014-11-13,장편,미국,291,313204669,43613,"99,784,569","13,006",판타지,15세관람가,일반영화,2014,11,가을,215068958,0
3264,3293,아일라,칸 울카이,영화사 빅,2018-06-21,장편,기타,371,331882900,43612,"113,851,100","14,574",드라마,15세관람가,독립/예술영화,2018,6,여름,216385269,0
3265,3294,약장수,조치언,대명문화공장,2015-04-23,장편,한국,282,313238400,43562,"94,969,000","13,043",드라마,15세관람가,일반영화,2015,4,봄,217299523,0
3267,3296,파바로티,론 하워드,오드,2020-01-01,장편,영국,85,348527658,43486,"225,380,018","26,739",다큐멘터리,12세관람가,독립/예술영화,2020,1,겨울,59523967,1
3268,3297,파비안느에 관한 진실,고레에다 히로카즈,티캐스트,2019-12-05,장편,프랑스,109,289733200,43459,"201,078,920","30,021",드라마,12세관람가,독립/예술영화,2019,12,겨울,226678777,0
3270,3299,귀멸의 칼날: 나타구모산 편,소토자키 하루오,박수엔터테인먼트,2021-11-17,장편,일본,310,418848670,43431,"104,945,500","10,583",애니메이션,15세관람가,일반영화,2021,11,가을,60531087,1
3273,3302,비카인드 리와인드,미셸 공드리,싸이더스,2009-01-08,장편,미국,90,295722305,43281,"169,684,500","23,628",코미디,12세관람가,독립/예술영화,2009,1,겨울,155398654,0
3274,3303,업사이드,닐 버거,디스테이션,2019-06-13,장편,미국,188,365579100,43265,"146,321,900","17,317",코미디,12세관람가,독립/예술영화,2019,6,여름,226678777,0
3275,3304,하이큐!! 재능과 센스,미츠나카 스스무,이수C&E,2017-11-15,장편,일본,105,310201500,43221,"114,691,500","15,138",애니메이션,12세관람가,일반영화,2017,11,가을,219876227,0
3278,3307,빅트립: 아기팬더 배달 대모험,바실리 로벤스키,트리플픽쳐스,2019-10-23,장편,미국,373,330035500,42914,"53,849,260","6,410",애니메이션,전체관람가,독립/예술영화,2019,10,가을,226678777,0
3279,3308,꼬마돼지 베이브의 대모험,테레사 스트로젝,박수엔터테인먼트,2017-06-15,장편,독일,312,293359100,42879,"48,932,400","6,388",애니메이션,전체관람가,독립/예술영화,2017,6,여름,219876227,0
3281,3310,마담 싸이코,닐 조단,쇼박스,2019-06-26,장편,미국,197,360330700,42742,"135,098,800","16,075",공포(호러),15세관람가,일반영화,2019,6,여름,226678777,0
3282,3311,루이스 웨인: 사랑을 그린 고양이 화가,기타,씨제이이엔엠,2022-04-06,장편,미국,530,405310110,42737,"175,901,810","18,451",드라마,12세관람가,일반영화,2022,4,봄,112805094,1
3283,3312,스페이스 독,스비야토슬라브 우샤코프,예지림엔터테인먼트,2012-03-22,장편,기타,148,282088000,42720,"44,214,000","6,302",애니메이션,전체관람가,일반영화,2012,3,봄,194890587,0
3284,3313,호스트,앤드류 니콜,넥스트엔터테인먼트월드,2013-04-04,장편,미국,244,298122000,42708,"125,853,000","17,599",SF,15세관람가,일반영화,2013,4,봄,213351030,0
3286,3315,쿠르스크,토마스 빈터베르그,제이앤씨미디어그룹,2019-01-16,장편,기타,192,355683500,42484,"173,141,000","21,029",드라마,15세관람가,일반영화,2019,1,겨울,226678777,0
3287,3316,아네트,레오스 카락스,그린나래미디어,2021-10-27,장편,프랑스,330,361863130,42424,"212,405,330","25,026",드라마,15세관람가,독립/예술영화,2021,10,가을,60531087,1
3289,3318,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,스도 토모노리,박수엔터테인먼트,2017-11-16,장편,일본,172,338294000,42413,"130,930,300","15,898",애니메이션,15세관람가,독립/예술영화,2017,11,가을,219876227,0
3291,3320,귀못,탁세웅,와이드 릴리즈,2022-10-19,장편,한국,208,358073700,42342,"82,668,900","10,998",공포(호러),15세관람가,일반영화,2022,10,가을,112805094,1
3292,3321,그레이트 뷰티,파올로 소렌티노,영화사 진진,2014-06-12,장편,기타,51,326252373,42274,"229,194,173","28,823",드라마,청소년관람불가,독립/예술영화,2014,6,여름,215068958,0
3293,3322,스탠리의 도시락,아몰 굽트,타임스토리그룹,2012-03-08,장편,기타,164,281533000,42210,"125,000,000","17,779",드라마,전체관람가,독립/예술영화,2012,3,봄,194890587,0
3294,3323,피케이: 별에서 온 얼간이,라즈쿠마르 히라니,와우픽쳐스,2015-09-03,장편,기타,184,326677800,42088,"139,163,800","17,050",코미디,15세관람가,일반영화,2015,9,가을,217299523,0
3297,3326,일일시호일,오오모리 타츠시,영화사 진진,2019-01-17,장편,일본,55,331259019,41931,"201,538,669","23,841",드라마,12세관람가,독립/예술영화,2019,1,겨울,226678777,0
3301,3330,피아니스트의 전설,쥬세페 토르나토레,라이크콘텐츠,2020-01-01,장편,기타,69,340627562,41680,"207,078,442","24,197",드라마,15세관람가,독립/예술영화,2020,1,겨울,59523967,1
3302,3331,라스트프로포즈,유위강,롯데엔터테인먼트,2009-03-05,장편,기타,153,272603561,41620,"81,269,500","11,830",멜로/로맨스,12세관람가,일반영화,2009,3,봄,155398654,0
3303,3332,더 와이프,비욘 룬게,팝엔터테인먼트,2019-02-27,장편,영국,106,319839451,41525,"190,560,061","23,941",드라마,15세관람가,독립/예술영화,2019,2,겨울,226678777,0
3304,3333,칠곡 가시나들,김재환,인디플러그,2019-02-27,장편,한국,138,334601400,41448,"108,432,500","12,980",다큐멘터리,전체관람가,독립/예술영화,2019,2,겨울,226678777,0
3305,3334,스푹스:MI5,바랫 낼러리,영화사 빅,2016-03-17,장편,영국,341,316642549,41416,"95,010,700","11,837",액션,15세관람가,일반영화,2016,3,봄,217026182,0
