,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나
2686,2711,빅 아이즈,팀 버튼,판씨네마,2015-01-28,장편,미국,290,651316335,85200,"333,321,635","42,902",드라마,12세관람가,독립/예술영화,2015,1,겨울,217299523,0
2687,2712,레전드 오브 래빗,순리준,화앤담이엔티,2012-02-22,장편,중국,225,581200500,85184,"122,319,500","16,874",애니메이션,전체관람가,일반영화,2012,2,겨울,194890587,0
2688,2713,유스,파올로 소렌티노,그린나래미디어,2016-01-07,장편,기타,65,661767600,85166,"449,133,200","55,637",드라마,15세관람가,독립/예술영화,2016,1,겨울,217026182,0
2691,2716,옥보단 3D,손립기,화앤담이엔티,2011-05-12,장편,기타,269,969826000,84798,"312,364,500","26,227",성인물(에로),청소년관람불가,일반영화,2011,5,봄,159724465,0
2692,2717,나의 청춘은 너의 것,대몽영,오드,2020-04-29,장편,기타,533,714892500,84442,"205,056,740","23,586",멜로/로맨스,12세관람가,독립/예술영화,2020,4,봄,59523967,1
2693,2718,극장판 썬더일레븐GO : 궁극의 우정 그리폰,미야오 요시카즈,에이원엔터테인먼트,2012-05-24,장편,일본,243,574947000,84255,"115,189,000","15,267",애니메이션,전체관람가,일반영화,2012,5,봄,194890587,0
2694,2719,어린 왕자,최종현,롯데엔터테인먼트,2008-01-17,장편,한국,181,493292500,84015,"121,782,500","19,329",드라마,12세관람가,일반영화,2008,1,겨울,147428639,0
2695,2720,왼편 마지막 집,데니스 일리아디스,유니버설픽쳐스인터내셔널 코리아,2009-09-03,장편,미국,158,632634348,83864,"202,305,000","25,327",공포(호러),청소년관람불가,일반영화,2009,9,가을,155398654,0
2696,2721,뉴욕 아이 러브 유,강문,케이디미디어,2009-10-22,장편,미국,95,647982325,83600,"361,427,500","45,635",코미디,15세관람가,일반영화,2009,10,가을,155398654,0
2697,2722,신은 죽지 않았다 3: 어둠 속의 빛,마이클 메이슨,영화사 그램,2018-07-19,장편,미국,179,646846900,83474,"144,472,000","17,629",드라마,12세관람가,독립/예술영화,2018,7,여름,216385269,0
2699,2724,스위치,윌 스펙,씨너스엔터테인먼트,2010-12-01,장편,미국,163,564596900,83346,"233,302,000","32,409",멜로/로맨스,15세관람가,일반영화,2010,12,겨울,147759214,0
2700,2725,와일드,장 마크 발레,이십세기폭스코리아,2015-01-22,장편,미국,58,665271800,83334,"408,810,700","50,722",드라마,청소년관람불가,독립/예술영화,2015,1,겨울,217299523,0
2701,2726,폴: 600미터,스콧 만,스튜디오디에이치엘,2022-11-16,장편,영국,463,825147338,83310,"274,041,535","28,854",스릴러,12세관람가,일반영화,2022,11,가을,112805094,1
2702,2727,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,하시모토 마사카즈,롯데엔터테인먼트,2014-04-03,장편,일본,301,588913100,83289,"107,715,900","14,436",애니메이션,전체관람가,일반영화,2014,4,봄,215068958,0
2703,2728,세자매,이승원,리틀빅픽쳐스,2021-01-27,장편,한국,569,702123930,83275,"229,146,900","27,217",드라마,15세관람가,독립/예술영화,2021,1,겨울,60531087,1
2704,2729,지랄발광 17세,켈리 프레몬,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-06-28,장편,미국,90,656251800,83258,"254,855,800","31,766",코미디,15세관람가,독립/예술영화,2017,6,여름,219876227,0
2705,2730,뷰티풀 크리처스,리차드 라그라브네스,롯데엔터테인먼트,2013-04-18,장편,미국,278,582030544,82995,"192,640,044","26,361",스릴러,15세관람가,일반영화,2013,4,봄,213351030,0
