,영화명,감독,배급사,개봉일,출연
72,완벽한 타인,이재규,롯데컬처웍스롯데엔터테인먼트,2018-10-31,"['유해진', '조진웅', '이서진', '염정아', '김지수', '송하윤', '윤경호']"
73,조커,토드 필립스,워너브러더스 코리아,2019-10-02,['호아킨 피닉스']
74,월드 워 Z,마크 포스터,롯데엔터테인먼트,2013-06-20,"['브래드 피트', '미레유 에노스']"
75,타워,김지훈,씨제이이엔엠,2012-12-25,"['설경구', '손예진', '김상경']"
76,미녀와 야수,빌 콘돈,월트디즈니스튜디오스코리아,2017-03-16,"['엠마 왓슨', '댄 스티븐스', '루크 에반스']"
77,추격자,나홍진,쇼박스,2008-02-14,"['김윤석', '하정우']"
78,독전,이해영,넥스트엔터테인먼트월드,2018-05-22,"['조진웅', '류준열', '김주혁', '김성령', '박해준']"
79,쿵푸팬더 2,여인영,씨제이이엔엠,2011-05-26,"['잭 블랙', '더스틴 호프만', '성룡', '안젤리나 졸리', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '양자경', '장 끌로드 반담', '빅터 가버', '게리 올드만', '데니스 헤이스버트']"
80,아쿠아맨,제임스 완,워너브러더스 코리아,2018-12-19,"['앰버 허드', '제이슨 모모아', '윌렘 대포', '패트릭 윌슨', '니콜 키드먼', '돌프 룬드그렌']"
81,공작,윤종빈,씨제이이엔엠,2018-08-08,"['황정민', '이성민', '조진웅', '주지훈']"
82,인사이드 아웃,피트 닥터,월트디즈니스튜디오스코리아,2015-07-09,"['에이미 포엘러', '필리스 스미스', '민디 캘링', '빌 헤이더', '루이스 블랙', '케이틀린 디아스', '카일 맥라클란', '다이안 레인']"
83,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아,2017-09-27,"['태런 에저튼', '줄리안 무어', '콜린 퍼스']"
84,바람과 함께 사라지다,김주호,넥스트엔터테인먼트월드,2012-08-08,"['차태현', '오지호', '민효린', '성동일', '신정근', '고창석']"
85,마션,리들리 스콧,월트디즈니스튜디오스코리아,2015-10-08,"['크리스틴 위그', '제시카 차스테인', '맷 데이먼', '케이트 마라', '제프 다니엘스', '세바스찬 스탠']"
86,토르: 라그나로크,타이카 와이티티,월트디즈니스튜디오스코리아,2017-10-25,"['크리스 헴스워스', '톰 히들스턴', '케이트 블란쳇', '마크 러팔로']"
87,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화,2012-06-28,"['앤드류 가필드', '엠마 스톤', '리스 이판', '마틴 쉰', '샐리 필드']"
88,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,"['조병만', '강계열']"
89,조선명탐정 : 각시투구꽃의 비밀,김석윤,쇼박스,2011-01-27,"['김명민', '오달수', '한지민']"
90,봉오동 전투,원신연,쇼박스,2019-08-07,"['유해진', '류준열', '조우진']"
91,군도: 민란의 시대,윤종빈,쇼박스,2014-07-23,"['하정우', '강동원']"
92,남산의 부장들,우민호,쇼박스,2020-01-22,"['이병헌', '이성민', '곽도원', '이희준', '김소진']"
93,라이온 킹,존 파브로,월트디즈니스튜디오스코리아,2019-07-17,"['도날드 글로버', '세스 로건', '치웨텔 에지오포', '제임스 얼 존스', '빌리 아이크너', '알프리 우다드', '비욘세']"
94,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,쇼박스,2012-02-02,"['최민식', '하정우']"
95,주토피아,리치 무어,월트디즈니스튜디오스코리아,2016-02-17,"['지니퍼 굿윈', '제이슨 베이트먼', '샤키라', '알란 터딕', '이드리스 엘바', 'J.K. 시몬스']"
96,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아,2014-06-04,"['톰 크루즈', '에밀리 블런트', '빌 팩스톤']"
97,쿵푸 팬더,마크 오스본,씨제이이엔엠,2008-06-05,"['잭 블랙', '더스틴 호프만', '성룡', '루시 리우', '안젤리나 졸리', '이안 맥쉐인', '데이빗 크로스', '세스 로건']"
98,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아,2016-11-16,"['에디 레드메인', '캐서린 워터스턴', '콜린 파렐', '앨리슨 수돌']"
99,도가니,황동혁,씨제이이엔엠,2011-09-22,"['공유', '정유미']"
100,내 아내의 모든 것,민규동,넥스트엔터테인먼트월드,2012-05-17,"['임수정', '이선균', '류승룡']"
101,나쁜 녀석들: 더 무비,손용호,씨제이이엔엠,2019-09-11,"['마동석', '김상중', '김아중', '장기용']"
102,판도라,박정우,넥스트엔터테인먼트월드,2016-12-07,"['김남길', '김주현', '정진영', '김영애', '문정희', '김대명']"
103,터미네이터 : 미래전쟁의 시작,맥지,롯데엔터테인먼트,2009-05-21,"['크리스찬 베일', '샘 워싱턴', '안톤 옐친', '문 블러드굿']"
104,맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아,2008-09-03,"['메릴 스트립', '피어스 브로스넌', '콜린 퍼스', '스텔란 스카스가드', '아만다 사이프리드']"
105,연가시,박정우,씨제이이엔엠,2012-07-05,"['김명민', '문정희', '김동완', '이하늬']"
106,아이언맨 2,존 파브로,씨제이이엔엠,2010-04-29,"['로버트 다우니 주니어', '기네스 팰트로', '돈 치들', '스칼릿 조핸슨', '미키 루크']"
107,강철비,양우석,넥스트엔터테인먼트월드,2017-12-14,"['정우성', '곽도원']"
108,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아,2011-07-13,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']"
109,다만 악에서 구하소서,홍원찬,씨제이이엔엠,2020-08-05,"['황정민', '이정재', '박정민', '박소이']"
110,헌트,이정재,플러스엠 엔터테인먼트,2022-08-10,"['이정재', '정우성', '전혜진', '허성태', '고윤정', '김종수', '정만식']"
111,아이언맨,존 파브로,씨제이이엔엠,2008-04-30,"['로버트 다우니 주니어', '테렌스 하워드', '제프 브리지스', '기네스 팰트로']"
112,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아,2014-05-22,"['제니퍼 로렌스', '휴 잭맨', '제임스 맥어보이', '마이클 패스벤더']"
113,강철중: 공공의 적 1-1,강우석,씨제이이엔엠,2008-06-19,"['설경구', '정재영']"
114,아가씨,박찬욱,씨제이이엔엠,2016-06-01,"['김민희', '김태리', '하정우', '조진웅']"
115,어메이징 스파이더맨 2,마크 웹,월트디즈니스튜디오스코리아,2014-04-23,"['엠마 스톤', '앤드류 가필드']"
116,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,씨제이이엔엠,2008-05-22,"['해리슨 포드', '케이트 블란쳇', '카렌 알렌', '샤이아 라보프', '레이 윈스턴']"
117,용의자,원신연,쇼박스,2013-12-24,"['공유', '박희순', '조성하', '유다인', '김성균', '조재윤']"
118,건축학개론,이용주,롯데엔터테인먼트,2012-03-22,"['엄태웅', '한가인', '이제훈', '수지']"
119,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아,2008-07-30,"['브렌든 프레이저', '이연걸', '마리아 벨로', '존 한나', '양자경', '루크 포드', '이사벨라 롱']"
120,7급 공무원,신태라,롯데엔터테인먼트,2009-04-22,"['김하늘', '강지환']"
121,다크 나이트,크리스토퍼 놀란, 해리슨앤컴퍼니,2008-08-06,"['크리스찬 베일', '히스 레저', '아론 에크하트']"
122,댄싱퀸,이석훈,씨제이이엔엠,2012-01-18,"['황정민', '엄정화']"
123,우리 생애 최고의 순간,임순례,싸이더스,2008-01-10,"['문소리', '김정은', '엄태웅', '김지영', '조은지', '차민지']"
124,꾼,장창원,쇼박스,2017-11-22,"['현빈', '유지태', '배성우', '박성웅', '나나', '안세하']"
125,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아,2014-07-10,"['앤디 서키스', '게리 올드만', '제이슨 클락', '주디 그리어', '케리 러셀']"
126,타짜-신의 손,강형철,롯데엔터테인먼트,2014-09-03,"['T.O.P', '신세경', '곽도원', '이하늬']"
127,쿵푸팬더3,알레산드로 칼로니,씨제이이엔엠,2016-01-28,"['잭 블랙', '안젤리나 졸리', '성룡', '세스 로건', '루시 리우', '데이빗 크로스', '제임스 홍', '케이트 허드슨', '브라이언 크랜스톤', '더스틴 호프만', 'J.K. 시몬스']"
128,캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니스튜디오스코리아,2014-03-26,"['스칼릿 조핸슨', '크리스 에반스', '사무엘 L. 잭슨']"
129,박수건달,조진규,쇼박스,2013-01-09,"['박신양', '김정태', '엄지원', '정혜영']"
130,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-10-03,"['톰 하디', '미셸 윌리엄스']"
131,조선명탐정 : 사라진 놉의 딸,김석윤,쇼박스,2015-02-11,"['김명민', '오달수', '이연희']"
132,역린,이재규,롯데엔터테인먼트,2014-04-30,"['현빈', '정재영', '조정석', '조재현', '한지민']"
133,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아,2015-05-14,"['톰 하디', '샤를리즈 테론', '니콜라스 홀트']"
134,남한산성,황동혁,씨제이이엔엠,2017-10-03,"['이병헌', '김윤석', '박해일', '고수', '박희순']"
135,반도,연상호,넥스트엔터테인먼트월드,2020-07-15,"['강동원', '이정현']"
136,데드풀 2,데이빗 레이치,이십세기폭스코리아,2018-05-16,"['라이언 레이놀즈', '조슈 브롤린', '재지 비츠', '모레나 바카린']"
137,쌍화점,유하,쇼박스,2008-12-30,"['조인성', '주진모', '송지효']"
138,암수살인,김태균,쇼박스,2018-10-03,"['김윤석', '주지훈']"
139,국가부도의 날,최국희,씨제이이엔엠,2018-11-28,"['김혜수', '유아인', '허준호', '조우진', '뱅상 카셀']"
140,신기전,김유진,씨제이이엔엠,2008-09-04,"['정재영', '한은정', '허준호']"
141,미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아,2017-06-06,"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']"
142,82년생 김지영,김도영,롯데컬처웍스롯데엔터테인먼트,2019-10-23,"['정유미', '공유']"
143,분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아,2019-08-14,"['드웨인 존슨', '제이슨 스타뎀', '이드리스 엘바', '바네사 커비']"
144,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아,2017-04-12,"['빈 디젤', '드웨인 존슨', '샤를리즈 테론', '제이슨 스타뎀']"
145,너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04,"['카미키 류노스케', '카미시라이시 모네']"
146,모가디슈,류승완,롯데컬처웍스롯데엔터테인먼트,2021-07-28,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']"
147,인턴,낸시 마이어스,워너브러더스 코리아,2015-09-24,"['로버트 드 니로', '앤 해서웨이']"
148,라라랜드,데이미언 셔젤,판씨네마,2016-12-07,"['엠마 스톤', '라이언 고슬링']"
149,귀향,조정래,와우픽쳐스,2016-02-24,"['강하나', '최리', '손숙', '황화순', '정무성', '서미지', '류신', '임성철', '오지혜', '정인기', '김민수', '이승현']"
150,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화,2011-10-12,"['휴 잭맨', '에반젤린 릴리', '다코타 고요']"
151,신의 한 수,조범구,쇼박스,2014-07-03,"['정우성', '이범수', '안성기', '김인권', '이시영']"
152,코코,리 언크리치,월트디즈니스튜디오스코리아,2018-01-11,"['벤자민 브랫', '가엘 가르시아 베르날', '안소니 곤잘레스 ']"
153,부러진 화살,정지영,넥스트엔터테인먼트월드,2012-01-18,"['안성기', '박원상', '나영희', '김지호']"
154,스파이,이승준,씨제이이엔엠,2013-09-05,"['설경구', '문소리', '다니엘 헤니']"
155,그것만이 내 세상,최성현,씨제이이엔엠,2018-01-17,"['이병헌', '윤여정', '박정민']"
156,이끼,강우석,씨제이이엔엠,2010-07-14,"['정재영', '박해일', '유준상', '유선', '허준호', '유해진', '김상호', '김준배']"
157,토이 스토리 4,조시 쿨리,월트디즈니스튜디오스코리아,2019-06-20,"['톰 행크스', '애니 파츠', '토니 헤일', '팀 알렌']"
158,돈,박누리,쇼박스,2019-03-20,"['류준열', '유지태', '조우진']"
159,포화속으로,이재한,롯데엔터테인먼트,2010-06-16,"['차승원', '권상우', 'T.O.P', '김승우']"
160,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화,2012-05-24,"['윌 스미스', '토미 리 존스', '조슈 브롤린']"
161,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아,2013-12-05,"['도널 글리슨', '레이첼 맥아담스']"
162,악인전,이원태,에이스메이커무비웍스,2019-05-15,"['마동석', '김무열', '김성규']"
163,올빼미,안태진,넥스트엔터테인먼트월드,2022-11-23,"['류준열', '유해진']"
164,슈퍼배드 3,카일 발다,유니버설픽쳐스인터내셔널 코리아,2017-07-26,"['스티브 카렐', '트레이 파커', '크리스틴 위그']"
165,데드풀,팀 밀러,월트디즈니스튜디오스코리아,2016-02-17,['라이언 레이놀즈']
166,시동,최정열,넥스트엔터테인먼트월드,2019-12-18,"['마동석', '박정민', '정해인', '염정아', '최성은']"
167,아이 캔 스피크,김현석,롯데엔터테인먼트,2017-09-21,"['나문희', '이제훈']"
168,스타워즈: 깨어난 포스,J.J. 에이브럼스,월트디즈니스튜디오스코리아,2015-12-17,"['해리슨 포드', '마크 해밀', '캐리 피셔', '도널 글리슨', '그웬돌린 크리스티', '사이먼 페그', '오스카 아이삭', '막스 폰 시도우', '존 보예가', '데이지 리들리', '아담 드라이버']"
169,영웅,윤제균,씨제이이엔엠,2022-12-21,"['정성화', '김고은', '나문희', '조재윤', '배정남', '이현우', '박진주']"
170,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아,2015-04-01,"['빈 디젤', '폴 워커', '드웨인 존슨', '제이슨 스타뎀', '미셸 로드리게즈']"
171,터미네이터 제니시스,앨런 테일러,롯데엔터테인먼트,2015-07-02,"['아놀드 슈왈제네거', '에밀리아 클라크', '제이 코트니', '제이슨 클락', 'J.K. 시몬스']"
172,그래비티,알폰소 쿠아론,스튜디오디에이치엘,2013-10-17,"['산드라 블록', '조지 클루니']"
173,마녀,박훈정,워너브러더스 코리아,2018-06-27,"['김다미', '조민수', '박희순', '최우식']"
174,탐정: 리턴즈,이언희,씨제이이엔엠,2018-06-13,"['권상우', '성동일', '이광수']"
175,캐리비안의 해적: 낯선 조류,롭 마샬,한국소니픽쳐스릴리징브에나비스타영화,2011-05-19,"['조니 뎁', '제프리 러쉬', '페넬로페 크루즈']"
176,퀵,조범구,씨제이이엔엠,2011-07-20,"['이민기', '강예원', '김인권', '고창석']"
177,감기,김성수,아이러브시네마,2013-08-14,"['장혁', '수애', '박민하']"
178,나우 유 씨 미 2,존 추,롯데엔터테인먼트,2016-07-13,"['제시 아이젠버그', '마크 러팔로', '우디 해럴슨', '데이브 프랭코', '리지 캐플란']"
179,거북이 달린다,이연우,쇼박스,2009-06-11,"['김윤석', '정경호', '견미리', '선우선']"
180,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,월트디즈니스튜디오스코리아,2017-05-24,"['조니 뎁', '하비에르 바르뎀', '카야 스코델라리오', '브렌튼 스웨이츠', '제프리 러쉬']"
181,이터널스,클로이 자오,월트디즈니스튜디오스코리아,2021-11-03,"['안젤리나 졸리', '마동석', '리차드 매든', '쿠마일 난지아니', '셀마 헤이엑', '젬마 찬', '로런 리들로프', '브라이언 타이리 헨리', '배리 케오간', '리아 맥휴']"
182,스물,이병헌,넥스트엔터테인먼트월드,2015-03-25,"['김우빈', '준호', '강하늘']"
183,토르: 다크 월드,앨런 테일러,월트디즈니스튜디오스코리아,2013-10-30,"['크리스 헴스워스', '나탈리 포트만', '톰 히들스턴', '안소니 홉킨스', '크리스토퍼 에클리스턴', '이드리스 엘바']"
184,방자전,김대우,씨제이이엔엠,2010-06-02,"['김주혁', '류승범', '조여정']"
185,인크레더블 2,브래드 버드,월트디즈니스튜디오스코리아,2018-07-18,"['사무엘 L. 잭슨', '홀리 헌터', '크레이그 T. 넬슨', '사라 보웰', '헉 밀너']"
186,레드: 더 레전드,딘 패리소트,롯데엔터테인먼트,2013-07-18,"['이병헌', '브루스 윌리스', '존 말코비치', '캐서린 제타 존스', '헬렌 미렌', '메리 루이스 파커', '안소니 홉킨스']"
187,해리 포터와 혼혈 왕자,데이빗 예이츠,워너브러더스 코리아,2009-07-15,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']"
188,오싹한 연애,황인호,씨제이이엔엠,2011-12-01,"['손예진', '이민기']"
189,드래곤 길들이기 2,딘 데블로이스,씨제이이엔엠,2014-07-23,"['제이 바루첼', '제라드 버틀러', '아메리카 페레라']"
190,형,권수경,씨제이이엔엠,2016-11-23,"['조정석', '도경수', '박신혜']"
191,친구 2,곽경택,롯데엔터테인먼트,2013-11-14,"['유오성', '주진모', '김우빈']"
192,26년,조근현,인벤트스톤,2012-11-29,"['진구', '한혜진', '임슬옹']"
193,블랙 위도우,케이트 쇼트랜드,월트디즈니스튜디오스코리아,2021-07-07,"['스칼릿 조핸슨', '데이빗 하버', '플로렌스 퓨', '레이첼 와이즈']"
194,서치,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-08-29,"['존 조', '데브라 메싱']"
