순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
4507,서버비콘,조지 클루니,,(주)우성엔터테인먼트,(주)영화사 진진,2018-07-12,개봉영화,장편,미국,101,106162500,12713,67451000,7834,범죄,15세이상관람가,독립/예술영화
4508,가재가 노래하는 곳,올리비아 뉴먼,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-11-02,개봉영화,장편,미국,264,126610889,12704,60583244,6001,드라마,15세이상관람가,일반영화
4509,사다코 2,하나부사 츠토무,,(주)도키엔터테인먼트,(주)미디어데이,2014-03-13,개봉영화,장편,일본,100,92668200,12696,21654300,2919,공포(호러),15세이상관람가,일반영화
4510,서유기 리턴즈,신동엽,(주)서울무비웍스,,(주)영화사 조제,2011-02-17,개봉영화,장편,한국,59,80194000,12696,13435000,2044,코미디,전체관람가,일반영화
4511,시선,이장호,"크로스픽쳐스(주),드림타워",,(주)나이너스엔터테인먼트,2014-04-16,개봉영화,장편,한국,112,90171000,12694,36737200,5149,드라마,12세이상관람가,독립/예술영화
4512,리플레이,데이비드 하인즈,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,2020-12-16,개봉영화,장편,미국,242,103182310,12692,56517660,6934,드라마,12세이상관람가,독립/예술영화
4513,럼 다이어리,브루스 로빈슨,,(주)드림웨스트픽쳐스,(주)마인스 엔터테인먼트,2012-09-20,개봉영화,장편,미국,126,91844000,12685,45236000,6058,코미디,청소년관람불가,일반영화
4514,메이드 인 이태리,제임스 다시,,오드,오드,2021-11-24,개봉영화,장편,영국,124,106797420,12678,57407970,6892,드라마,12세이상관람가,독립/예술영화
4515,티탄,줄리아 듀코나우,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2021-12-09,개봉영화,장편,프랑스,92,125658020,12663,84612480,8309,드라마,청소년관람불가,독립/예술영화
4516,베르테르,조광하,(주)씨제이이엔엠,,CGV ICECON,2021-05-05,개봉영화,장편,한국,68,223809000,12646,81065500,4585,뮤지컬,12세이상관람가,일반영화
4517,극장판 토리코 : 미식신의 스페셜메뉴,자코 아키후미,,중앙애니메이션,(주)미디어데이,2013-11-28,개봉영화,장편,일본,38,83206000,12635,19963500,2922,애니메이션,전체관람가,일반영화
4518,레고:클러치파워의 모험,하워드 E.베이커,트래슐드 애니메이션 스튜디오,(주)유이케이,유니버설픽쳐스인터내셔널 코리아(유),2010-06-10,개봉영화,장편,미국,56,87727863,12631,32830000,4287,애니메이션,전체관람가,일반영화
4519,다섯 개의 시선,"정지우,김동원,박경희,류승완,장진",국가인권위원회,,CJ ENM,2006-01-13,개봉영화,옴니버스,한국,0,0,12621,0,9987,다큐멘터리,12세관람가,일반영화
4520,미혹,김진영,"엔진을켜 스튜디오,(주)고집스튜디오,(주)싸이더스",,"(주)엔케이컨텐츠,(주)디스테이션",2022-10-19,개봉영화,장편,한국,224,99911491,12620,38889797,4808,미스터리,15세이상관람가,독립/예술영화
4521,옷코는 초등학생 사장님!,코사카 키타로,,(주)미디어캐슬,(주)트리플픽쳐스,2019-02-27,개봉영화,장편,일본,155,95118580,12611,34443550,4333,애니메이션,전체관람가,독립/예술영화
4522,믿음의 승부,알렉스 켄드릭,"카멜 엔터테인먼트,데스티네이션 필름,사무엘 골드윈 필름,셔우드 픽쳐스,프로비던트 필름",크로스픽쳐스(주),크로스픽쳐스(주),2010-04-15,개봉영화,장편,미국,3,84681026,12572,61414000,9072,드라마,전체관람가,일반영화
4523,브로큰 시티,알렌 휴즈,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2013-04-04,개봉영화,장편,미국,80,90551000,12557,38153000,5216,범죄,15세이상관람가,일반영화
4524,페어웰,룰루 왕,,오드,오드,2021-02-04,개봉영화,장편,미국,162,104799900,12555,59982100,6948,가족,전체관람가,독립/예술영화
4525,시인의 사랑,김양희,"(주)영화사진,(주)미인픽쳐스",,CGV아트하우스,2017-09-14,개봉영화,장편,한국,119,97464900,12547,59196400,7243,드라마,15세이상관람가,독립/예술영화
4526,코스모폴리스,데이빗 크로넨버그,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2013-06-27,개봉영화,장편,캐나다,28,94707700,12545,60800200,7522,드라마,청소년관람불가,독립/예술영화
4527,호두까기 인형: 장난감 왕국 대모험,에두와르도 슐츠,,THE 픽쳐스,THE 픽쳐스,2016-12-15,개봉영화,장편,페루,96,87481400,12542,21877600,2556,애니메이션,전체관람가,독립/예술영화
4528,플레이,남다정,"시네마달,(주)잉크스팟",,(주)영화사 진진,2011-06-23,개봉영화,장편,한국,33,90815000,12536,65130000,8656,드라마,전체관람가,독립/예술영화
4529,슈퍼 햄찌,주나 테나,,(주)오콘,와이드 릴리즈(주),2019-09-26,개봉영화,장편,핀란드,209,94640540,12493,23103400,2842,애니메이션,전체관람가,일반영화
