,순번,영화명,감독,배급사,개봉일,출연
0,25,아바타: 물의 길,제임스 카메론,월트디즈니스튜디오스코리아,2022-12-14,"['로버트 다우니 주니어', '크리스 헴스워스', '마크 러팔로', '크리스 에반스', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '제임스 스페이더', '사무엘 L. 잭슨']"
1,26,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니스튜디오스코리아,2015-04-23,"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']"
2,27,기생충,봉준호,씨제이이엔엠,2019-05-30,"['크리스틴 벨', '이디나 멘젤']"
3,28,겨울왕국,제니퍼 리,월트디즈니스튜디오스코리아,2014-01-16,"['매튜 맥커너히', '앤 해서웨이', '마이클 케인', '제시카 차스테인']"
4,29,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아,2014-11-06,"['라미 말렉', '조셉 마젤로', '루시 보인턴', '벤 하디', '귈림 리']"
5,30,보헤미안 랩소디,브라이언 싱어,월트디즈니스튜디오스코리아,2018-10-31,"['황정민', '강동원']"
6,31,검사외전,이일형,쇼박스,2016-02-03,"['조정석', '윤아']"
7,32,엑시트,이상근,씨제이이엔엠,2019-07-31,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']"
8,33,관상,한재림,쇼박스,2013-09-11,"['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리', '돈 치들', '가이 피어스', '레베카 홀']"
9,34,아이언맨 3,쉐인 블랙,월트디즈니스튜디오스코리아,2013-04-25,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']"
10,35,설국열차,봉준호,씨제이이엔엠,2013-08-01,"['로버트 다우니 주니어', '크리스 에반스', '스칼릿 조핸슨']"
11,36,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니스튜디오스코리아,2016-04-27,"['심은경', '나문희', '박인환', '성동일', '이진욱']"
12,37,수상한 그녀,황동혁,씨제이이엔엠,2014-01-22,"['김남길', '손예진']"
13,38,해적: 바다로 간 산적,이석훈,롯데엔터테인먼트,2014-08-06,"['하정우', '성동일', '김지석', '김동욱', '최재환', '이재응', '이은성']"
14,39,국가대표,김용화,쇼박스,2009-07-29,"['제이슨 베어', '아만다 브룩스', '크레이그 로빈슨', '엘리자베스 페나', '로버트 포스터']"
15,41,백두산,김병서,씨제이이엔엠,2019-12-19,"['차태현', '박보영', '왕석현']"
16,42,과속스캔들,강형철,롯데엔터테인먼트,2008-12-03,"['톰 크루즈', '제니퍼 코넬리', '마일즈 텔러']"
17,43,탑건: 매버릭,조셉 코신스키,롯데컬처웍스롯데엔터테인먼트,2022-06-22,"['톰 홀랜드', '사무엘 L. 잭슨', '젠데이아 콜먼']"
18,44,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-07-02,"['정재영', '신하균', '강혜정']"
19,46,공조,김성훈,씨제이이엔엠,2017-01-18,"['샤이아 라보프', '로지 헌팅턴 휘틀리', '조쉬 더하멜', '휴고 위빙', '패트릭 뎀시', '레너드 니모이', '타이레스 깁슨', '존 말코비치', '켄 정', '프란시스 맥도맨드', '존 터투로']"
20,47,트랜스포머 3,마이클 베이,씨제이이엔엠,2011-06-29,"['황정민', '정우']"
21,48,히말라야,이석훈,씨제이이엔엠,2015-12-16,"['톰 크루즈', '제레미 레너']"
22,49,미션임파서블:고스트프로토콜,브래드 버드,씨제이이엔엠,2011-12-15,"['톰 홀랜드', '젠데이아 콜먼', '베네딕트 컴버배치', '존 파브로', '제이콥 배덜런', '마리사 토메이', '알프리드 몰리나']"
23,50,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2021-12-15,"['샤이아 라보프', '메간 폭스', '휴고 위빙', '조쉬 더하멜', '존 터투로']"
24,51,트랜스포머: 패자의 역습,마이클 베이,(주)씨제이이엔엠,2009-06-24,"['송강호', '공유']"
25,52,밀정,김지운,워너브러더스 코리아,2016-09-07,"['박해일', '류승룡', '김무열', '문채원']"
26,53,최종병기 활,김한민,롯데엔터테인먼트,2011-08-10,"['샤이아 라보프', '타이레스 깁슨', '조쉬 더하멜', '안소니 앤더슨', '메간 폭스', '레이첼 테일러']"
27,55,써니,강형철,씨제이이엔엠,2011-05-04,"['김상경', '안성기', '이요원', '이준기']"
28,57,한산: 용의 출현,김한민,롯데컬처웍스롯데엔터테인먼트,2022-07-27,"['톰 홀랜드', '마이클 키튼']"
29,58,스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-07-05,"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']"
30,59,1987,장준환,씨제이이엔엠,2017-12-27,"['하정우', '한석규', '류승범', '전지현', '이경영']"
31,60,베를린,류승완,씨제이이엔엠,2013-01-30,"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']"
32,61,마스터,조의석,씨제이이엔엠,2016-12-21,"['하정우', '배두나', '오달수']"
33,62,터널,김성훈,쇼박스,2016-08-10,"['로버트 다우니 주니어', '스칼릿 조핸슨', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '제레미 레너', '사무엘 L. 잭슨', '톰 히들스턴']"
34,63,어벤져스,조스 웨던,월트디즈니스튜디오스코리아,2012-04-26,"['이병헌', '조승우', '백윤식']"
35,64,내부자들,우민호,쇼박스,2015-11-19,"['이정재', '이범수', '리암 니슨', '진세연']"
36,65,인천상륙작전,이재한,씨제이이엔엠,2016-07-27,"['현빈', '유해진', '윤아', '다니엘 헤니', '진선규']"
