,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
23,2609,나탈리,주경중,롯데엔터테인먼트,2010-10-28,장편,한국,196,1131832453,96410,"378,799,000","32,183",멜로/로맨스,청소년관람불가,일반영화,2010,10,가을,147759214,0,"['이성재', '김지훈', '박민경', '김기연']",4.72
24,2610,바스티유 데이,제임스 왓킨스,롯데엔터테인먼트,2016-10-13,장편,미국,422,764700600,96305,"240,785,200","29,327",액션,15세관람가,일반영화,2016,10,가을,217026182,0,"['리차드 매든', '이드리스 엘바', '샬롯 르 본']",8.03
25,2611,천국의 우편배달부,이형민,씨제이이엔엠,2009-11-12,장편,한국,118,644989646,96137,"215,831,000","30,310",멜로/로맨스,전체관람가,일반영화,2009,11,가을,155398654,0,"['김재중', '한효주']",8.62
26,2612,577 프로젝트,이근우,필라멘트픽쳐스,2012-08-30,장편,한국,191,695765500,96079,"309,860,500","40,607",코미디,15세관람가,일반영화,2012,8,여름,194890587,0,"['공효진', '하정우']",8.23
27,2613,기생령,고석진,롯데엔터테인먼트,2011-08-05,장편,한국,207,746326000,96077,"213,113,500","26,314",공포(호러),청소년관람불가,일반영화,2011,8,여름,159724465,0,"['한은정', '이형석', '효민', '박성민']",4.34
28,2614,안테벨룸,제라드 부시,올스타엔터테인먼트,2022-02-23,장편,미국,638,899691250,95983,"331,786,750","36,280",미스터리,15세관람가,독립/예술영화,2022,2,겨울,112805094,1,"['자넬 모네', '지나 말론', '잭 휴스턴']",7.08
29,2616,걷기왕,백승화,CGV아트하우스,2016-10-20,장편,한국,462,710905075,95542,"209,094,375","26,306",드라마,12세관람가,일반영화,2016,10,가을,217026182,0,"['심은경', '박주희']",7.77
30,2617,무서운 이야기 3 : 화성에서 온 소녀,김곡,롯데엔터테인먼트,2016-06-01,옴니버스,한국,317,764967500,95415,"164,623,500","19,541",공포(호러),15세관람가,일반영화,2016,6,여름,217026182,0,"['임슬옹', '경수진', '박정민', '홍은희', '차지연']",5.8
31,2621,S러버,데이빗 맥킨지,싸이더스,2009-09-17,장편,미국,203,728391699,94920,"318,163,000","39,585",코미디,청소년관람불가,일반영화,2009,9,가을,155398654,0,"['애쉬튼 커쳐', '앤 헤이시', '마가리타 레비에바']",6.66
32,2622,용의자 X의 헌신,니시타니 히로시,넥스트엔터테인먼트월드,2009-04-09,장편,일본,144,636382007,94790,"302,393,000","43,281",미스터리,12세관람가,일반영화,2009,4,봄,155398654,0,"['후쿠야마 마사하루', '츠츠미 신이치', '시바사키 코우']",8.68
