,순번,영화명,감독,배급사,개봉일
83,121,공작,윤종빈,씨제이이엔엠,2018-08-08
84,122,인사이드 아웃,피트 닥터,월트디즈니스튜디오스코리아,2015-07-09
85,124,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아,2017-09-27
86,127,바람과 함께 사라지다,김주호,넥스트엔터테인먼트월드,2012-08-08
87,128,마션,리들리 스콧,월트디즈니스튜디오스코리아,2015-10-08
88,129,토르: 라그나로크,타이카 와이티티,월트디즈니스튜디오스코리아,2017-10-25
89,130,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화,2012-06-28
90,131,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27
91,132,조선명탐정 : 각시투구꽃의 비밀,김석윤,쇼박스,2011-01-27
92,133,봉오동 전투,원신연,쇼박스,2019-08-07
93,134,군도: 민란의 시대,윤종빈,쇼박스,2014-07-23
94,135,남산의 부장들,우민호,쇼박스,2020-01-22
95,136,라이온 킹,존 파브로,월트디즈니스튜디오스코리아,2019-07-17
96,137,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,쇼박스,2012-02-02
97,138,주토피아,리치 무어,월트디즈니스튜디오스코리아,2016-02-17
98,139,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아,2014-06-04
99,140,신세계,박훈정,넥스트엔터테인먼트월드,2013-02-21
100,141,쿵푸 팬더,마크 오스본,(주)씨제이이엔엠,2008-06-05
101,142,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아,2016-11-16
102,143,도가니,황동혁,씨제이이엔엠,2011-09-22
103,146,내 아내의 모든 것,민규동,넥스트엔터테인먼트월드,2012-05-17
104,147,나쁜 녀석들: 더 무비,손용호,씨제이이엔엠,2019-09-11
105,148,판도라,박정우,넥스트엔터테인먼트월드,2016-12-07
106,149,터미네이터 : 미래전쟁의 시작,맥지,롯데엔터테인먼트,2009-05-21
107,150,맘마미아!,필리다 로이드,유니버설픽쳐스인터내셔널 코리아,2008-09-03
108,151,연가시,박정우,씨제이이엔엠,2012-07-05
109,152,아이언맨 2,존 파브로,(주)씨제이이엔엠,2010-04-29
110,153,강철비,양우석,넥스트엔터테인먼트월드,2017-12-14
111,154,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아,2011-07-13
112,155,다만 악에서 구하소서,홍원찬,씨제이이엔엠,2020-08-05
113,156,헌트,이정재,플러스엠 엔터테인먼트,2022-08-10
114,157,아이언맨,존 파브로,(주)씨제이이엔엠,2008-04-30
115,158,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아,2014-05-22
116,159,강철중: 공공의 적 1-1,강우석,(주)씨제이이엔엠,2008-06-19
117,160,아가씨,박찬욱,씨제이이엔엠,2016-06-01
118,162,어메이징 스파이더맨 2,마크 웹,월트디즈니스튜디오스코리아,2014-04-23
119,163,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,(주)씨제이이엔엠,2008-05-22
120,164,용의자,원신연,쇼박스,2013-12-24
121,165,건축학개론,이용주,롯데엔터테인먼트,2012-03-22
122,167,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아,2008-07-30
123,168,7급 공무원,신태라,롯데엔터테인먼트,2009-04-22
