영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
용서는 없다,김형준,시네마서비스,2010-01-07,장편,한국,334,8737627361,1144238,"2,656,285,000","332,736",범죄,청소년관람불가,일반영화
장사리 : 잊혀진 영웅들,곽경택,워너브러더스 코리아,2019-09-25,장편,한국,1090,8997921050,1140876,"1,699,010,620","208,596",전쟁,12세관람가,일반영화
"10,000 BC",롤랜드 에머리히,워너브러더스 코리아,2008-03-13,장편,미국,359,7430607499,1140118,"2,251,461,500","326,091",어드벤처,15세관람가,일반영화
고령화 가족,송해성,씨제이이엔엠,2013-05-09,장편,한국,583,8159482153,1139250,"2,429,592,653","324,221",드라마,15세관람가,일반영화
미나리,정이삭,판씨네마,2021-03-03,장편,미국,1162,10201204050,1132962,"3,565,021,300","390,933",드라마,12세관람가,독립/예술영화
김종욱 찾기,장유정,(주)씨제이이엔엠,2010-12-08,장편,한국,442,8271660983,1130638,"3,070,574,500","396,698",멜로/로맨스,12세관람가,일반영화
하루,조선호,CGV아트하우스,2017-06-15,장편,한국,781,9068009842,1129018,"2,244,976,142","270,183",스릴러,15세관람가,일반영화
헝거게임: 캣칭 파이어,프란시스 로렌스,롯데엔터테인먼트,2013-11-21,장편,미국,630,7850816000,1125739,"2,851,643,500","385,304",판타지,15세관람가,일반영화
챔피언,김용완,워너브러더스 코리아,2018-05-01,장편,한국,874,9441064230,1125319,"1,846,376,630","212,475",드라마,12세관람가,일반영화
슬럼독 밀리어네어,대니 보일,영화특별시에스엠씨,2009-03-19,장편,영국,201,7468302846,1125032,"3,344,881,000","483,793",드라마,15세관람가,독립/예술영화
성난 변호사,허종호,씨제이이엔엠,2015-10-08,장편,한국,607,8697174039,1124918,"2,126,132,839","263,369",범죄,15세관람가,일반영화
6년째 연애중,박현진,스튜디오210,2008-02-05,장편,한국,327,7460438000,1123294,"2,369,716,000","338,423",멜로/로맨스,15세관람가,일반영화
특수본,황병국,,2011-11-24,장편,한국,471,8096052500,1118258,"2,269,510,500","299,090",액션,15세관람가,일반영화
마이펫의 이중생활 2,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2019-07-31,장편,미국,933,8512830825,1114941,"1,937,926,035","239,636",애니메이션,전체관람가,일반영화
스타 트렉: 더 비기닝,J.J. 에이브럼스,(주)씨제이이엔엠,2009-05-07,장편,미국,411,7425754645,1111865,"2,761,275,000","386,396",SF,12세관람가,일반영화
라이트 아웃,데이비드 F. 샌드버그,워너브러더스 코리아,2016-08-24,장편,미국,659,8892177975,1111158,"2,086,096,975","248,265",공포(호러),15세관람가,일반영화
회사원,임상윤,쇼박스,2012-10-11,장편,한국,549,8321175000,1110523,"2,544,330,000","323,549",액션,청소년관람불가,일반영화
간신,민규동,롯데엔터테인먼트,2015-05-21,장편,한국,697,8946842910,1110246,"2,421,410,210","289,236",사극,청소년관람불가,일반영화
박물관이 살아있다 : 비밀의 무덤,숀 레비,이십세기폭스코리아,2015-01-14,장편,미국,500,8170784606,1101678,"2,209,722,306","288,421",어드벤처,전체관람가,일반영화
베스트셀러,이정호,,2010-04-15,장편,한국,317,8110824681,1099665,"2,478,553,500","317,714",미스터리,15세관람가,일반영화
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",미키 타카히로,바이포엠스튜디오,2022-11-30,장편,일본,258,11341499930,1097535,"2,764,171,612","260,734",멜로/로맨스,12세관람가,독립/예술영화
롱 리브 더 킹: 목포 영웅,강윤성,플러스엠 엔터테인먼트,2019-06-19,장편,한국,965,9218262910,1092738,"1,631,602,490","189,422",액션,15세관람가,일반영화
마루 밑 아리에티,요네바야시 히로마사,(주)씨제이이엔엠,2010-09-09,장편,일본,337,7773942884,1083746,"2,826,512,500","373,176",애니메이션,전체관람가,일반영화
퍼시픽 림: 업라이징,스티븐 S. 드나이트,유니버설픽쳐스인터내셔널 코리아,2018-03-21,장편,미국,1145,8962712795,1077235,"2,487,116,295","278,336",액션,15세관람가,일반영화
가디언즈,피터 램지,씨제이이엔엠,2012-11-29,장편,미국,470,8212243000,1075584,"2,372,102,000","283,476",애니메이션,전체관람가,일반영화
더 울버린,제임스 맨골드,이십세기폭스코리아,2013-07-25,장편,미국,707,7849518000,1075333,"2,418,747,500","311,251",액션,15세관람가,일반영화
섹스 앤 더 시티,마이클 패트릭 킹,에스케이텔레콤,2008-06-05,장편,미국,361,7133337600,1074321,"3,434,823,000","495,297",멜로/로맨스,청소년관람불가,일반영화
몬스터 호텔 3,젠디 타타코브스키,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-08-08,장편,미국,715,7932156800,1072006,"1,410,233,600","183,174",애니메이션,전체관람가,일반영화
오빠생각,이한,넥스트엔터테인먼트월드,2016-01-21,장편,한국,855,8058857287,1069436,"1,899,517,093","242,400",드라마,12세관람가,일반영화
노잉,알렉스 프로야스,넥스트엔터테인먼트월드,2009-04-16,장편,미국,394,6984051785,1063955,"2,424,294,000","351,082",SF,12세관람가,일반영화
"날, 보러와요",이철하,플러스엠 엔터테인먼트,2016-04-07,장편,한국,683,8821335063,1061412,"2,079,948,563","242,864",미스터리,청소년관람불가,일반영화
수상한 고객들,조진모,씨제이이엔엠,2011-04-14,장편,한국,411,7953428000,1059350,"2,669,850,500","339,494",코미디,15세관람가,일반영화
쥬만지: 넥스트 레벨,제이크 캐스단,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-12-11,장편,미국,1195,8793014370,1057266,"2,210,640,940","253,811",액션,12세관람가,일반영화
스텝업 2 : 더 스트리트,존 추,스튜디오이쩜영,2008-03-13,장편,미국,278,6856702000,1052379,"2,484,794,500","361,893",멜로/로맨스,12세관람가,일반영화
업,밥 피터슨,한국소니픽쳐스릴리징브에나비스타영화,2009-07-29,장편,미국,374,7652994608,1047327,"3,189,205,000","411,959",애니메이션,전체관람가,일반영화
시크릿,윤재구,(주)씨제이이엔엠,2009-12-03,장편,한국,397,7979591607,1046787,"2,678,001,500","335,889",스릴러,청소년관람불가,일반영화
그놈이다,윤준형,CGV아트하우스,2015-10-28,장편,한국,681,8098811152,1046313,"1,801,920,452","223,764",스릴러,15세관람가,일반영화
동창생,박홍수,쇼박스,2013-11-06,장편,한국,660,6983395126,1044522,"1,583,311,126","221,965",액션,15세관람가,일반영화
슈퍼 배드,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2010-09-16,장편,미국,321,9873975412,1043904,"2,753,597,000","272,176",애니메이션,전체관람가,일반영화
점박이:한반도의 공룡3D,한상호,씨제이이엔엠,2012-01-26,장편,한국,457,9621468000,1040636,"1,776,299,500","187,715",애니메이션,전체관람가,일반영화
삼국지:용의 부활,이인항,에스케이텔레콤,2008-04-03,장편,중국,322,6660263334,1036172,"2,118,435,834","315,310",사극,15세관람가,일반영화
파괴된 사나이,우민호,,2010-07-01,장편,한국,190,7820538614,1030285,"2,500,843,000","314,477",드라마,청소년관람불가,일반영화
킹스맨: 퍼스트 에이전트,매튜 본,월트디즈니스튜디오스코리아,2021-12-22,장편,미국,1061,10313351770,1029365,"3,109,560,890","306,511",액션,청소년관람불가,일반영화
지오스톰,대니 캐넌,워너브러더스 코리아,2017-10-19,장편,미국,854,8480864614,1028384,"2,098,804,714","238,747",액션,12세관람가,일반영화
오직 그대만,송일곤,쇼박스,2011-10-20,장편,한국,435,7591008500,1027622,"2,118,827,000","271,148",멜로/로맨스,15세관람가,일반영화
개구쟁이 스머프,라자 고스넬,한국소니픽쳐스릴리징브에나비스타영화,2011-08-11,장편,미국,399,7722534000,1027438,"1,962,882,000","239,071",애니메이션,전체관람가,일반영화
로그 원: 스타워즈 스토리,가렛 에드워즈,월트디즈니스튜디오스코리아,2016-12-28,장편,미국,907,9047995594,1019309,"3,187,685,444","339,042",액션,12세관람가,일반영화
본 레거시,토니 길로이,유니버설픽쳐스인터내셔널 코리아,2012-09-06,장편,미국,585,7412233000,1015711,"2,657,138,000","347,976",액션,15세관람가,일반영화
밴티지 포인트,피트 트래비스,한국소니픽쳐스릴리징브에나비스타영화,2008-02-28,장편,미국,288,6654718499,1015287,"2,368,125,999","345,107",스릴러,15세관람가,일반영화
더 넌,코린 하디,워너브러더스 코리아,2018-09-19,장편,미국,824,8777844795,1011580,"2,249,634,745","248,861",공포(호러),15세관람가,일반영화
심장이 뛴다,윤재근,롯데엔터테인먼트,2011-01-05,장편,한국,445,7538083500,1006947,"2,315,715,000","293,832",드라마,15세관람가,일반영화
셔터 아일랜드,마틴 스코세이지,(주)씨제이이엔엠,2010-03-18,장편,미국,275,7528114276,1006833,"2,935,605,000","373,974",드라마,15세관람가,일반영화
라푼젤,네이슨 그레노,한국소니픽쳐스릴리징브에나비스타영화,2011-02-10,장편,미국,328,10106348800,1006075,"3,838,442,500","361,383",애니메이션,전체관람가,일반영화
존 윅 3: 파라벨룸,채드 스타헬스키,더콘텐츠온,2019-06-26,장편,미국,849,8204889876,1004347,"2,646,216,646","308,367",액션,청소년관람불가,일반영화
스카이스크래퍼,로슨 마샬 터버,유니버설픽쳐스인터내셔널 코리아,2018-07-11,장편,미국,831,8612111718,1002858,"2,058,127,718","232,570",액션,12세관람가,일반영화
맨 인 더 다크,페드 알바레즈,유니버설픽쳐스인터내셔널 코리아,2016-10-05,장편,미국,671,8445645672,999047,"2,347,738,772","267,646",스릴러,청소년관람불가,일반영화
오스트레일리아,바즈 루어만,이십세기폭스코리아,2008-12-10,장편,미국,433,6471511555,998528,"2,361,580,500","347,547",사극,12세관람가,일반영화
인크레더블 헐크,루이스 리테리어,유니버설픽쳐스인터내셔널 코리아,2008-06-12,장편,미국,360,6422773000,992064,"2,001,776,000","292,360",액션,15세관람가,일반영화
염력,연상호,넥스트엔터테인먼트월드,2018-01-31,장편,한국,1099,7484644112,990104,"1,855,120,412","238,805",드라마,15세관람가,일반영화
방가? 방가!,육상효,,2010-09-30,장편,한국,259,7129363141,989021,"1,867,346,500","244,586",코미디,12세관람가,독립/예술영화
방황하는 칼날,이정호,씨제이이엔엠,2014-04-10,장편,한국,594,7806377800,987420,"1,950,201,400","234,776",범죄,청소년관람불가,일반영화
시체가 돌아왔다,우선호,씨제이이엔엠,2012-03-29,장편,한국,435,7357623000,986547,"1,804,931,500","228,284",범죄,15세관람가,일반영화
미쓰 와이프,강효진,플러스엠 엔터테인먼트,2015-08-13,장편,한국,437,7357162869,984265,"1,676,810,469","221,861",코미디,15세관람가,일반영화
파퍼씨네 펭귄들,마크 워터스,이십세기폭스코리아,2011-09-07,장편,미국,333,7043993000,979739,"2,328,595,500","306,323",코미디,전체관람가,일반영화
로보캅,호세 파딜라,월트디즈니스튜디오스코리아,2014-02-13,장편,미국,627,7299641958,979509,"2,235,608,658","282,862",액션,12세관람가,일반영화
원더풀 라디오,권칠인,쇼박스,2012-01-05,장편,한국,474,7193596000,977470,"2,018,583,000","259,784",드라마,15세관람가,일반영화
돈 크라이 마미,김용한,에스비에스콘텐츠허브,2012-11-22,장편,한국,444,6808882099,975462,"1,607,844,582","220,683",스릴러,15세관람가,일반영화
바보,김정권,(주)씨제이이엔엠,2008-02-28,장편,한국,263,6301818833,974554,"1,908,720,333","279,453",드라마,12세관람가,일반영화
에픽 : 숲속의 전설,크리스 웻지,이십세기폭스코리아,2013-08-07,장편,미국,471,6702639000,973703,"1,630,346,000","218,343",애니메이션,전체관람가,일반영화
"고산자, 대동여지도",강우석,씨제이이엔엠,2016-09-07,장편,한국,765,7777473258,971194,"1,911,829,638","230,579",사극,전체관람가,일반영화
우리는 형제입니다,장진,쇼박스,2014-10-23,장편,한국,566,7263255399,970373,"1,554,261,699","198,894",코미디,12세관람가,일반영화
프로메테우스,리들리 스콧,이십세기폭스코리아,2012-06-06,장편,미국,521,8583886099,970275,"3,548,689,099","372,315",SF,청소년관람불가,일반영화
전국노래자랑,이종필,롯데엔터테인먼트,2013-05-01,장편,한국,581,6606589000,963634,"1,536,557,000","217,914",코미디,12세관람가,일반영화
스타워즈: 라스트 제다이,라이언 존슨,월트디즈니스튜디오스코리아,2017-12-14,장편,미국,1107,8666688961,959577,"3,358,015,861","335,664",액션,12세관람가,일반영화
나랏말싸미,조철현,플러스엠 엔터테인먼트,2019-07-24,장편,한국,1211,7871240823,958775,"1,862,210,553","222,884",사극,전체관람가,일반영화
백야행,박신우,시네마서비스,2009-11-19,장편,한국,398,7170684217,956767,"2,633,582,000","334,942",멜로/로맨스,청소년관람불가,일반영화
잭 더 자이언트 킬러,브라이언 싱어,워너브러더스 코리아,2013-02-28,장편,미국,507,7376481000,956154,"2,098,720,500","250,941",판타지,12세관람가,일반영화
미드웨이,롤랜드 에머리히,누리픽쳐스,2019-12-31,장편,미국,842,8211133530,955294,"2,185,606,380","247,388",액션,15세관람가,일반영화
허삼관,하정우,넥스트엔터테인먼트월드,2015-01-14,장편,한국,621,7405415569,955175,"1,879,461,269","232,983",드라마,12세관람가,일반영화
스텝업4 : 레볼루션,스콧 스피어,롯데엔터테인먼트,2012-08-15,장편,미국,281,7157894000,953871,"2,323,462,500","290,400",멜로/로맨스,12세관람가,일반영화
발신제한,김창주,씨제이이엔엠,2021-06-23,장편,한국,1010,9085720540,952386,"1,676,960,270","175,048",스릴러,15세관람가,일반영화
트랜스포터-라스트 미션,올리비에 메가턴,,2009-01-08,장편,프랑스,266,6336730334,951855,"1,808,765,000","258,105",액션,15세관람가,일반영화
불한당: 나쁜 놈들의 세상,변성현,씨제이이엔엠,2017-05-17,장편,한국,860,7654331125,951797,"2,109,269,425","254,366",범죄,청소년관람불가,일반영화
그는 당신에게 반하지 않았다,켄 콰피스,넥스트엔터테인먼트월드,2009-02-12,장편,미국,354,6471531867,949324,"3,146,805,500","446,348",멜로/로맨스,15세관람가,일반영화
새미의 어드벤쳐,벤 스타센,(주)씨제이이엔엠,2010-12-15,장편,기타,311,8919480155,946615,"2,211,410,500","218,696",애니메이션,전체관람가,일반영화
GP 506,공수창,쇼박스,2008-04-03,장편,한국,355,6316842000,945185,"2,001,912,500","284,443",공포(호러),청소년관람불가,일반영화
월터의 상상은 현실이 된다,벤 스틸러,글뫼,2013-12-31,장편,미국,378,6877576799,941672,"2,822,983,799","371,403",어드벤처,12세관람가,일반영화
크루즈 패밀리,커크 드 미코,씨제이이엔엠,2013-05-16,장편,미국,525,6540060500,941615,"1,762,804,500","238,425",애니메이션,전체관람가,일반영화
미 비포 유,테아 샤록,워너브러더스 코리아,2016-06-01,장편,미국,481,7618156490,939658,"2,857,730,290","343,297",멜로/로맨스,12세관람가,일반영화
평행이론,권호영,(주)씨제이이엔엠,2010-02-18,장편,한국,272,6905140883,937029,"1,959,571,500","250,326",스릴러,15세관람가,일반영화
뽀로로 극장판 슈퍼썰매 대모험,박영균,씨제이이엔엠,2013-01-23,장편,한국,459,6819979500,929985,"1,575,195,500","201,918",애니메이션,전체관람가,일반영화
애나벨,존 R. 레오네티,워너브러더스 코리아,2014-10-02,장편,미국,464,7081566943,925813,"1,769,522,843","222,596",공포(호러),15세관람가,일반영화
보스 베이비 2,톰 맥그라스,유니버설픽쳐스인터내셔널 코리아,2021-07-21,장편,미국,1343,8292685050,925238,"1,552,488,780","167,011",애니메이션,전체관람가,일반영화
슈퍼배드 2,크리스 리노드,유니버설픽쳐스인터내셔널 코리아,2013-09-12,장편,미국,421,6359208000,925108,"1,797,102,000","244,423",애니메이션,전체관람가,일반영화
매그니피센트 7,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아,2016-09-14,장편,미국,579,7633490421,921317,"2,113,986,651","247,071",액션,15세관람가,일반영화
갓 오브 이집트,알렉스 프로야스,나이너스엔터테인먼트,2016-03-03,장편,미국,618,7610472624,918678,"2,186,618,975","251,912",어드벤처,12세관람가,일반영화
주먹왕 랄프,리치 무어,월트디즈니스튜디오스코리아,2012-12-19,장편,미국,361,6589435500,918183,"1,831,749,500","239,435",애니메이션,전체관람가,일반영화
투어리스트,플로리안 헨켈 폰 도너스마르크,한국소니픽쳐스릴리징브에나비스타영화,2010-12-09,장편,미국,439,6834421095,915359,"2,678,458,500","343,506",드라마,15세관람가,일반영화
크로싱,김태균,벤티지홀딩스,2008-06-26,장편,한국,303,5657365667,907255,"1,934,661,500","299,446",드라마,12세관람가,일반영화
썬더와 마법저택,벤 스타센,씨제이이엔엠,2013-12-24,장편,기타,422,6113755500,904145,"1,277,758,000","179,319",애니메이션,전체관람가,일반영화
월요일이 사라졌다,토미 위르콜라,스마일이엔티,2018-02-22,장편,영국,355,7489885100,903175,"2,030,565,300","239,886",액션,15세관람가,독립/예술영화
데시벨,황인호,마인드마크,2022-11-16,장편,한국,1152,8852646146,901427,"1,865,270,490","183,955",액션,12세관람가,일반영화
점쟁이들,신정원,넥스트엔터테인먼트월드,2012-10-03,장편,한국,479,6345293500,900054,"1,468,531,000","198,356",코미디,15세관람가,일반영화
정직한 후보2,장유정,넥스트엔터테인먼트월드,2022-09-28,장편,한국,1318,8446139162,899684,"1,874,805,158","196,659",코미디,12세관람가,일반영화
더 배트맨,맷 리브스,워너브러더스 코리아,2022-03-01,장편,미국,2370,9252877980,897836,"3,468,610,850","321,562",액션,15세관람가,일반영화
인랑,김지운,워너브러더스 코리아,2018-07-25,장편,한국,1085,6994748173,897548,"1,768,239,473","216,427",SF,15세관람가,일반영화
결백,박상현,소니픽쳐스엔터테인먼트코리아극장배급지점,2020-06-10,장편,한국,1112,7858099340,893855,"1,911,700,700","217,456",드라마,15세관람가,일반영화
신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,씨제이이엔엠,2019-12-19,장편,한국,841,7046110380,893221,"902,370,720","108,157",애니메이션,전체관람가,일반영화
타이탄의 분노,조나단 리브스만,워너브러더스 코리아,2012-03-29,장편,미국,535,7591124500,893027,"2,199,173,000","239,530",액션,12세관람가,일반영화
그것,안드레스 무시에티,워너브러더스 코리아,2017-09-06,장편,미국,837,7331422607,888386,"1,958,970,207","224,114",공포(호러),15세관람가,일반영화
몬스터 호텔,젠디 타타코브스키,월트디즈니스튜디오스코리아,2013-01-17,장편,미국,489,6080221500,884885,"1,313,395,000","178,356",애니메이션,전체관람가,일반영화
씽2게더,가스 제닝스,유니버설픽쳐스인터내셔널 코리아,2022-01-05,장편,미국,1251,8186997050,883973,"2,125,890,820","221,209",애니메이션,전체관람가,일반영화
아이스 에이지 3: 공룡시대,마이크 트메이어,이십세기폭스코리아,2009-08-12,장편,미국,367,6189838667,877398,"1,823,491,500","239,234",애니메이션,전체관람가,일반영화
메가마인드,톰 맥그라스,(주)씨제이이엔엠,2011-01-13,장편,미국,414,8688175500,875481,"3,275,217,500","304,441",애니메이션,전체관람가,일반영화
극장판 헬로카봇 : 백악기 시대,김진철,넥스트엔터테인먼트월드,2018-08-01,장편,한국,758,6542619500,874967,"1,092,117,400","140,632",애니메이션,전체관람가,일반영화
블랙,산제이 렐라 반살리,이언픽쳐스,2009-08-27,장편,기타,248,6254367609,874913,"2,340,253,000","310,842",드라마,전체관람가,독립/예술영화
디스 민즈 워,맥지,이십세기폭스코리아,2012-02-29,장편,미국,351,6661435000,873396,"2,606,658,000","326,981",액션,15세관람가,일반영화
스카이 라인,그렉 스트로즈,화앤담이엔티,2010-11-24,장편,미국,431,6414538349,873079,"1,942,653,500","250,264",액션,12세관람가,일반영화
고死 두 번째 이야기: 교생실습,유선동,넥스트엔터테인먼트월드,2010-07-28,장편,한국,320,5901045987,872594,"1,154,161,500","162,101",공포(호러),15세관람가,일반영화
열한시,김현석,씨제이이엔엠,2013-11-28,장편,한국,512,6097792000,870785,"1,703,900,000","230,557",스릴러,15세관람가,일반영화
1917,샘 멘데스,스마일이엔티,2020-02-19,장편,미국,932,7872002760,870451,"3,123,054,760","325,790",드라마,15세관람가,일반영화
몬스터 대학교,댄 스캔론,월트디즈니스튜디오스코리아,2013-09-12,장편,미국,381,5873833500,870065,"1,275,663,500","177,219",애니메이션,전체관람가,일반영화
개구쟁이 스머프 2,라자 고스넬,월트디즈니스튜디오스코리아,2013-08-01,장편,미국,478,5655415500,869805,"1,187,088,500","173,681",애니메이션,전체관람가,일반영화
미확인 동영상 : 절대클릭금지,김태경,쇼박스,2012-05-30,장편,한국,361,5939840500,867386,"1,053,713,000","145,988",공포(호러),15세관람가,일반영화
오리엔트 특급 살인,케네스 브래너,이십세기폭스코리아,2017-11-29,장편,미국,707,6645385163,864757,"2,594,405,463","323,682",드라마,12세관람가,일반영화
콰이어트 플레이스 2,존 크래신스키,롯데컬처웍스롯데엔터테인먼트,2021-06-16,장편,미국,1137,8550116360,863339,"2,488,591,910","247,107",스릴러,15세관람가,일반영화
엑스맨: 다크 피닉스,사이먼 킨버그,이십세기폭스코리아,2019-06-05,장편,미국,991,7649216640,862744,"2,175,317,420","227,564",액션,12세관람가,일반영화
작은 아씨들,그레타 거윅,소니픽쳐스엔터테인먼트코리아극장배급지점,2020-02-12,장편,미국,1105,7240616830,859072,"2,625,687,480","301,422",드라마,전체관람가,일반영화
레전드 오브 타잔,데이빗 예이츠,워너브러더스 코리아,2016-06-29,장편,미국,593,7196970717,858402,"1,959,397,477","222,047",액션,12세관람가,일반영화
숙명,김해곤,(주)씨제이이엔엠,2008-03-20,장편,한국,341,5680873500,858215,"1,582,293,500","230,045",드라마,청소년관람불가,일반영화
살인의뢰,손용호,씨네그루다우기술,2015-03-12,장편,한국,646,6986456737,855980,"1,716,336,937","201,830",범죄,청소년관람불가,일반영화
헝거게임: 모킹제이,프란시스 로렌스,롯데엔터테인먼트,2014-11-20,장편,미국,630,6400058044,854377,"2,215,556,744","283,167",어드벤처,15세관람가,일반영화
디스트릭트 9,닐 블롬캠프,한국소니픽쳐스릴리징브에나비스타영화,2009-10-15,장편,미국,320,6518492154,853859,"2,619,214,500","327,328",SF,청소년관람불가,일반영화
맨 인 블랙: 인터내셔널,F. 게리 그레이,롯데컬처웍스롯데엔터테인먼트,2019-06-12,장편,미국,1151,7455439570,851040,"2,184,582,920","239,685",액션,12세관람가,일반영화
좋아해줘,박현진,씨제이이엔엠,2016-02-17,장편,한국,637,6572774337,848148,"1,904,246,337","234,990",멜로/로맨스,12세관람가,일반영화
만추,김태용,(주)씨제이이엔엠,2011-02-17,장편,한국,444,6300514500,844103,"2,403,086,500","306,882",멜로/로맨스,15세관람가,일반영화
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,씨제이이엔엠,2022-09-28,장편,일본,873,8370741924,837647,"1,475,548,813","140,884",애니메이션,전체관람가,일반영화
대립군,정윤철,이십세기폭스코리아,2017-05-31,장편,한국,809,6276963402,837500,"1,505,100,202","190,990",드라마,15세관람가,일반영화
존 카터: 바숨 전쟁의 서막,앤드류 스탠튼,한국소니픽쳐스릴리징브에나비스타영화,2012-03-08,장편,미국,508,7218670500,837426,"1,990,997,500","211,589",SF,12세관람가,일반영화
마린보이,윤종석,(주)씨제이이엔엠,2009-02-05,장편,한국,340,5565284169,837059,"1,455,046,000","206,861",액션,15세관람가,일반영화
랑종,반종 피산다나쿤,쇼박스,2021-07-14,장편,한국,1403,8639576030,834338,"2,300,792,450","222,583",공포(호러),청소년관람불가,일반영화
체포왕,임찬익,롯데엔터테인먼트,2011-05-04,장편,한국,407,6146610500,831804,"1,785,434,000","228,733",코미디,15세관람가,일반영화
장화신은 고양이: 끝내주는 모험,조엘 크로포드,유니버설픽쳐스인터내셔널 코리아,2023-01-04,장편,미국,924,7853997456,829268,"1,760,710,766","178,385",애니메이션,전체관람가,일반영화
손님,김광태,씨제이이엔엠,2015-07-09,장편,한국,634,6385295880,827918,"1,717,964,980","213,174",판타지,15세관람가,일반영화
인시디어스 3,리 워넬,유니버설픽쳐스인터내셔널 코리아,2015-07-09,장편,미국,409,6396650620,825517,"1,542,181,920","191,674",공포(호러),15세관람가,일반영화
뽀로로 극장판 공룡섬 대모험,김현호,넥스트엔터테인먼트월드,2017-12-07,장편,한국,803,6203897300,824079,"1,093,529,800","137,767",애니메이션,전체관람가,일반영화
남쪽으로 튀어,임순례,롯데엔터테인먼트,2013-02-06,장편,한국,428,5907297500,821918,"1,479,390,000","198,233",코미디,15세관람가,일반영화
베이비 드라이버,에드가 라이트,소니픽쳐스엔터테인먼트코리아극장배급지점,2017-09-14,장편,영국,778,6688509214,821419,"2,396,693,714","284,626",액션,15세관람가,일반영화
브리짓 존스의 베이비,샤론 맥과이어,유니버설픽쳐스인터내셔널 코리아,2016-09-28,장편,미국,509,6678585874,820995,"2,641,542,374","314,889",코미디,15세관람가,일반영화
유체이탈자,윤재근,에이비오엔터테인먼트,2021-11-24,장편,한국,1216,7941270790,818880,"1,890,160,630","195,864",판타지,15세관람가,일반영화
레드슈즈,홍성호,넥스트엔터테인먼트월드,2019-07-25,장편,한국,717,6102923190,817547,"1,380,911,550","201,881",애니메이션,전체관람가,일반영화
틴틴 : 유니콘호의 비밀,스티븐 스필버그,롯데엔터테인먼트,2011-12-07,장편,미국,644,6721820500,814023,"2,231,009,500","254,024",애니메이션,전체관람가,일반영화
나이브스 아웃,라이언 존슨,올스타엔터테인먼트,2019-12-04,장편,미국,686,6833383090,810208,"3,129,577,620","363,449",미스터리,12세관람가,일반영화
하트 오브 더 씨,론 하워드,워너브러더스 코리아,2015-12-03,장편,미국,535,6779908023,809755,"2,013,490,023","227,317",액션,12세관람가,일반영화
모범시민,F. 게리 그레이,,2009-12-10,장편,미국,309,5933122225,807486,"1,989,985,500","257,733",스릴러,15세관람가,일반영화
써로게이트,조나단 모스토우,한국소니픽쳐스릴리징브에나비스타영화,2009-10-01,장편,미국,224,6020292355,806924,"2,106,905,000","269,912",SF,15세관람가,일반영화
헝거게임: 더 파이널,프란시스 로렌스,롯데엔터테인먼트,2015-11-18,장편,미국,661,6070679163,806709,"2,032,143,445","257,953",액션,15세관람가,일반영화
킹스 스피치,톰 후퍼,화앤담이엔티,2011-03-17,장편,영국,317,5963126500,806248,"2,670,236,000","344,099",드라마,12세관람가,일반영화
스피드 레이서,라나 워쇼스키,워너브러더스 코리아,2008-05-08,장편,미국,339,5219874500,804631,"2,075,139,500","301,766",액션,12세관람가,일반영화
하늘에서 음식이 내린다면 2,코디 카메론,월트디즈니스튜디오스코리아,2013-11-21,장편,미국,545,5423213000,800062,"1,182,203,500","162,353",애니메이션,전체관람가,일반영화
카트,부지영,리틀빅픽쳐스,2014-11-13,장편,한국,544,5809735433,799275,"1,446,480,033","189,714",드라마,12세관람가,일반영화
컨저링3: 악마가 시켰다,마이클 차베즈,워너브러더스 코리아,2021-06-03,장편,미국,1133,8023107360,799261,"1,892,457,550","182,098",공포(호러),15세관람가,일반영화
A-특공대,조 카나한,이십세기폭스코리아,2010-06-10,장편,미국,330,5890424042,791173,"1,983,672,000","253,638",액션,15세관람가,일반영화
화이트: 저주의 멜로디,김곡,씨제이이엔엠,2011-06-09,장편,한국,305,5587166000,790954,"1,093,550,000","146,776",공포(호러),15세관람가,일반영화
상의원,이원석,와우픽쳐스,2014-12-24,장편,한국,466,6202433964,790158,"1,904,029,164","236,326",사극,15세관람가,일반영화
잭 리처,크리스토퍼 맥쿼리,씨제이이엔엠,2013-01-17,장편,미국,431,5758577000,784031,"1,767,476,500","230,355",액션,15세관람가,일반영화
블랙 아담,자움 콜렛 세라,워너브러더스 코리아,2022-10-19,장편,미국,1524,8040723608,779485,"2,247,619,017","205,681",액션,12세관람가,일반영화
킹메이커,변성현,플러스엠 엔터테인먼트,2022-01-26,장편,한국,1185,7313720610,775583,"2,017,189,830","213,017",드라마,15세관람가,일반영화
관능의 법칙,권칠인,롯데엔터테인먼트,2014-02-13,장편,한국,591,5808789500,773996,"1,798,198,300","231,102",드라마,청소년관람불가,일반영화
