순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
1417,아메리칸 메이드,더그 라이만,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,개봉영화,장편,미국,691,"3,175,539,145","401,541",범죄,15세이상관람가,일반영화
1418,아스트로 보이-아톰의 귀환,데이빗 보워스,이미지애니메이션스튜디오,㈜케이디미디어,㈜케이디미디어,2010-01-13,개봉영화,장편,미국,285,"2,640,270,821","401,477",애니메이션,전체관람가,일반영화
1419,버즈 오브 프레이(할리 퀸의 황홀한 해방),캐시 얀,,워너브러더스 코리아(주),워너브러더스 코리아,2020-02-05,개봉영화,장편,미국,963,"3,548,999,190","401,411",액션,15세이상관람가,일반영화
1420,옹박 - 무에타이의 후예,프라챠 핀카엡,사하몽콜 필름 인터내셔널,(주)쇼박스,쇼박스,2004-05-26,개봉영화,장편,태국,0,0,"400,958",액션,15세관람가,일반영화
1421,닌자터틀,조나단 리브스만,,(주)씨제이이엔엠,CJ ENM,2014-08-28,개봉영화,장편,미국,479,"3,321,120,147","400,329",액션,12세이상관람가,일반영화
1422,판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아,2015-08-20,개봉영화,장편,미국,451,"3,029,310,600","399,667",액션,12세이상관람가,일반영화
1423,비와 당신의 이야기,조진모,(주)아지트필름,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,키다리이엔티",2021-04-28,개봉영화,장편,한국,957,"3,634,766,350","398,580",드라마,전체관람가,일반영화
1424,익스펜더블,실베스터 스탤론,밀레니엄 필름즈,(주)동아수출공사,싸이더스,2010-08-19,개봉영화,장편,미국,256,"3,025,538,174","398,097",스릴러,청소년관람불가,일반영화
1425,뜨거운 피,천명관,주식회사 고래픽처스,,"스튜디오디에이치엘,키다리스튜디오",2022-03-23,개봉영화,장편,한국,"1,279","3,782,750,970","398,090",범죄,15세이상관람가,일반영화
1426,사랑이 무서워,정우철,"(주)위픽쳐스,(주)디씨지플러스",,롯데엔터테인먼트,2011-03-10,개봉영화,장편,한국,290,"2,992,783,000","397,923",코미디,15세이상관람가,일반영화
1427,도마뱀,강지은,(주)영화사아침,,시네마서비스,2006-04-27,개봉영화,장편,한국,0,0,"397,913",멜로/로맨스,12세관람가,일반영화
1428,몬스터 패밀리,호거 태프,,(주)우성엔터테인먼트,키다리이엔티,2017-12-21,개봉영화,장편,독일,617,"2,941,183,700","397,633",애니메이션,전체관람가,일반영화
1429,명탐정 코난 : 이차원의 저격수,시즈노 코분,,(주)씨제이이엔엠,CJ ENM,2014-08-06,개봉영화,장편,일본,299,"2,757,396,000","397,381",애니메이션,12세이상관람가,일반영화
1430,날아라 허동구,박규태,(주)타이거픽쳐스,,쇼박스,2007-04-26,개봉영화,장편,한국,0,0,"396,811",가족,전체관람가,일반영화
1431,집행자,최진호,"활동사진,(주)스폰지이엔티,(주)발콘",,"스폰지이엔티,실버스푼",2009-11-05,개봉영화,장편,한국,264,"2,961,477,652","395,865",드라마,청소년관람불가,독립/예술영화
1432,스위치,마대윤,(주)하이브미디어코프,,롯데엔터테인먼트,2023-01-04,개봉영화,장편,한국,912,"3,762,591,512","395,820",기타,12세이상관람가,일반영화
1433,파이널 데스티네이션,제임스 왕,뉴라인 시네마,(주)미로비젼,미로비젼,2006-05-11,개봉영화,장편,미국,0,0,"395,755",공포(호러),18세관람가,일반영화
1434,명탐정 코난 : 제로의 집행인,타치카와 유즈루,,(주)씨제이이엔엠,CJ ENM,2018-08-08,개봉영화,장편,일본,542,"3,007,522,361","395,408",애니메이션,12세이상관람가,일반영화
1435,더 독,루이스 리테리어,TF1 필름 프로덕션,"(주)아펙스 엔터테인먼트,쇼이스트(주)","아펙스 엔터테인먼트,UIP코리아",2005-09-16,개봉영화,장편,프랑스,0,0,"395,000",액션,15세관람가,일반영화
1436,모노폴리,이항배,한맥영화(주),,롯데엔터테인먼트,2006-06-01,개봉영화,장편,한국,0,0,"394,935",범죄,15세관람가,일반영화
1437,헬보이 2 : 골든 아미,길예르모 델 토로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-09-25,개봉영화,장편,미국,279,"2,522,851,500","391,513",SF,12세이상관람가,일반영화
1438,멋진 하루,이윤기,"(주)스폰지이엔티,(주)영화사봄",,롯데엔터테인먼트,2008-09-25,개봉영화,장편,한국,299,"2,554,838,451","390,741",드라마,12세이상관람가,독립/예술영화
1439,배드 가이즈,피에르 페리펠,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-05-04,개봉영화,장편,미국,844,"3,680,403,970","390,455",애니메이션,전체관람가,일반영화
1440,명탐정 코난 : 수평선상의 음모,야마모토 야스이치로,,(주)씨제이이엔엠,CJ ENM,2013-08-07,개봉영화,장편,일본,316,"2,460,173,000","389,253",애니메이션,12세이상관람가,일반영화
1441,월래스와 그로밋 : 거대토끼의 저주,"닉 파크,스티브 박스",드림웍스 SKG,CJ ENM,CJ ENM,2005-11-04,개봉영화,장편,영국,0,0,"388,499",애니메이션,전체관람가,일반영화
1442,피터 래빗,윌 글럭,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05-16,개봉영화,장편,미국,599,"3,006,258,100","388,300",애니메이션,전체관람가,일반영화
1443,론 레인저,고어 버빈스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아,2013-07-04,개봉영화,장편,미국,401,"2,750,149,500","387,527",액션,15세이상관람가,일반영화
1444,내 심장을 쏴라,문제용,(주)주피터필름,,"리틀빅픽쳐스,이수C&E",2015-01-28,개봉영화,장편,한국,452,"2,856,859,132","387,409",드라마,15세이상관람가,일반영화
1445,제미니 맨,이안,,롯데컬처웍스(주)롯데엔터테인먼트,롯데엔터테인먼트,2019-10-09,개봉영화,장편,미국,845,"3,295,969,230","387,342",액션,12세이상관람가,일반영화
1446,나의 독재자,이해준,반짝반짝영화사(주),,롯데엔터테인먼트,2014-10-30,개봉영화,장편,한국,654,"2,906,692,546","385,934",드라마,15세이상관람가,일반영화
1447,명장,진가신,,"(주)스폰지이엔티,미디어소프트","롯데엔터테인먼트,미디어소프트",2008-01-30,개봉영화,장편,중국,236,"2,559,950,500","385,841",액션,청소년관람불가,일반영화
1448,천재 강아지 미스터 피바디,롭 민코프,,(주)씨제이이엔엠,CJ ENM,2014-04-24,개봉영화,장편,미국,533,"2,859,791,400","385,552",애니메이션,전체관람가,일반영화
1449,서복,이용주,"(주)씨제이이엔엠,(주)티피에스컴퍼니",,CJ ENM,2021-04-15,개봉영화,장편,한국,"1,382","3,627,302,450","385,284",드라마,15세이상관람가,일반영화
1450,킬러의 보디가드 2,패트릭 휴즈,,(유)조이앤시네마,"TCO더콘텐츠온,제이앤씨미디어그룹",2021-06-23,개봉영화,장편,미국,975,"3,769,396,180","384,997",액션,청소년관람불가,일반영화
1451,럭키 넘버 슬레븐,폴 맥기건,,㈜코리아스크린,롯데엔터테인먼트,2006-06-22,개봉영화,장편,미국,0,0,"384,790",스릴러,18세관람가,일반영화
1452,언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,개봉영화,장편,미국,518,"3,111,772,391","384,789",공포(호러),15세이상관람가,일반영화
1453,크로니클,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아,2012-03-15,개봉영화,장편,미국,324,"2,881,024,000","383,862",액션,15세이상관람가,일반영화
1454,신석기 블루스,김도혁,㈜팝콘필름,,쇼박스,2004-12-30,개봉영화,장편,한국,0,0,"383,674",코미디,15세관람가,일반영화
1455,사랑의 레시피,스콧 힉스,"캐슬 락 엔터테인먼트,빌리지 로드쇼 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아,2007-08-30,개봉영화,장편,미국,0,0,"383,655",멜로/로맨스,전체관람가,일반영화
1456,보통사람,김봉한,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스(유),2017-03-23,개봉영화,장편,한국,621,"2,956,397,623","383,336",드라마,15세이상관람가,일반영화
1457,소수의견,김성제,(주)하리마오픽쳐스,,시네마서비스,2015-06-24,개봉영화,장편,한국,398,"2,891,431,205","383,332",드라마,15세이상관람가,일반영화
1458,트론: 새로운 시작,조셉 코신스키,라이브플래닛,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-29,개봉영화,장편,미국,379,"4,258,700,247","382,607",SF,12세이상관람가,일반영화
1459,싸움,한지승,"(주)시네마서비스,상상필름(주)",,시네마서비스,2007-12-12,개봉영화,장편,한국,0,0,"382,422",멜로/로맨스,15세이상관람가,일반영화
1460,내 이름은 칸,카란 조하르,,프리비젼엔터테인먼트,필라멘트픽쳐스,2011-03-24,개봉영화,장편,인도,84,"2,820,922,500","381,243",드라마,12세이상관람가,독립/예술영화
1461,대장 김창수,이원태,"(주)비에이엔터테인먼트,(주)무비스퀘어",,"키다리이엔티,주식회사 키위컴퍼니",2017-10-19,개봉영화,장편,한국,748,"2,871,905,115","380,581",드라마,12세이상관람가,일반영화
1462,클릭,프랭크 코라치,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-02-01,개봉영화,장편,미국,0,0,"379,377",코미디,12세이상관람가,일반영화
1463,스토커,박찬욱,,이십세기폭스코리아(주),이십세기폭스코리아,2013-02-28,개봉영화,장편,미국,329,"2,828,301,674","378,729",드라마,청소년관람불가,일반영화
1464,착신아리2,츠카모토 렌페이,"가도가와픽쳐스,다이에 스튜디오",한맥영화(주),CJ ENM,2005-04-29,개봉영화,장편,일본,0,0,"378,520",공포(호러),15세관람가,일반영화
1465,공자 춘추전국시대,후메이,베이징 다디 센츄리,"아이엠제이 유한회사,프리비젼엔터테인먼트",시너지하우스 (시너지),2010-02-11,개봉영화,장편,중국,243,"2,819,298,799","377,801",드라마,12세이상관람가,일반영화
1466,우리 동네,정길영,(주)오브젝트필름,,"CJ ENM,시네마서비스",2007-11-29,개봉영화,장편,한국,0,N/A,"377,591",스릴러,청소년관람불가,일반영화
1467,고스트 라이더,마크 스티븐 존슨,"콜럼비아 픽쳐스 코포레이션,마블 엔터프라이즈",한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-04-12,개봉영화,장편,미국,0,0,"376,333",액션,15세이상관람가,일반영화
1468,프롬 파리 위드 러브,피에르 모렐,유로파 Corp.,㈜케이디미디어,㈜케이디미디어,2010-03-11,개봉영화,장편,프랑스,300,"2,850,441,248","375,573",액션,청소년관람불가,일반영화
1469,폴라 익스프레스,로버트 저메키스,"캐슬 락 엔터테인먼트,워너 브러더스 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아,2004-12-23,개봉영화,장편,미국,0,0,"374,400",애니메이션,전체관람가,일반영화
1470,컨트롤러,조지 놀피,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-03-03,개봉영화,장편,미국,371,"2,862,234,500","373,344",스릴러,12세이상관람가,일반영화
1471,루카,엔리코 카사로사,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-06-17,개봉영화,장편,미국,856,"3,393,832,110","371,572",애니메이션,전체관람가,일반영화
1472,월드 트레이드 센터,올리버 스톤,파라마운트 픽쳐스,UIP코리아,UIP코리아,2006-10-15,개봉영화,장편,미국,0,0,"369,000",드라마,12세관람가,일반영화
1473,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,,(주)시네마리퍼블릭,이수C&E,2017-01-04,개봉영화,장편,러시아,526,"2,694,247,700","366,442",애니메이션,전체관람가,독립/예술영화
1474,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,유야마 쿠니히코,이스트저팬마케팅앤커뮤니케이션,(주)포켓몬코리아,씨제이 씨지브이(CJ CGV),2010-12-23,개봉영화,장편,일본,140,"2,557,477,869","366,277",애니메이션,전체관람가,일반영화
1475,쏜다,박정우,시오필름(주),,쇼박스,2007-03-14,개봉영화,장편,한국,0,0,"365,684",코미디,15세이상관람가,일반영화
1476,문프린세스 : 문에이커의 비밀,가버 추보,,(주)성원아이컴,성원아이컴,2009-02-19,개봉영화,장편,영국,262,"2,260,376,662","365,525",어드벤처,전체관람가,일반영화
1477,그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,개봉영화,장편,미국,512,"2,918,598,796","364,415",드라마,청소년관람불가,일반영화
1478,파라노말 액티비티 2,"서동욱,토드 윌리엄스",파라마운트 픽쳐스,CJ ENM,CJ ENM,2010-10-21,개봉영화,장편,미국,177,"2,616,761,211","364,251",공포(호러),12세이상관람가,독립/예술영화
1479,레드 라이딩 후드,캐서린 하드윅,,워너브러더스 코리아(주),워너브러더스 코리아,2011-03-17,개봉영화,장편,미국,249,"2,728,562,500","362,572",드라마,15세이상관람가,일반영화
1480,강적,조민호,(주)미로비젼,,쇼박스,2006-06-22,개봉영화,장편,한국,0,0,"361,155",액션,15세관람가,일반영화
1481,에브리씽 에브리웨어 올 앳 원스,"다니엘 콴,다니엘 쉐이너트",,(주)더쿱디스트리뷰션,워터홀컴퍼니,2022-10-12,개봉영화,장편,미국,620,"3,829,624,270","360,769",액션,15세이상관람가,독립/예술영화
1482,펠햄 123,토니 스콧,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-06-11,개봉영화,장편,미국,241,"2,415,075,136","360,661",액션,15세이상관람가,일반영화
1483,무인 곽원갑,우인태,베이징 필름 스튜디오,쇼이스트(주),쇼이스트,2006-03-23,개봉영화,장편,중국,0,0,"360,630",액션,12세관람가,독립/예술영화
1484,홈,팀 존슨,,(주)씨제이이엔엠,CJ ENM,2015-05-21,개봉영화,장편,미국,532,"2,692,225,691","360,556",애니메이션,전체관람가,일반영화
1485,블라인드 사이드,존 리 행콕,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아,2010-04-15,개봉영화,장편,미국,132,"2,643,699,147","359,899",드라마,12세이상관람가,독립/예술영화
1486,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,유야마 쿠니히코,,(주)포켓몬코리아,CJ ENM,2011-12-22,개봉영화,장편,일본,237,"2,382,820,000","359,663",애니메이션,전체관람가,일반영화
1487,고질라: 킹 오브 몬스터,마이클 도허티,,워너브러더스 코리아(주),워너브러더스 코리아,2019-05-29,개봉영화,장편,미국,923,"3,085,036,318","359,041",액션,12세이상관람가,일반영화
1488,환생,시미즈 다카시,,(주)쇼박스,쇼박스,2006-06-08,개봉영화,장편,일본,0,0,"358,591",공포(호러),15세관람가,일반영화
1489,크리스마스 캐롤,로버트 저메키스,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-26,개봉영화,장편,미국,173,"2,703,851,150","358,286",애니메이션,전체관람가,일반영화
1490,데스노트 L: 새로운 시작,나카타 히데오,,"(주)엔케이컨텐츠,(주)스폰지이엔티","엔케이컨텐츠,(유)씨에이치엔터테인먼트",2008-02-21,개봉영화,장편,일본,243,"2,174,665,500","358,046",스릴러,15세이상관람가,일반영화
1491,클로버필드 10번지,댄 트라첸버그,,롯데쇼핑㈜롯데엔터테인먼트,롯데엔터테인먼트,2016-04-07,개봉영화,장편,미국,575,"2,922,834,655","356,976",미스터리,15세이상관람가,일반영화
1492,어바웃 러브,존 헤이,,(주)아이비젼 엔터테인먼트,튜브엔터테인먼트,2005-04-21,개봉영화,장편,영국,0,0,"356,638",드라마,15세관람가,일반영화
1493,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데엔터테인먼트,2015-06-18,개봉영화,장편,한국,489,"2,749,027,700","356,342",미스터리,15세이상관람가,일반영화
1494,씬 시티,"프랭크 밀러,쿠엔틴 타란티노",디멘션 필름즈,쇼이스트(주),쇼이스트,2005-06-30,개봉영화,장편,미국,0,0,"356,183",범죄,18세관람가,일반영화
1495,어쌔신 크리드,저스틴 커젤,,이십세기폭스코리아(주),이십세기폭스코리아,2017-01-11,개봉영화,장편,미국,566,"2,899,784,921","355,913",액션,15세이상관람가,일반영화
1496,플립,롭 라이너,,(주)팝엔터테인먼트,팝엔터테인먼트,2017-07-12,개봉영화,장편,미국,249,"2,818,791,900","354,601",드라마,12세이상관람가,일반영화
1497,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,타카하시 와타루,,(주)씨제이이엔엠,CJ ENM,2018-12-19,개봉영화,장편,일본,489,"2,735,399,650","353,012",애니메이션,전체관람가,일반영화
1498,브라더 베어,"애론 블레이즈,로버트 워커",,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-01-16,개봉영화,장편,미국,0,0,"352,691",드라마,전체관람가,일반영화
1499,아홉살 인생,윤인호,"(주)황기성 사단,(주)조이슈즈",,시네마서비스,2004-03-26,개봉영화,장편,한국,0,0,"352,182",드라마,전체관람가,독립/예술영화
1500,원초적 본능 2,"프레드 올렌 레이,마이클 카튼-존스",C-2 픽쳐스,(주)팬텀,시네마서비스,2006-03-30,개봉영화,장편,미국,0,0,"351,882",스릴러,18세관람가,일반영화
1501,석조저택 살인사건,"정식,김휘",주식회사 영화사다,,키다리이엔티,2017-05-09,개봉영화,장편,한국,539,"2,815,742,886","351,830",스릴러,15세이상관람가,일반영화
1502,커플즈,정용기,"시오필름(주),(주)바른손이앤에이",,싸이더스,2011-11-02,개봉영화,장편,한국,387,"2,646,578,500","351,779",멜로/로맨스,15세이상관람가,일반영화
1503,미드나잇 인 파리,우디 알렌,,"(주)엔케이컨텐츠,(주)드림팩트엔터테인먼트,(주)더블앤조이픽쳐스","디스테이션,드림팩트엔터테인먼트,나이너스엔터테인먼트",2012-07-05,개봉영화,장편,미국,189,"2,607,349,898","351,555",코미디,15세이상관람가,독립/예술영화
1504,나이트 플라이트,웨스 크레이븐,드림웍스 SKG,CJ ENM,CJ ENM,2005-09-09,개봉영화,장편,미국,0,0,"351,518",스릴러,15세관람가,일반영화
1505,싱글라이더,이주영,(주)퍼펙트스톰필름,,워너브러더스 코리아,2017-02-22,개봉영화,장편,한국,576,"2,685,519,021","351,276",드라마,15세이상관람가,일반영화
1506,오! 문희,정세교,(주)빅스톤픽쳐스,,CGV아트하우스,2020-09-02,개봉영화,장편,한국,"1,110","2,798,758,600","351,162",코미디,12세이상관람가,일반영화
1507,그녀,스파이크 존즈,,주식회사 더쿱,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)",2014-05-22,개봉영화,장편,미국,168,"2,861,230,000","351,091",드라마,"청소년관람불가,15세이상관람가",독립/예술영화
1508,오즈 그레이트 앤드 파워풀,샘 레이미,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아,2013-03-07,개봉영화,장편,미국,425,"2,886,185,000","350,563",판타지,전체관람가,일반영화
1509,열한번째 엄마,김진성,"(주)씨스타픽쳐스,몽마루",,쇼박스,2007-11-29,개봉영화,장편,한국,0,0,"350,204",드라마,12세이상관람가,일반영화
1510,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,,(주)포켓몬코리아,CJ ENM,2012-12-19,개봉영화,장편,일본,275,"1,357,449,750","348,883",애니메이션,전체관람가,일반영화
1511,해프닝,M. 나이트 샤말란,,이십세기폭스코리아(주),이십세기폭스코리아,2008-06-12,개봉영화,장편,미국,244,"2,366,614,500","348,772",SF,청소년관람불가,일반영화
1512,7호실,이용승,(주)명필름,,롯데엔터테인먼트,2017-11-15,개봉영화,장편,한국,629,"2,677,284,639","347,790",코미디,15세이상관람가,일반영화
1513,셔터,팍품 웡품,GMM픽처스,CJ ENM,CJ ENM,2005-06-30,개봉영화,장편,태국,0,0,"347,141",공포(호러),15세관람가,일반영화
1514,치외법권,신동엽,"(주)유니프로,(주)스톰픽쳐스코리아",,판씨네마,2015-08-27,개봉영화,장편,한국,446,"2,664,941,005","346,483",액션,15세이상관람가,일반영화
1515,짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,시기노 아키라,,대원미디어(주),CJ ENM,2011-05-05,개봉영화,장편,일본,306,"2,319,696,500","346,441",애니메이션,전체관람가,일반영화
1516,썸,장윤현,씨앤필름(주),,시네마서비스,2004-10-22,개봉영화,장편,한국,0,0,"346,000",스릴러,15세관람가,일반영화
1517,덤보,팀 버튼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-27,개봉영화,장편,미국,797,"2,775,096,512","345,521",가족,전체관람가,일반영화
1518,링컨: 뱀파이어 헌터,티무르 베크맘베토브,,이십세기폭스코리아(주),이십세기폭스코리아,2012-08-30,개봉영화,장편,미국,337,"2,750,911,500","344,876",액션,청소년관람불가,일반영화
1519,플러쉬,"데이빗 보워스,데이비드 보,샘 펠",,CJ ENM,CJ ENM,2006-11-23,개봉영화,장편,미국,0,0,"344,837",애니메이션,전체관람가,일반영화
1520,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아,2015-01-14,개봉영화,장편,미국,308,"2,800,001,438","344,766",액션,청소년관람불가,일반영화
1521,버즈 라이트이어,앵거스 맥클레인,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-06-15,개봉영화,장편,미국,844,"3,509,742,460","344,438",애니메이션,전체관람가,일반영화
1522,포켓 몬스터 DP: 아르세우스 초극의 시공으로,유야마 쿠니히코,,트랜샌댄스,실버스푼,2009-12-24,개봉영화,장편,일본,79,"2,276,651,793","343,268",애니메이션,전체관람가,일반영화
1523,러브 유어셀프 인 서울,,"빅히트 엔터테인먼트,씨제이 씨지브이(CJ CGV)(주)",,씨제이 씨지브이(CJ CGV),2019-01-26,개봉영화,장편,한국,224,"3,209,682,900","342,366",공연,전체관람가,일반영화
1524,나두야 간다,정연원,화이트리시네마,,롯데쇼핑㈜롯데시네마,2004-06-25,개봉영화,장편,한국,0,0,"342,300",코미디,15세관람가,일반영화
1525,숲속으로,롭 마샬,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아,2014-12-24,개봉영화,장편,미국,356,"2,596,533,288","341,882",뮤지컬,전체관람가,일반영화
1526,브로크백 마운틴,이안,,"유니버설픽쳐스인터내셔널 코리아(유),㈜영화사 백두대간","유니버설픽쳐스인터내셔널 코리아(유),CJ ENM",2006-03-01,개봉영화,장편,미국,0,0,"341,242",드라마,15세관람가,독립/예술영화
1527,탄생,박흥식,"민영화사,가톨릭문화원 ALMA ART",,"씨제이 씨지브이(CJ CGV),레드아이스 엔터테인먼트",2022-11-30,개봉영화,장편,한국,670,"3,079,570,937","341,125",드라마,12세이상관람가,일반영화
1528,자산어보,이준익,(주)씨네월드,,플러스엠 엔터테인먼트,2021-03-31,개봉영화,장편,한국,"1,250","3,006,620,490","340,574",사극,12세이상관람가,일반영화
1529,하이힐,장진,(주)장차앤코,,롯데엔터테인먼트,2014-06-03,개봉영화,장편,한국,385,"2,735,972,500","339,844",범죄,청소년관람불가,일반영화
1530,인형사,정용기,(주)필마픽쳐스,,롯데쇼핑㈜롯데시네마,2004-07-30,개봉영화,장편,한국,0,0,"339,038",공포(호러),15세관람가,일반영화
1531,음치 클리닉,김진영,(주)전망좋은 영화사,,롯데엔터테인먼트,2012-11-29,개봉영화,장편,한국,360,"2,248,238,000","338,168",멜로/로맨스,12세이상관람가,일반영화
1532,맨발의 꿈,김태균,"(주)캠프비,(주)쇼박스",,쇼박스,2010-06-24,개봉영화,장편,한국,333,"2,413,427,097","338,080",드라마,전체관람가,일반영화
1533,레전드 오브 조로,마틴 캠벨,"엠블린엔터테인먼트,스파이글라스 엔터테인먼트",소니픽쳐스릴리징코리아,소니픽쳐스릴리징코리아,2005-10-28,개봉영화,장편,미국,0,0,"337,213",액션,12세관람가,일반영화
1534,허스토리,민규동,(주)수필름,,넥스트엔터테인먼트월드(NEW),2018-06-27,개봉영화,장편,한국,696,"2,521,025,949","336,822",드라마,12세이상관람가,일반영화
1535,바스터즈: 거친 녀석들,쿠엔틴 타란티노,더 웨인스테인 컴퍼니,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2009-10-28,개봉영화,장편,미국,257,"2,547,650,425","336,312",액션,청소년관람불가,일반영화
1536,브링 더 소울 : 더 무비,박준수,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사",2019-08-07,개봉영화,장편,한국,569,"2,902,500,310","336,074",기타,전체관람가,일반영화
1537,그해 여름,조근식,케이엠컬쳐㈜,,쇼박스,2006-11-30,개봉영화,장편,한국,0,0,"336,065",멜로/로맨스,12세이상관람가,일반영화
1538,패딩턴 2,폴 킹,,(주)누리픽쳐스,이수C&E,2018-02-08,개봉영화,장편,프랑스,629,"2,527,056,200","335,906",코미디,전체관람가,독립/예술영화
1539,늑대아이,호소다 마모루,,얼리버드,미디어데이,2012-09-13,개봉영화,장편,일본,226,"2,310,113,761","335,706",애니메이션,전체관람가,독립/예술영화
1540,디 아이2,"대니 팽,옥사이드 팽 천",어플러스엔터테인먼트,미디어필름인터내셔날(주),쇼이스트,2004-05-26,개봉영화,장편,홍콩,0,0,"335,000",공포(호러),15세관람가,일반영화
1541,샬롯의 거미줄,게리 위닉,파라마운트 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-02-08,개봉영화,장편,미국,0,0,"334,460",드라마,전체관람가,일반영화
1542,내 사랑,에이슬링 월쉬,,오드,오드,2017-07-12,개봉영화,장편,아일랜드,233,"2,442,554,625","334,423",드라마,12세이상관람가,독립/예술영화
1543,미나문방구,정익환,(주)별의별,,롯데엔터테인먼트,2013-05-16,개봉영화,장편,한국,385,"2,247,017,000","334,323",드라마,전체관람가,일반영화
1544,그대가 조국,이승준,(주)켈빈클레인프로젝트,,엣나인필름,2022-05-25,개봉영화,장편,한국,601,"3,109,424,870","333,541",다큐멘터리,12세이상관람가,독립/예술영화
1545,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,,(주)씨제이이엔엠,CJ ENM,2017-07-20,개봉영화,장편,일본,547,"2,417,712,700","333,082",애니메이션,전체관람가,일반영화
1546,내일의 기억,서유민,"(주)아이필름코퍼레이션,(주)토리픽쳐스",,"아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)",2021-04-21,개봉영화,장편,한국,957,"3,026,073,660","332,993",미스터리,15세이상관람가,일반영화
1547,남영동1985,정지영,(주)아우라픽처스,,"씨너스엔터테인먼트,엣나인필름",2012-11-22,개봉영화,장편,한국,310,"2,358,629,601","332,619",드라마,15세이상관람가,독립/예술영화
1548,에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,개봉영화,장편,미국,331,"3,055,119,748","332,180",어드벤처,12세이상관람가,일반영화
