,영화명,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,감독
3706,클라이밍,(주)트리플픽쳐스,2021-06-16,장편,한국,110,40585850,6291,애니메이션,15세관람가,독립/예술영화,김혜미
3708,코알라,어뮤즈,2013-10-24,장편,한국,65,47015000,6287,드라마,15세관람가,독립/예술영화,김주환
3709,체브라시카,브릿지웍스 엔터테인먼트(주),2013-11-14,장편,일본,73,41034500,6261,애니메이션,전체관람가,일반영화,나카무라 마코토
3711,썬더버드,(주)트리플픽쳐스,2022-09-21,장편,한국,99,52757800,6227,드라마,15세관람가,독립/예술영화,이재원
3714,"다시, 벚꽃",(주)영화사 진진,2017-04-06,장편,한국,132,49614500,6199,다큐멘터리,12세관람가,독립/예술영화,유해진
3715,인트로덕션,(주)영화제작전원사,2021-05-27,장편,한국,91,55369270,6185,기타,12세관람가,독립/예술영화,홍상수
3723,리턴 투 센더,(주)디스테이션,2016-03-10,장편,미국,142,47702000,6062,범죄,15세관람가,일반영화,포아드 미카티
3725,플래시백,판씨네마(주),2021-06-10,장편,기타,145,45741340,6044,드라마,15세관람가,독립/예술영화,기타
3730,벨 칸토,(주)누리픽쳐스,2019-09-26,장편,미국,100,29600000,5920,드라마,15세관람가,독립/예술영화,폴 웨이츠
3731,윈체스터,(주)누리픽쳐스,2019-09-19,장편,기타,100,29600000,5920,판타지,12세관람가,독립/예술영화,마이클 스피어리그
3734,아이스,(주)마노엔터테인먼트,2019-02-07,장편,기타,110,46440980,5907,멜로/로맨스,전체관람가,독립/예술영화,올레그 트로핌
3735,액션히어로,(주)트리플픽쳐스,2021-07-21,장편,한국,110,48964700,5904,액션,12세관람가,독립/예술영화,이진호
3736,극장판 울려라! 유포니엄,(주)박수엔터테인먼트,2016-09-01,장편,일본,72,45125000,5899,애니메이션,전체관람가,일반영화,이시하라 타츠야
3737,도어맨,(주)블루라벨픽쳐스,2022-03-16,장편,미국,130,50245300,5888,액션,15세관람가,일반영화,기타무라 류헤이
3740,엔테베 작전,CGV아트하우스,2018-06-07,장편,미국,103,46996200,5874,범죄,12세관람가,독립/예술영화,호세 파딜라
3741,탑,(주)영화제작전원사,2022-11-03,장편,한국,57,55125293,5857,드라마,15세관람가,독립/예술영화,홍상수
3742,마음이 외치고 싶어해,(주)스마일이엔티,2017-12-07,장편,일본,99,43060100,5849,드라마,12세관람가,독립/예술영화,쿠마자와 나오토
3743,몬스터 랜드,와이드 릴리즈(주),2019-05-16,장편,프랑스,197,41733320,5841,애니메이션,전체관람가,독립/예술영화,아르튀르 드 팽
3744,블러드 타이즈,(주)영화사 빅,2014-03-27,장편,프랑스,95,41526500,5828,범죄,청소년관람불가,독립/예술영화,기욤 까네
3750,차일드 인 타임,(주)팝엔터테인먼트,2020-01-09,장편,영국,75,48693920,5744,드라마,15세관람가,독립/예술영화,줄리언 파리노
3759,셀,(주)드림팩트엔터테인먼트,2016-06-29,장편,미국,77,45255600,5617,공포(호러),청소년관람불가,일반영화,토드 윌리엄스
3761,미스 프레지던트,(주)인디플러그,2017-10-26,장편,한국,76,37339500,5605,다큐멘터리,12세관람가,독립/예술영화,김재환
3762,킬링시즌,(주)팝파트너스,2013-09-05,장편,미국,102,37128000,5598,액션,청소년관람불가,일반영화,마크 스티븐 존슨
3767,부력,(주)영화사 그램,2020-06-25,장편,기타,90,46094660,5523,드라마,15세관람가,독립/예술영화,로드 라스젠
3775,온다,(주)트리플픽쳐스,2020-03-26,장편,일본,163,44904840,5456,공포(호러),15세관람가,독립/예술영화,나카시마 테츠야
3783,어웨이크,주식회사 엔픽플,2022-08-24,장편,한국,72,42708198,5367,미스터리,15세관람가,독립/예술영화,이윤호
3786,빛나는,그린나래미디어(주),2017-11-23,장편,일본,53,40173200,5314,멜로/로맨스,12세관람가,독립/예술영화,가와세 나오미
3801,젊은이의 양지,(주)리틀빅픽쳐스,2020-10-28,장편,한국,108,44082770,5199,드라마,15세관람가,독립/예술영화,신수원
3804,커튼콜,(주)모멘텀엔터테인먼트,2016-12-08,장편,한국,80,38228100,5163,코미디,15세관람가,독립/예술영화,류훈
3809,암살교실,(주)에이원엔터테인먼트,2015-08-27,장편,일본,55,40197700,5097,액션,12세관람가,일반영화,하스미 에이이치로
3812,운동회,(주)리틀빅픽쳐스,2018-03-22,장편,한국,81,33945900,5075,가족,12세관람가,독립/예술영화,김진태
3814,후쿠오카,(주)률필름,2020-08-27,장편,한국,101,41546520,5064,드라마,15세관람가,독립/예술영화,장률
3818,사랑이 뭘까,(주)엣나인필름,2020-04-09,장편,일본,132,45020480,5045,멜로/로맨스,15세관람가,독립/예술영화,이마이즈미 리키야
3820,더 체이스,씨너스엔터테인먼트(주),2014-04-10,장편,프랑스,69,32856800,5015,액션,15세관람가,일반영화,프레드 카바예
3821,사일런싱,(주)홈초이스,2021-01-28,장편,미국,89,36651920,5011,공포(호러),15세관람가,일반영화,기타
3823,시빌,(주)영화특별시에스엠씨,2019-11-21,장편,프랑스,54,39123280,4960,드라마,청소년관람불가,독립/예술영화,쥐스틴 트리에
