,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점,연도
53,165,7급 공무원,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51082,https://ssl.pstatic.net/imgmovie/mdi/mit110/0510/E1082-00.jpg,2009,['신태라'],"['김하늘', '강지환']",8.28,2009
55,166,다크 나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,https://ssl.pstatic.net/imgmovie/mdi/mit110/0625/62586_P148_102252.jpg,2008,['크리스토퍼 놀란'],"['크리스찬 베일', '히스 레저', '아론 에크하트']",9.34,2008
57,168,댄싱퀸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83268,https://ssl.pstatic.net/imgmovie/mdi/mit110/0832/83268_P13_160040.jpg,2012,['이석훈'],"['황정민', '엄정화']",8.87,2012
59,179,한반도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41705,https://ssl.pstatic.net/imgmovie/mdi/mit110/0417/D1705-00.jpg,2006,['강우석'],"['조재현', '차인표', '안성기', '문성근', '강신일']",6.36,2006
61,181,트로이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37742,https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/37742_P96_165128.jpg,2004,['볼프강 페터젠'],"['브래드 피트', '에릭 바나', '올랜도 블룸', '다이앤 크루거', '브라이언 콕스', '숀 빈', '브렌단 글리슨', '세프론 버로우스']",8.64,2004
63,187,쌍화점,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45232,https://ssl.pstatic.net/imgmovie/mdi/mit110/0452/D5232-01.jpg,2008,['유하'],"['조인성', '주진모', '송지효']",7.27,2008
64,191,미이라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120160,https://ssl.pstatic.net/imgmovie/mdi/mit110/1201/120160_P31_100857.jpg,2017,['알렉스 커츠만'],"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']",7.24,2017
67,200,인턴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118917,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118917_P12_152006.jpg,2015,['낸시 마이어스'],"['로버트 드 니로', '앤 해서웨이']",9.02,2015
76,214,스파이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=82080,https://ssl.pstatic.net/imgmovie/mdi/mit110/0820/82080_P42_170643.jpg,2013,['이승준'],"['설경구', '문소리', '다니엘 헤니']",6.94,2013
79,232,올드보이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36944,https://ssl.pstatic.net/imgmovie/mdi/mit110/0369/36944_P53_100451.jpg,2003,['박찬욱'],"['최민식', '유지태', '강혜정']",9.04,2003
