순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
32,피라냐 3DD,https://movie.naver.com/movie/bi/mi/basic.nhn?code=84845,https://ssl.pstatic.net/imgmovie/mdi/mit110/0848/84845_P48_151829.jpg,2011,['존 걸레거'],"['다니엘 파나베이커', '빙 라메스', '데이빗 핫셀호프', '크리스토퍼 로이드', '카트리나 보우든', '데이비드 코에너']",4.85
33,로맨틱 헤븐,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76558,https://ssl.pstatic.net/imgmovie/mdi/mit110/0765/76558_P01_173651.jpg,2011,['장진'],"['김수로', '김동욱', '김지원', '이순재', '심은경', '임원희', '김준배']",6.49
36,리스본행 야간열차,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103178,https://ssl.pstatic.net/imgmovie/mdi/mit110/1031/103178_P14_162956.jpg,2013,['빌 어거스트'],"['제레미 아이언스', '멜라니 로랑', '잭 휴스턴']",8.31
37,바다 탐험대 옥토넛 시즌4 : 더 파이널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160964,https://ssl.pstatic.net/imgmovie/mdi/mit110/1609/160964_P08_150355.jpg,2017,['다라 오코넬'],"['하성용', '정재헌', '엄상현']",8.29
39,나우 이즈 굿,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86197,https://ssl.pstatic.net/imgmovie/mdi/mit110/0861/86197_P03_170326.jpg,2012,['올 파커'],"['다코타 패닝', '카야 스코델라리오', '제레미 어바인', '올리비아 윌리암스', '패디 콘시딘']",8.86
41,돈 룩 업,https://movie.naver.com/movie/bi/mi/basic.nhn?code=192614,https://ssl.pstatic.net/imgmovie/mdi/mit110/1926/192614_P03_115308.jpg,2021,['아담 맥케이'],"['제니퍼 로렌스', '레오나르도 디카프리오', '티모시 샬라메', '케이트 블란쳇', '메릴 스트립', '아리아나 그란데', '조나 힐', '롭 모건', '마크 라이런스', '타일러 페리', '론 펄먼', '스콧 메스쿠디', '히메쉬 파텔', '멜라니 린스키', '마이클 치클리스', '토머 시슬리']",8.64
42,호텔 뭄바이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165022,https://ssl.pstatic.net/imgmovie/mdi/mit110/1650/165022_P15_153454.jpg,2018,['안소니 마라스'],"['아미 해머', '제이슨 아이삭스', '데브 파텔', '나자닌 보니아디', '아누팜 커']",9.02
43,빅샤크3: 젤리몬스터 대소동,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194799,https://ssl.pstatic.net/imgmovie/mdi/mit110/1947/194799_P25_134124.jpg,2019,['신우'],"['정의한', '원에스더']",7.29
44,너를 잊지 않을 거야,https://movie.naver.com/movie/bi/mi/basic.nhn?code=57666,https://ssl.pstatic.net/imgmovie/mdi/mit110/0576/E7666-00.jpg,2006,['하나도우 준지'],"['이태성', '오나가 마키']",7.72
45,엽문4: 더 파이널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190568,https://ssl.pstatic.net/imgmovie/mdi/mit110/1905/190568_P06_100737.jpg,2019,['엽위신'],"['견자단', '스콧 앳킨스', '진국곤']",7.30
47,내 친구의 사생활,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50679,https://ssl.pstatic.net/imgmovie/mdi/mit110/0506/E0679-01.jpg,2008,['다이안 잉글리시'],"['멕 라이언', '아네트 베닝', '에바 멘데스', '데브라 메싱', '제이다 핀켓 스미스', '베트 미들러', '캔디스 버겐', '캐리 피셔']",7.21
49,파워레인져스: 더 비기닝,https://movie.naver.com/movie/bi/mi/basic.nhn?code=143490,https://ssl.pstatic.net/imgmovie/mdi/mit110/1434/143490_P22_131829.jpg,2017,['딘 이스라엘리트'],"['데이커 몽고메리', '나오미 스콧', 'RJ 사일러', '베키 지', '루디 린']",7.21
50,소년시절의 너,https://movie.naver.com/movie/bi/mi/basic.nhn?code=192066,https://ssl.pstatic.net/imgmovie/mdi/mit110/1920/192066_P23_140954.jpg,2019,['증국상'],"['주동우', '이양천새']",9.28
51,언더월드: 블러드 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137887,https://ssl.pstatic.net/imgmovie/mdi/mit110/1378/137887_P14_101623.jpg,2016,['안나 포에스터'],"['케이트 베킨세일', '테오 제임스', '브래들리 제임스', '찰스 댄스', '토비어스 멘지스', '앨리시아 벨라 베일리']",6.08
52,쿰바: 반쪽무늬 얼룩말의 대모험,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100977,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100977_P12_143645.jpg,2013,['앤서니 실버스톤'],"['제이크 T. 오스틴', '안나소피아 롭', '캐서린 테이트', '리암 니슨', '로렌스 피시번', '리차드 E. 그랜트']",7.93
55,프란시스 하,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98738,https://ssl.pstatic.net/imgmovie/mdi/mit110/0987/98738_P60_114533.jpg,2012,['노아 바움백'],"['그레타 거윅', '믹키 섬너', '그레이스 검머', '아담 드라이버', '마이클 제겐']",8.15
56,모뉴먼츠 맨 : 세기의 작전,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101961,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101961_P10_095020.jpg,2014,['조지 클루니'],"['조지 클루니', '맷 데이먼', '케이트 블란쳇']",7.03
60,투 마더스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102241,https://ssl.pstatic.net/imgmovie/mdi/mit110/1022/102241_P07_120204.jpg,2013,['안느 퐁텐'],"['나오미 왓츠', '로빈 라이트', '자비에르 사무엘', '제임스 프레체빌']",7.13
61,위 오운 더 나잇,https://movie.naver.com/movie/bi/mi/basic.nhn?code=65112,https://ssl.pstatic.net/imgmovie/mdi/mit110/0651/F5112-00.jpg,2007,['제임스 그레이'],"['마크 월버그', '호아킨 피닉스']",7.62
