,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점
23,86,레미제라블,https://movie.naver.com/movie/bi/mi/basic.nhn?code=89755,https://ssl.pstatic.net/imgmovie/mdi/mit110/0897/89755_P73_104924.jpg,2012,['톰 후퍼'],"['휴 잭맨', '앤 해서웨이', '러셀 크로우', '아만다 사이프리드', '헬레나 본햄 카터', '사샤 바론 코헨']",8.39
24,93,숨바꼭질,https://movie.naver.com/movie/bi/mi/basic.nhn?code=195326,https://ssl.pstatic.net/imgmovie/mdi/mit110/1953/195326_P01_145316.jpg,2020,['정은미'],,0.00
25,93,숨바꼭질,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102824,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102824_P27_152515.JPG,2013,['허정'],"['손현주', '문정희', '전미선']",6.74
26,99,2012,https://movie.naver.com/movie/bi/mi/basic.nhn?code=110457,,2013,['타카시 마키노'],,0.00
27,99,2012,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49727,https://ssl.pstatic.net/imgmovie/mdi/mit110/0497/49727_P60_110128.jpg,2009,['롤랜드 에머리히'],"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']",7.60
28,105,더 킹,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226774,https://ssl.pstatic.net/imgmovie/mdi/mit110/2267/226774_P01_160601.jpg,2023,['카린 아프 클린트베리'],,0.00
29,105,더 킹,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144314,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144314_P99_105941.jpg,2016,['한재림'],"['조인성', '정우성', '배성우', '김아중', '류준열']",8.09
30,112,타워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176031,https://ssl.pstatic.net/imgmovie/mdi/mit110/1760/176031_P01_171329.jpg,2018,['매츠 그로루드'],"['미칼리스 코초기안나키스', '모하메드 바크리']",0.00
31,112,타워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83250,https://ssl.pstatic.net/imgmovie/mdi/mit110/0832/83250_P81_104827.jpg,2012,['김지훈'],"['설경구', '손예진', '김상경']",8.02
32,115,추격자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=202452,,2017,['김세연'],,0.00
33,115,추격자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68695,https://ssl.pstatic.net/imgmovie/mdi/mit110/0686/F8695-00.jpg,2008,['나홍진'],"['김윤석', '하정우']",9.09
34,124,바람과 함께 사라지다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=217106,https://ssl.pstatic.net/imgmovie/mdi/mit110/2171/217106_P01_143538.png,2022,['김민섭'],,0.00
35,124,바람과 함께 사라지다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86888,https://ssl.pstatic.net/imgmovie/mdi/mit110/0868/86888_P08_111010.jpg,2012,['김주호'],"['차태현', '오지호', '민효린', '성동일', '신정근', '고창석']",7.60
36,137,신세계,https://movie.naver.com/movie/bi/mi/basic.nhn?code=198928,https://ssl.pstatic.net/imgmovie/mdi/mit110/1989/198928_P01_165112.jpg,2020,['마르케타 마기도바'],,0.00
37,137,신세계,https://movie.naver.com/movie/bi/mi/basic.nhn?code=91031,https://ssl.pstatic.net/imgmovie/mdi/mit110/0910/91031_P53_103806.jpg,2012,['박훈정'],"['이정재', '최민식', '황정민']",8.94
38,142,박물관이 살아있다!,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98301,https://ssl.pstatic.net/imgmovie/mdi/mit110/0983/98301_P02_114326.jpg,2011,['드미트리 들리니콜라스'],['기오르고스 파트라스'],5.50
39,142,박물관이 살아있다!,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62422,https://ssl.pstatic.net/imgmovie/mdi/mit110/0624/F2422-00.jpg,2006,['숀 레비'],['벤 스틸러'],8.02
40,154,아이언맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123684,https://ssl.pstatic.net/imgmovie/mdi/mit110/1236/123684_P00_161340.JPG,2014,['김용수'],"['이동욱', '신세경', '김갑수']",4.98
41,154,아이언맨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44885,https://ssl.pstatic.net/imgmovie/mdi/mit110/0448/D4885-01.jpg,2008,['존 파브로'],"['로버트 다우니 주니어', '테렌스 하워드', '제프 브리지스', '기네스 팰트로']",8.93
42,158,킹콩,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120969,https://ssl.pstatic.net/imgmovie/mdi/mit110/1209/120969_P00_132843.jpg,2013,['니콜라스 키릿시스'],,0.00
43,158,킹콩,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38097,https://ssl.pstatic.net/imgmovie/mdi/mit110/0380/C8097-00.jpg,2005,['피터 잭슨'],"['나오미 왓츠', '잭 블랙', '애드리언 브로디']",8.97
44,161,용의자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194890,https://ssl.pstatic.net/imgmovie/mdi/mit110/1948/194890_P01_111542.jpg,2019,['조쉬 삼보노'],,0.00
45,161,용의자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93028,https://ssl.pstatic.net/imgmovie/mdi/mit110/0930/93028_P22_114657.jpg,2013,['원신연'],"['공유', '박희순', '조성하', '유다인', '김성균', '조재윤']",8.39
46,163,태풍,https://movie.naver.com/movie/bi/mi/basic.nhn?code=197019,https://ssl.pstatic.net/imgmovie/mdi/mit110/1970/197019_P01_102711.jpg,2019,"['지티엔 리', '웨이판 왕', '핀쉬안 황']",,0.00
47,163,태풍,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39625,https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/C9625-00.jpg,2005,['곽경택'],"['장동건', '이정재', '이미연', '김갑수']",6.13
48,165,7급 공무원,https://movie.naver.com/movie/bi/mi/basic.nhn?code=99632,https://ssl.pstatic.net/imgmovie/mdi/mit110/0996/99632_P13_102929.jpg,2012,['김상협'],"['주원', '최강희']",9.03
49,165,7급 공무원,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51082,https://ssl.pstatic.net/imgmovie/mdi/mit110/0510/E1082-00.jpg,2009,['신태라'],"['김하늘', '강지환']",8.28
50,166,다크 나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146575,https://ssl.pstatic.net/imgmovie/mdi/mit110/1465/146575_P02_115517.jpg,2016,['팀 서튼'],"['로버트 점퍼', '안나 로즈 홉킨스']",10.00
51,166,다크 나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,https://ssl.pstatic.net/imgmovie/mdi/mit110/0625/62586_P148_102252.jpg,2008,['크리스토퍼 놀란'],"['크리스찬 베일', '히스 레저', '아론 에크하트']",9.34
52,168,댄싱퀸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227531,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227531_P01_151442.jpg,2023,['오로라 고세'],,0.00
53,168,댄싱퀸,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83268,https://ssl.pstatic.net/imgmovie/mdi/mit110/0832/83268_P13_160040.jpg,2012,['이석훈'],"['황정민', '엄정화']",8.87
54,179,한반도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=86302,https://ssl.pstatic.net/imgmovie/mdi/mit110/0863/86302_P01_191010.jpg,2012,"['이형민', '이종재']","['황정민', '김정은', '성병숙', '김수현', '조성하', '곽희성']",8.60
55,179,한반도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41705,https://ssl.pstatic.net/imgmovie/mdi/mit110/0417/D1705-00.jpg,2006,['강우석'],"['조재현', '차인표', '안성기', '문성근', '강신일']",6.36
56,181,트로이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218546,https://ssl.pstatic.net/imgmovie/mdi/mit110/2185/218546_P01_192754.jpg,2022,['마이크 도나휴'],,0.00
57,181,트로이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37742,https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/37742_P96_165128.jpg,2004,['볼프강 페터젠'],"['브래드 피트', '에릭 바나', '올랜도 블룸', '다이앤 크루거', '브라이언 콕스', '숀 빈', '브렌단 글리슨', '세프론 버로우스']",8.64
58,187,쌍화점,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213411,https://ssl.pstatic.net/imgmovie/mdi/mit110/2134/213411_P01_154406.jpg,2017,['담걸'],['조걸'],0.00
59,187,쌍화점,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45232,https://ssl.pstatic.net/imgmovie/mdi/mit110/0452/D5232-01.jpg,2008,['유하'],"['조인성', '주진모', '송지효']",7.27
60,191,미이라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120160,https://ssl.pstatic.net/imgmovie/mdi/mit110/1201/120160_P31_100857.jpg,2017,['알렉스 커츠만'],"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']",7.24
61,191,미이라,누락,누락,누락,누락,누락,누락
62,200,인턴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155649,,2016,['요시다 아키오'],"['아라키 유코', '오카모토 안리', '스즈키 유우나', '이즈미 하루']",0.00
63,200,인턴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118917,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118917_P12_152006.jpg,2015,['낸시 마이어스'],"['로버트 드 니로', '앤 해서웨이']",9.02
64,211,끝까지 간다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220476,https://ssl.pstatic.net/imgmovie/mdi/mit110/2204/220476_P01_183112.jpg,2021,['로렌스 파자르도'],"['딩동 단테스', '존 아실라']",0.00
65,211,끝까지 간다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109778,https://ssl.pstatic.net/imgmovie/mdi/mit110/1097/109778_P13_140120.jpg,2013,['김성훈'],"['이선균', '조진웅']",9.03
66,212,아일랜드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179332,https://ssl.pstatic.net/imgmovie/mdi/mit110/1793/179332_P12_174351.jpg,2018,['황보'],"['황보', '서기', '레이']",7.25
67,212,아일랜드,누락,누락,누락,누락,누락,누락
68,213,비긴 어게인,https://movie.naver.com/movie/bi/mi/basic.nhn?code=205754,https://ssl.pstatic.net/imgmovie/mdi/mit110/2057/205754_P01_153520.jpg,2020,['후지나미 야스'],,0.00
