,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
12,알라딘,가이 리치,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,장편,미국,1311,106983620359,12555894,어드벤처,전체관람가,일반영화,2019,5,봄
13,"광해, 왕이 된 남자",추창민,(주)씨제이이엔엠,2012-09-13,장편,한국,810,88900208769,12319542,사극,15세관람가,일반영화,2012,9,가을
14,신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,장편,한국,2235,102476768809,12253247,판타지,12세관람가,일반영화,2018,8,여름
15,택시운전사,장훈,(주)쇼박스,2017-08-02,장편,한국,1906,95284747049,12099971,드라마,15세관람가,일반영화,2017,8,여름
16,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,장편,한국,1788,93175877048,11565078,액션,15세관람가,일반영화,2016,7,여름
17,해운대,윤제균,CJ ENM,2009-07-22,장편,한국,753,81934638201,11453338,액션,12세관람가,일반영화,2009,7,여름
18,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,장편,한국,923,82856578300,11372451,드라마,15세관람가,일반영화,2013,12,겨울
19,어벤져스: 인피니티 워,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,장편,미국,2553,99919006769,11211880,액션,12세관람가,일반영화,2018,4,봄
20,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아 유한책임회사,2015-04-23,장편,미국,1843,88582586366,10494499,액션,12세관람가,일반영화,2015,4,봄
21,아바타: 물의 길,제임스 카메론,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,장편,미국,2809,132262978710,10405342,액션,12세관람가,일반영화,2022,12,겨울
22,기생충,봉준호,(주)씨제이이엔엠,2019-05-30,장편,한국,1948,87459829095,10313086,드라마,15세관람가,일반영화,2019,5,봄
23,겨울왕국,제니퍼 리,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,장편,미국,1010,82461504400,10296101,애니메이션,전체관람가,일반영화,2014,1,겨울
24,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,장편,미국,1342,82274331200,10273803,SF,12세관람가,일반영화,2014,11,가을
25,보헤미안 랩소디,브라이언 싱어,월트디즈니컴퍼니코리아 유한책임회사,2018-10-31,장편,미국,936,86280975785,9948386,드라마,12세관람가,일반영화,2018,10,가을
26,검사외전,이일형,(주)쇼박스,2016-02-03,장편,한국,1812,77252755264,9699092,범죄,15세관람가,일반영화,2016,2,겨울
27,엑시트,이상근,(주)씨제이이엔엠,2019-07-31,장편,한국,1660,79232212162,9426051,코미디,12세관람가,일반영화,2019,7,여름
28,관상,한재림,(주)쇼박스,2013-09-11,장편,한국,1190,66005451500,9134586,사극,15세관람가,일반영화,2013,9,가을
29,아이언맨 3,쉐인 블랙,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,장편,미국,1381,70806191000,9001309,액션,12세관람가,일반영화,2013,4,봄
30,설국열차,봉준호,(주)씨제이이엔엠,2013-08-01,장편,한국,1128,64016480000,8914845,SF,15세관람가,일반영화,2013,8,여름
31,캡틴 아메리카: 시빌 워,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사,2016-04-27,장편,미국,1991,72672111827,8677249,액션,12세관람가,일반영화,2016,4,봄
32,수상한 그녀,황동혁,(주)씨제이이엔엠,2014-01-22,장편,한국,692,62696639249,8656397,드라마,15세관람가,일반영화,2014,1,겨울
33,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,장편,한국,838,66240631706,8646758,어드벤처,12세관람가,일반영화,2014,8,여름
34,국가대표,김용화,(주)쇼박스,2009-07-29,장편,한국,580,60896633308,8487894,드라마,12세관람가,일반영화,2009,7,여름
35,백두산,김병서,(주)씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300,8252669,어드벤처,12세관람가,일반영화,2019,12,겨울
36,과속스캔들,강형철,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,장편,한국,405,53940101534,8245523,코미디,12세관람가,일반영화,2008,12,겨울
37,탑건: 매버릭,조셉 코신스키,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,장편,미국,1975,87855360975,8177446,액션,12세관람가,일반영화,2022,6,여름
38,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,장편,미국,2142,69000711100,8020208,액션,12세관람가,일반영화,2019,7,여름
39,공조,김성훈,(주)씨제이이엔엠,2017-01-18,장편,한국,976,63781731326,7817446,액션,15세관람가,일반영화,2017,1,겨울
40,트랜스포머 3,마이클 베이,(주)씨제이이엔엠,2011-06-29,장편,미국,1409,74841350500,7784807,액션,12세관람가,일반영화,2011,6,여름
41,히말라야,이석훈,(주)씨제이이엔엠,2015-12-16,장편,한국,1009,60173583015,7759473,드라마,12세관람가,일반영화,2015,12,겨울
42,미션임파서블:고스트프로토콜,브래드 버드,(주)씨제이이엔엠,2011-12-15,장편,미국,1038,57795846000,7575899,액션,15세관람가,일반영화,2011,12,겨울
43,스파이더맨: 노 웨이 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,장편,미국,2948,75193912210,7551990,액션,12세관람가,일반영화,2021,12,겨울
44,트랜스포머: 패자의 역습,마이클 베이,CJ ENM,2009-06-24,장편,미국,1129,51478531663,7505700,SF,12세관람가,일반영화,2009,6,여름
45,밀정,김지운,워너브러더스 코리아(주),2016-09-07,장편,한국,1444,61158644831,7487545,액션,15세관람가,일반영화,2016,9,가을
46,최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,장편,한국,615,55808856500,7466976,사극,15세관람가,일반영화,2011,8,여름
47,써니,강형철,(주)씨제이이엔엠,2011-05-04,장편,한국,472,53773170600,7328820,드라마,15세관람가,일반영화,2011,5,봄
48,한산: 용의 출현,김한민,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27,장편,한국,2223,73700628377,7264934,액션,12세관람가,일반영화,2022,7,여름
49,스파이더맨: 홈 커밍,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,장편,미국,1965,59120173820,7257973,액션,12세관람가,일반영화,2017,7,여름
50,1987,장준환,(주)씨제이이엔엠,2017-12-27,장편,한국,1299,58165581145,7231638,드라마,15세관람가,일반영화,2017,12,겨울
51,베를린,류승완,(주)씨제이이엔엠,2013-01-30,장편,한국,894,52354931637,7166199,액션,15세관람가,일반영화,2013,1,겨울
52,마스터,조의석,(주)씨제이이엔엠,2016-12-21,장편,한국,1501,58067927865,7150541,액션,15세관람가,일반영화,2016,12,겨울
53,터널,김성훈,(주)쇼박스,2016-08-10,장편,한국,1105,57510324417,7118592,드라마,12세관람가,일반영화,2016,8,여름
54,어벤져스,조스 웨던,월트디즈니컴퍼니코리아 유한책임회사,2012-04-26,장편,미국,967,59557853478,7074867,액션,12세관람가,일반영화,2012,4,봄
55,내부자들,우민호,(주)쇼박스,2015-11-19,장편,한국,1075,56596582057,7071763,범죄,청소년관람불가,일반영화,2015,11,가을
56,인천상륙작전,이재한,(주)씨제이이엔엠,2016-07-27,장편,한국,1049,55101410303,7049643,전쟁,12세관람가,일반영화,2016,7,여름
57,공조2: 인터내셔날,이석훈,(주)씨제이이엔엠,2022-09-07,장편,한국,2389,70884583586,6979319,액션,15세관람가,일반영화,2022,9,가을
58,럭키,이계벽,(주)쇼박스,2016-10-13,장편,한국,1158,56361435256,6965706,코미디,15세관람가,일반영화,2016,10,가을
59,은밀하게 위대하게,장철수,(주)쇼박스,2013-06-05,장편,한국,1341,48663939413,6953800,액션,15세관람가,일반영화,2013,6,여름
60,곡성,나홍진,이십세기폭스코리아(주),2016-05-12,장편,한국,1485,55853108382,6878264,미스터리,15세관람가,일반영화,2016,5,봄
61,범죄도시,강윤성,플러스엠 엔터테인먼트,2017-10-03,장편,한국,1315,56077813249,6851297,범죄,청소년관람불가,일반영화,2017,10,가을
62,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,CJ ENM,2008-07-17,장편,한국,825,43768628939,6686912,서부극(웨스턴),15세관람가,일반영화,2008,7,여름
63,늑대소년,조성희,(주)씨제이이엔엠,2012-10-31,장편,한국,706,46593107500,6654837,멜로/로맨스,15세관람가,일반영화,2012,10,가을
64,군함도,류승완,(주)씨제이이엔엠,2017-07-26,장편,한국,2027,50510565168,6592151,액션,15세관람가,일반영화,2017,7,여름
65,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,장편,미국,1957,55888375112,6584915,액션,15세관람가,일반영화,2018,7,여름
66,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아(주),2012-07-19,장편,미국,1210,47644838000,6396528,액션,15세관람가,일반영화,2012,7,여름
67,아저씨,이정범,CJ ENM,2010-08-04,장편,한국,478,47870792359,6282774,액션,청소년관람불가,일반영화,2010,8,여름
68,사도,이준익,(주)쇼박스,2015-09-16,장편,한국,1210,48842902501,6246849,사극,12세관람가,일반영화,2015,9,가을
69,전우치,최동훈,CJ ENM,2009-12-23,장편,한국,606,44605437017,6136928,액션,12세관람가,일반영화,2009,12,겨울
70,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,장편,미국,1202,48547353607,6126488,액션,15세관람가,일반영화,2015,7,여름
71,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),2015-02-11,장편,미국,706,50333635795,6125154,액션,청소년관람불가,일반영화,2015,2,겨울
72,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,장편,한국,1013,45560620330,6043458,드라마,12세관람가,일반영화,2015,6,여름
